sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83
HP101,225,-0.11174008314367086,-0.05548939966886399,-0.012354899765066646,-0.016099261003989073,-0.0305853682598338,-0.00448366346333706,-0.0035887384485427287,-0.005152617258503761,0.003354252270986721,-0.0037683902652350587,-0.008278370382602639,0.00709294501695603,0.0007207145348553345,-0.0037818928670026765,-0.0009737373902515649,-0.0002659421196839911,0.0010286972061356663,-0.0030600720733783746,-0.002140666710504695,-0.001624843849589966,0.0018118611264929343,0.001005465682385926,0.00027990679350814614,-0.0028760515714559612,0.0012588012550270528,0.00219584455666134,1.2307932439557462e-05,0.002946995978615352,-0.002748715323267363,-0.0017637465024561692,0.005274481878653547,-0.0023685365942120356,0.00158061018652487,0.0020697337114068152,-0.0017271137919187738,0.0015730838035332934,-0.0007604591246371491,-0.00047755090961351237,0.0003021560719557751,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HP104,228,-0.056726521520411945,0.061248195505735736,-0.00790250037549303,-0.05284924273032776,0.010326122857840807,-0.005694790248249648,-0.004822426033383501,-0.0029952858443203253,-0.004540865473015683,-0.005346390892048722,-0.0009620607646211252,-0.0034399172054030967,-0.007441392124334538,-0.0018730388254180246,0.004782411091417423,0.009940497696557433,-0.002697868299664206,0.001686971853209143,0.001239541669632381,0.0028343373986715954,-0.0010873716181764284,-0.004469143921344997,0.00248746329261507,-0.008359740521150264,0.0014121186415462167,-0.0003127044673836184,-0.001757279734852702,0.0008340599783681676,-0.001184253031655299,0.0002385246847790311,-0.0018421113687629366,-0.0016004405610990221,-0.003594602732165031,0.0005641788116978274,0.0006426215306483877,0.0006039955106008351,0.0017242021461807311,0.0005753368539730611,0.00013176279586911153,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HP111,235,-0.10882844283601685,-0.0497138385979417,-0.0019429567468890808,-0.012552413763927045,-0.03380756020039082,0.0017760935530974854,-0.022545689372334313,-0.019276003990270667,0.02580794063094778,0.010455185937726303,0.026691021799673476,-0.016198714492567653,-0.006970730688650731,-0.001994414679782387,0.003664639313892388,0.0011960825213952304,0.006019526991554828,0.0029261288467026664,0.002598586237220352,-0.002229609372327745,-0.004667020098594718,0.001897298807065287,0.004977671546909195,0.004869434837069421,-0.0014486324628314043,-0.006066685587116078,4.940890806871797e-05,-0.0004152533755755607,-0.0010456481222349291,0.0012260672518246796,-0.00025513669053233627,0.0011495191338618952,1.6746233927719786e-06,0.000536798222040141,-0.00043046332707935526,0.0015150686924428017,0.0006938848879672858,-0.00014230485290838788,-0.00036944889536575667,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HP115,239,-0.1107034732185315,-0.05607821418065984,-0.011908811183831481,-0.014127808179346894,-0.0326533037646447,-0.0073782300421903315,-0.005629888813175587,-0.0058994530952005495,-0.0010805978787956393,0.0008379597706905608,-0.008281948384367325,0.00981286726575762,-0.004943664836046105,-0.006852793309777756,-0.0038096269437590687,-0.009166619379345391,-0.012892733310893056,0.0016650348402290906,0.00041492188774601066,0.0025875251450899104,-0.006427774197437654,0.007032680064832648,-0.0027913457143023362,-0.007665767367639643,0.0024846183146184963,0.0014961231936707156,0.005134266878650195,-0.0028434382511845443,0.004793218211689122,0.0029568402049716933,-7.964087332934205e-05,0.0022561789452407105,0.0022961579768754734,0.0003152167962336815,0.0007378021639596499,0.00027133479806536,-0.0007176831558006159,0.0003865148184843737,-0.00016954716951378163,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HP116,240,0.23971793782638115,0.05508818592095832,0.03217583755105669,0.0039595540776259175,-0.008814535358628991,0.06232206094346795,-0.06230874120706122,-0.020422693207710493,0.041002485290826375,0.0027339224692377586,0.044559565580125055,-0.010937230227206851,0.008583020057739681,-0.0004925246349186148,-0.009495610767259764,-0.00047695837573655275,0.003504437163043526,-0.0006384342512631785,-0.0009219727511651936,0.0006417118128404975,0.0007414051231089565,0.0027920793666391724,0.001446288291824573,-0.001751981768567545,0.0004621754613107801,0.0011139318506047098,0.0017685406696381458,-0.0006112809690390947,0.0004848482963607007,0.00045174281683374895,-0.00044330210976393684,-7.092340742319942e-05,0.00013697929175347838,-4.733173650164816e-05,-0.0002751850355514247,7.553397590843402e-06,-0.0002420667336888332,-1.4419245830550027e-05,0.00011001166210375515,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HP127,251,-0.11166045179988855,-0.05502611905108532,-0.010921453785945237,-0.01688283467504803,-0.030658667511977315,-0.003509804988791871,-0.0036604040877151363,-0.005015064424799251,0.00519625174057546,-0.005479073306299452,-0.008997928641298615,0.006649163198833132,0.001172778672971569,-0.003430332328374339,0.0004231432961343634,0.002952771664962499,0.0011613558607231514,-0.0018688320658244875,-0.004698713613545831,0.00413723050435177,0.004711689398661433,-0.005546638089681975,-0.0013028549391495984,0.0066881214883806935,-0.0033569344849874,0.0025686359575409975,-0.0023726601816193645,-0.0029475445963266953,0.0010741958685214616,0.00336900202274087,-0.0013454453953735122,0.00046692155173490367,0.000772373856497379,0.003476477177733762,-5.516308058522151e-05,1.946704732986895e-05,0.00011695766009507842,0.00018242702273274993,1.665389009706032e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HP130,254,-0.0944641459991883,-0.024187111842311832,-0.0018432393587175919,0.000862023186503811,0.013597001308627132,0.005164802818418275,-0.01017195171841456,-0.005639851232044786,-0.012387279595742106,0.006399952498509351,0.0032711246713214006,0.002068525330027611,-0.006444326761953949,-0.0050074402301210795,-0.007089099078835812,0.006734550348826442,-0.0012223487637471255,0.012505666261936456,0.0018754286024503942,0.009499744086426856,0.0005226547645244709,-0.007322960341600686,-0.002660470645998428,-0.005491210564409716,0.0025181718035481365,0.0011112540467959485,0.0019355250052615687,-0.0006984111146196185,-0.0017164947666064075,0.005469171041966995,0.0019310655131404557,-0.0010974866691143854,-0.003150839465891336,0.0003445978792154127,0.0010831920069953062,-0.0013187545444498855,1.515529494860278e-05,0.00028725618599984113,-8.185667629843122e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HP135,259,-0.11139094493135752,-0.05498777285515533,-0.011171150146655996,-0.016715448392289937,-0.031211747062190164,-0.00448128659952261,-0.003569727066497739,-0.004521749531353768,0.004120917812018348,-0.0043267590550854565,-0.008942566837412666,0.007789312282002408,-0.0007500953186112001,-0.0044773989968115956,-0.0022368462471906688,-7.569039558277391e-05,-0.0033673055310373167,0.004353898805511738,-0.0041700252514760465,0.00799422978493932,-0.001955743353221824,0.0025741690381178624,-0.0003029656904676379,-0.0018615468619252121,-0.00799287254009753,-0.0005020132159222968,0.0034184086138710594,-0.0016196386931315396,-0.004236638988290297,-0.004907405756462761,-0.003534703997265835,4.615446409338487e-06,-0.0005175153779293577,-0.0014379315880586367,0.00039762332637707516,-0.0009336556679815062,0.0010956826758887074,-0.0005181825466719405,-0.0003120913394383296,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HP136,260,0.16455940288507287,0.020523367102336765,-0.05937509401674164,-0.013430774943920379,-0.06821835628661052,-0.0067424179460462315,-0.02459079165739054,0.032322386541447486,0.0020354432326835513,-0.017290097350093285,-0.020821280140555242,-0.016049494817933233,0.0003119341093269338,-0.019287310408752607,0.01625920397318141,-0.010141450588381461,0.006388536198104583,-0.0037453394531176093,0.008821670539335863,0.005698463759446962,-0.0041065073881312525,-0.004225606099943193,-0.000415771986747113,0.0012173247778040114,-0.0017113182549268757,-0.00041864102062785666,0.00010901865310464867,-5.780277630910628e-05,4.1191480778544796e-05,0.00037815170739880844,0.0006541325145093678,0.0009579519409258141,0.0009752947278149559,-5.6619538378874727e-05,4.535514552436652e-05,-0.0005344773569254248,1.8062944355057072e-05,-0.0002581056183319364,-3.3027935418317885e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HP139,263,-0.0953436479235792,-0.0233778977324507,0.004459759928015731,-0.001725462155140846,0.014858920185107918,0.009581794114174234,-0.00540633186274708,-0.0002016571340912116,-0.005958790711628348,-0.002186829137255961,-0.002136007325354301,0.002263277597203583,-0.0009926029486266718,0.003568274556354151,-0.0010349415889098262,0.00021688322543428183,-0.001260511416955852,0.002872926582931736,0.00445401207202388,-0.0021911602041020883,0.0017562369899990667,0.002487260417301462,0.0015996145469709222,-0.00474234242668318,-0.0033366258910707608,0.0017655406160995981,-0.0001047944387397396,-0.002444951608668331,-0.0006599985327032904,-0.0017866704657184271,0.000982512993142529,0.0005425870214313535,0.0006163955624164776,0.0005081309736964864,-0.0027513197278119608,0.0006144240215429541,0.00021804656951386595,-0.00014171704513265504,-0.0007814087388898085,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
