"","observed","shannon","simperson","invsimperson","chao1","chao2","evenness","Gini"
"77",1,0,0,1,1,1,0,0.888888888888889
"109",1,0,0,1,1,1,0,0.888888888888889
"63",1,0,0,1,1,1,0,0.888888888888889
"212",1,0,0,1,1,1,0,0.888888888888889
"115",1,0,0,1,1,1,0,0.888888888888889
"111",1,0,0,1,1,1,0,0.888888888888889
"176",1,0,0,1,1,1,0,0.888888888888889
"106",1,0,0,1,1,1,0,0.888888888888889
"191",1,0,0,1,1,1,0,0.888888888888889
"80",1,0,0,1,1,1,0,0.888888888888889
"311",1,0,0,1,1,1,0,0.888888888888889
"62",1,0,0,1,1,1,0,0.888888888888889
"217",1,0,0,1,1,1,0,0.888888888888889
"102",1,0,0,1,1,1,0,0.888888888888889
"205",1,0,0,1,1,1,0,0.888888888888889
"130",1,0,0,1,1,1,0,0.888888888888889
"153",1,0,0,1,1,1,0,0.888888888888889
"169",1,0,0,1,1,1,0,0.888888888888889
"68",1,0,0,1,1,1,0,0.888888888888889
"222",1,0,0,1,1,1,0,0.888888888888889
"134",1,0,0,1,1,1,0,0.888888888888889
"231",1,0,0,1,1,1,0,0.888888888888889
"244",1,0,0,1,1,1,0,0.888888888888889
"223",1,0,0,1,1,1,0,0.888888888888889
"271",1,0,0,1,1,1,0,0.888888888888889
"171",1,0,0,1,1,1,0,0.888888888888889
"269",1,0,0,1,1,1,0,0.888888888888889
"94",1,0,0,1,1,1,0,0.888888888888889
"272",1,0,0,1,1,1,0,0.888888888888889
"188",1,0,0,1,1,1,0,0.888888888888889
"65",1,0,0,1,1,1,0,0.888888888888889
"221",1,0,0,1,1,1,0,0.888888888888889
"131",1,0,0,1,1,1,0,0.888888888888889
"79",1,0,0,1,1,1,0,0.888888888888889
"145",1,0,0,1,1,1,0,0.888888888888889
"141",1,0,0,1,1,1,0,0.888888888888889
"110",1,0,0,1,1,1,0,0.888888888888889
"91",1,0,0,1,1,1,0,0.888888888888889
"150",1,0,0,1,1,1,0,0.888888888888889
"107",1,0,0,1,1,1,0,0.888888888888889
"237",1,0,0,1,1,1,0,0.888888888888889
"73",1,0,0,1,1,1,0,0.888888888888889
"84",1,0,0,1,1,1,0,0.888888888888889
"258",1,0,0,1,1,1,0,0.888888888888889
"158",1,0,0,1,1,1,0,0.888888888888889
"178",1,0,0,1,1,1,0,0.888888888888889
"78",1,0,0,1,1,1,0,0.888888888888889
"177",1,0,0,1,1,1,0,0.888888888888889
"148",1,0,0,1,1,1,0,0.888888888888889
"74",1,0,0,1,1,1,0,0.888888888888889
"301",1,0,0,1,1,1,0,0.888888888888889
"182",1,0,0,1,1,1,0,0.888888888888889
"263",1,0,0,1,1,1,0,0.888888888888889
"289",1,0,0,1,1,1,0,0.888888888888889
"174",1,0,0,1,1,1,0,0.888888888888889
"140",1,0,0,1,1,1,0,0.888888888888889
"197",1,0,0,1,1,1,0,0.888888888888889
"66",1,0,0,1,1,1,0,0.888888888888889
"313",1,0,0,1,1,1,0,0.888888888888889
"135",1,0,0,1,1,1,0,0.888888888888889
"189",1,0,0,1,1,1,0,0.888888888888889
"213",1,0,0,1,1,1,0,0.888888888888889
"82",1,0,0,1,1,1,0,0.888888888888889
"175",1,0,0,1,1,1,0,0.888888888888889
"85",1,0,0,1,1,1,0,0.888888888888889
"97",1,0,0,1,1,1,0,0.888888888888889
"296",1,0,0,1,1,1,0,0.888888888888889
"105",1,0,0,1,1,1,0,0.888888888888889
"206",1,0,0,1,1,1,0,0.888888888888889
"121",1,0,0,1,1,1,0,0.888888888888889
"181",1,0,0,1,1,1,0,0.888888888888889
"83",1,0,0,1,1,1,0,0.888888888888889
"226",1,0,0,1,1,1,0,0.888888888888889
"216",1,0,0,1,1,1,0,0.888888888888889
"137",1,0,0,1,1,1,0,0.888888888888889
"123",1,0,0,1,1,1,0,0.888888888888889
"273",1,0,0,1,1,1,0,0.888888888888889
"246",2,0.0564061976948261,0.0199727562519125,1.02037979696924,2,2,0.0282030988474131,0.886647078028077
"233",2,0.284553357473967,0.15119354226692,1.17812487274274,2,2,0.142276678736983,0.870581361378907
"220",1,0,0,1,1,1,0,0.888888888888889
"147",1,0,0,1,1,1,0,0.888888888888889
"155",1,0,0,1,1,1,0,0.888888888888889
"203",1,0,0,1,1,1,0,0.888888888888889
"236",1,0,0,1,1,1,0,0.888888888888889
"239",1,0,0,1,1,1,0,0.888888888888889
"194",1,0,0,1,1,1,0,0.888888888888889
"200",1,0,0,1,1,1,0,0.888888888888889
"196",1,0,0,1,1,1,0,0.888888888888889
"95",1,0,0,1,1,1,0,0.888888888888889
"61",1,0,0,1,1,1,0,0.888888888888889
"204",1,0,0,1,1,1,0,0.888888888888889
"165",1,0,0,1,1,1,0,0.888888888888889
"101",1,0,0,1,1,1,0,0.888888888888889
"201",1,0,0,1,1,1,0,0.888888888888889
"112",1,0,0,1,1,1,0,0.888888888888889
"118",1,0,0,1,1,1,0,0.888888888888889
"187",1,0,0,1,1,1,0,0.888888888888889
"295",1,0,0,1,1,1,0,0.888888888888889
"276",1,0,0,1,1,1,0,0.888888888888889
"166",1,0,0,1,1,1,0,0.888888888888889
"160",1,0,0,1,1,1,0,0.888888888888889
"142",1,0,0,1,1,1,0,0.888888888888889
"71",1,0,0,1,1,1,0,0.888888888888889
"180",1,0,0,1,1,1,0,0.888888888888889
"90",1,0,0,1,1,1,0,0.888888888888889
"195",1,0,0,1,1,1,0,0.888888888888889
"300",1,0,0,1,1,1,0,0.888888888888889
"256",1,0,0,1,1,1,0,0.888888888888889
"228",1,0,0,1,1,1,0,0.888888888888889
"288",1,0,0,1,1,1,0,0.888888888888889
"75",3,0.105920360849723,0.0395134533608975,1.04113899720841,3,3,0.0353067869499077,0.883877306364529
"255",1,0,0,1,1,1,0,0.888888888888889
"286",1,0,0,1,1,1,0,0.888888888888889
"224",2,0.0758566387320728,0.0286140173780245,1.02945689755661,2,2,0.0379283193660364,0.885662716785686
"207",1,0,0,1,1,1,0,0.888888888888889
"254",1,0,0,1,1,1,0,0.888888888888889
"268",2,0.0777465719653457,0.029486993089624,1.03038289325302,2,2,0.0388732859826729,0.885562772600333
"219",1,0,0,1,1,1,0,0.888888888888889
"261",1,0,0,1,1,1,0,0.888888888888889
"99",1,0,0,1,1,1,0,0.888888888888889
"192",1,0,0,1,1,1,0,0.888888888888889
"279",1,0,0,1,1,1,0,0.888888888888889
"159",1,0,0,1,1,1,0,0.888888888888889
"278",1,0,0,1,1,1,0,0.888888888888889
"129",1,0,0,1,1,1,0,0.888888888888889
"306",1,0,0,1,1,1,0,0.888888888888889
"225",1,0,0,1,1,1,0,0.888888888888889
"257",1,0,0,1,1,1,0,0.888888888888889
"262",1,0,0,1,1,1,0,0.888888888888889
"232",1,0,0,1,1,1,0,0.888888888888889
"230",1,0,0,1,1,1,0,0.888888888888889
"235",1,0,0,1,1,1,0,0.888888888888889
"64",3,0.131834386432547,0.0516881211573996,1.05450540303311,3,3,0.0439447954775156,0.882315288953914
"307",2,0.193674855046657,0.0920529899780713,1.10138586168795,2,2,0.0968374275233285,0.878140946717154
"266",1,0,0,1,1,1,0,0.888888888888889
"133",2,0.269421061225466,0.140808969457744,1.16388552074255,2,2,0.134710530612733,0.871952691286507
"249",1,0,0,1,1,1,0,0.888888888888889
