sample_uid,Plug_ID,Treatment,Tank,Timepoint,Sample_Date,Host_species,sample
61,1754,HTAC,9,10,20181117,Montipora capitata,HP101
62,1775,ATAC,8,1,20180922,Pocillopora acuta,HP102
63,2005,HTAC,4,1,20180922,Pocillopora acuta,HP103
64,2386,HTAC,7,8,20181020,Montipora capitata,HP104
65,2357,ATAC,6,9,20181103,Pocillopora acuta,HP105
66,1131,HTHC,2,9,20181103,Pocillopora acuta,HP106
67,2026,HTAC,9,3,20180922,Pocillopora acuta,HP107
68,1471,ATAC,6,3,20180922,Pocillopora acuta,HP108
69,1644,ATAC,8,11,20181215,Montipora capitata,HP109
70,1676,HTHC,5,1,20180922,Pocillopora acuta,HP110
71,1631,ATAC,6,10,20181117,Montipora capitata,HP111
72,2183,HTAC,9,1,20180922,Montipora capitata,HP112
73,1103,ATAC,1,11,20181215,Pocillopora acuta,HP113
74,1696,HTAC,9,9,20181103,Pocillopora acuta,HP114
75,1600,ATAC,6,1,20180922,Montipora capitata,HP115
76,1580,ATAC,8,9,20181103,Montipora capitata,HP116
77,2363,ATAC,6,1,20180922,Pocillopora acuta,HP117
78,1486,HTAC,7,9,20181103,Pocillopora acuta,HP118
79,1159,ATAC,1,10,20181117,Pocillopora acuta,HP119
80,1641,ATAC,6,10,20181117,Pocillopora acuta,HP120
81,2554,ATHC,12,10,20181117,Montipora capitata,HP121
82,1594,ATAC,8,9,20181103,Pocillopora acuta,HP122
83,1205,ATHC,3,10,20181117,Pocillopora acuta,HP123
84,1451,ATHC,3,9,20181103,Pocillopora acuta,HP124
85,1418,HTHC,5,3,20180922,Pocillopora acuta,HP125
86,1459,ATHC,3,8,20181020,Pocillopora acuta,HP126
87,1420,ATAC,6,9,20181103,Montipora capitata,HP127
88,2979,ATHC,12,9,20181103,Pocillopora acuta,HP128
89,2513,HTAC,9,8,20181020,Pocillopora acuta,HP129
90,1235,HTAC,4,8,20181020,Montipora capitata,HP130
91,1141,ATAC,1,9,20181103,Pocillopora acuta,HP131
92,1095,ATAC,1,10,20181117,Montipora capitata,HP132
93,1751,HTAC,7,3,20180922,Montipora capitata,HP133
94,2304,HTHC,5,8,20181020,Pocillopora acuta,HP134
95,1074,HTHC,2,10,20181117,Montipora capitata,HP135
96,1148,ATHC,3,9,20181103,Montipora capitata,HP136
97,2202,HTHC,10,9,20181103,Pocillopora acuta,HP137
98,2305,HTHC,5,9,20181103,Pocillopora acuta,HP138
99,2862,ATHC,11,9,20181103,Montipora capitata,HP139
100,1260,ATHC,3,8,20181020,Montipora capitata,HP140
101,2561,ATHC,12,4,20180922,Montipora capitata,HP141
102,1732,HTHC,10,10,20181117,Pocillopora acuta,HP142
103,2743,ATHC,12,1,20180922,Pocillopora acuta,HP143
104,1219,ATHC,3,3,20180922,Pocillopora acuta,HP144
105,2550,ATHC,12,10,20181117,Pocillopora acuta,HP145
106,1765,HTAC,7,8,20181020,Pocillopora acuta,HP146
107,1536,HTAC,7,10,20181117,Pocillopora acuta,HP147
108,2993,ATHC,12,4,20180922,Pocillopora acuta,HP148
109,1238,HTHC,2,10,20181117,Pocillopora acuta,HP149
110,1559,ATAC,8,10,20181117,Pocillopora acuta,HP150
111,1060,ATAC,1,4,20180922,Pocillopora acuta,HP151
112,1478,HTAC,7,10,20181117,Montipora capitata,HP152
113,1331,HTHC,5,9,20181103,Montipora capitata,HP153
114,1306,HTAC,4,9,20181103,Montipora capitata,HP154
115,2564,ATHC,12,8,20181020,Pocillopora acuta,HP155
116,1303,HTAC,4,5,20180923,Pocillopora acuta,HP156
117,1296,ATHC,3,5,20180923,Pocillopora acuta,HP157
118,2995,ATHC,12,9,20181103,Montipora capitata,HP158
119,2197,ATHC,11,10,20181117,Pocillopora acuta,HP159
120,1779,ATAC,8,8,20181020,Montipora capitata,HP160
121,2873,ATHC,11,9,20181103,Pocillopora acuta,HP161
122,1196,ATAC,1,5,20180923,Montipora capitata,HP162
123,1225,HTAC,4,10,20181117,Pocillopora acuta,HP163
124,2861,ATHC,11,8,20181020,Pocillopora acuta,HP164
125,2064,HTAC,9,10,20181117,Pocillopora acuta,HP165
126,1168,HTHC,2,5,20180923,Pocillopora acuta,HP166
127,1561,ATAC,8,10,20181117,Montipora capitata,HP167
128,1220,ATHC,3,4,20180922,Pocillopora acuta,HP168
129,2000,HTAC,9,4,20180922,Montipora capitata,HP169
130,2300,HTHC,5,10,20181117,Pocillopora acuta,HP170
131,1184,HTHC,2,8,20181020,Pocillopora acuta,HP171
132,1345,HTHC,2,5,20180923,Montipora capitata,HP172
133,2412,HTAC,9,9,20181103,Montipora capitata,HP173
134,1757,ATAC,6,5,20180923,Pocillopora acuta,HP174
135,2012,ATAC,8,8,20181020,Pocillopora acuta,HP175
136,1436,ATAC,6,8,20181020,Montipora capitata,HP176
137,1254,ATHC,3,6,20180929,Pocillopora acuta,HP177
138,1051,ATAC,1,8,20181020,Pocillopora acuta,HP178
139,1776,ATAC,8,5,20180923,Montipora capitata,HP179
140,2877,ATHC,12,5,20180923,Pocillopora acuta,HP180
141,1466,HTAC,7,6,20180929,Pocillopora acuta,HP181
142,1705,HTAC,9,6,20180929,Montipora capitata,HP182
143,2866,ATHC,12,3,20180922,Montipora capitata,HP183
144,1330,HTAC,4,6,20180929,Pocillopora acuta,HP184
145,1617,HTAC,4,3,20180922,Pocillopora acuta,HP185
146,1164,HTHC,2,6,20180929,Montipora capitata,HP186
147,2870,ATHC,11,6,20180929,Pocillopora acuta,HP187
