Well,Plug_ID
A1,1258
A2,1258
A3,1484
A4,1484
A5,1690
A6,1690
A7,1992
A8,1992
A9,1175
A10,1175
A11,1304
A12,1304
B1,NA
B2,NA
B3,2729
B4,2729
B5,1146
B6,1146
B7,1116
B8,1116
B9,1077
B10,1077
B11,1625
B12,1625
C1,1409
C2,1409
C3,1764
C4,1764
C5,1300
C6,1300
C7,2013
C8,2013
C9,1285
C10,1285
C11,1688
C12,1688
D1,1495
D2,1495
D3,1483
D4,1483
D5,1599
D6,1599
D7,1065
D8,1065
D9,1256
D10,1256
D11,1091
D12,1091
E1,1305
E2,1305
E3,1344
E4,1344
E5,NA
E6,NA
E7,1100
E8,1100
E9,2404
E10,2404
E11,1240
E12,1240
F1,2169
F2,2169
F3,2164
F4,2164
F5,2156
F6,2156
F7,1630
F8,1630
F9,1127
F10,1127
F11,1756
F12,1756
G1,2858
G2,2858
G3,1576
G4,1576
G5,1560
G6,1560
G7,1217
G8,1217
G9,2996
G10,2996
G11,1723
G12,1723
H1,1327
H2,1327
H3,1180
H4,1180
H5,1811
H6,1811
H7,1470
H8,1470
H9,1325
H10,1325
H11,2394
H12,2394
