sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
HP01,47.0,-0.11221449367296366,0.008608312575301091,0.00338934568590271,-0.002367112217416066,-0.000929223018956378,0.0013270239389196869,0.0,0.0,0.0,0.0,0.0,0.0
HP02,48.0,-0.09167756968959181,-0.04998057475653247,0.0024680713370036442,0.004202529809268276,0.0012558545891062035,0.001255118748515491,0.0,0.0,-0.0,0.0,0.0,0.0
HP03,49.0,-0.1134886284689387,0.008489890154951102,0.0017341874149770387,-0.000364825567039153,0.0013140312777927237,-0.0016769160986792977,0.0,0.0,-0.0,0.0,0.0,0.0
HP05,51.0,0.19175631724744177,-0.02976286652195822,0.01729145919488812,0.0096035236207483,0.0004562528709909514,-9.706914018044218e-05,-0.0,0.0,0.0,0.0,0.0,0.0
HP07,53.0,-0.009661466440801068,0.0275312092701072,-0.018833076463038795,0.002620215616758818,0.003950701620719215,0.0003217681238077934,0.0,0.0,-0.0,0.0,0.0,0.0
HP08,54.0,-0.11213595250395345,0.008797185020698189,0.00409205282679934,-0.00352235919011365,-0.0012217636412955903,0.001556398523312018,-0.0,0.0,-0.0,0.0,0.0,0.0
HP09,55.0,-0.09015768457415702,-0.04690850700047815,0.007559812087750878,-0.00460745335958883,-0.001328250735725718,-0.0012877655692464165,-0.0,0.0,0.0,0.0,0.0,0.0
HP10,56.0,-0.11346592094886977,0.008516609497407077,0.0017820693601492488,-0.00041229992300411767,0.0015684005622542863,-0.0009673108204392169,-0.0,0.0,0.0,0.0,0.0,0.0
HP12,58.0,0.22013553944001846,-0.04717780402339494,-0.01995635174058177,-0.006404023735623515,-0.0002489611604792174,9.771895444136308e-05,-0.0,0.0,-0.0,0.0,0.0,0.0
HP14,60.0,-0.035312665619344645,0.0198645261446115,-0.01764606972450479,0.007558125851339095,-0.00430713043166061,-0.0005618805454748459,-0.0,0.0,0.0,0.0,0.0,0.0
HP06,52.0,0.13982253526565372,0.037225202208256786,0.009547308690835503,-0.009041806690738802,-7.18646193497825e-05,-0.00010838129896750428,0.0,0.0,0.0,0.0,0.0,0.0
HP13,59.0,0.12639998996550594,0.054796817431031035,0.00857119132981884,0.002735485785408424,-0.000438047313396672,0.0001412951839874931,-0.0,0.0,-0.0,0.0,0.0,0.0
proportion_explained,0.0,0.9236321814077986,0.06649856879698406,0.007921059781283574,0.0016746090020839564,0.0002168884040025823,5.6692607847118334e-05,0.0,0.0,0.0,0.0,0.0,0.0
