sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
HP01,47,-0.38688401660404953,-0.014659979722655824,0.004339505912145358,-0.05926024178225192,0.0003554085671761622,0.0008424142948562562,0.006553056004931858,0.010974863013198758,0.01132658653931413,-0.00040224050635790715,0.0,0.0
HP02,48,-0.3646209525175333,-0.16999814385074488,0.013746752863152257,0.16078630745730868,0.005207649795887368,0.05006577321854907,0.0008256528155099862,-0.0022784668855877046,-0.00015359750985393828,-1.2289743704152519e-05,0.0,0.0
HP03,49,-0.38079771045890803,0.01252415124822788,0.001303188976706603,-0.11943290830459095,0.0014626111584179339,0.0003156753595464523,-0.009841895362286046,-0.010900523406522322,-0.002441204419419851,-0.0027185251971862247,0.0,0.0
HP05,51,0.5442062226168473,-0.07139747984238683,-0.13209342916971578,-0.019602343071862295,0.14619377936280759,-0.010915714086431026,-0.002696435046853069,0.004014377591716101,-0.00039093526419209477,-1.0787246768422562e-05,0.0,0.0
HP06,52,0.5924347691048301,-0.04555521029741392,0.19291530113064284,-0.020891564814105926,-0.04552804860205058,0.007389727999167869,-0.020781409047810083,0.014393562549164336,-0.0010020829495985782,-2.41108442483002e-05,0.0,0.0
HP07,53,0.06766184487575444,0.3043322528621979,-0.009886404374226295,0.10833332090274722,0.021311042152395085,0.037990734502012805,-0.0064479364897655446,-0.005242081648143821,0.0009227412343156907,3.237595744375898e-05,0.0,0.0
HP08,54,-0.38407341147385027,-0.0008872125894791139,0.002829611718690591,-0.08997174748873774,0.0018346712245093867,0.026181693894125564,0.01763079441342684,0.013547071670802963,-0.007299899620886182,0.0005129390881037385,0.0,0.0
HP09,55,-0.3673925415224156,-0.1856472887266516,0.01450183090046984,0.13090568022941193,-0.007892954547800785,-0.058175327206211,-0.003494374755379451,-0.0007602164170681707,-0.0015719066291699445,-2.1726687118963627e-05,0.0,0.0
HP10,56,-0.381708467331244,0.009038803753670013,0.0017016343708912737,-0.1127637500322122,0.0011078977878845094,-0.0060438288174372605,-0.012786377118851803,-0.011703353042125473,0.0005572094849931894,0.0026496207379748927,0.0,0.0
HP12,58,0.5344426935813414,-0.07293984501657907,-0.28042512518470586,-0.015038736961752081,-0.10082662343383336,0.007351016639955524,0.0027986322318297244,-0.0028898613315995066,0.0003797285090997641,9.311574078849155e-06,0.0,0.0
HP13,59,0.5909327714737773,-0.043731541438251156,0.20553784914431764,-0.020090812338671354,-0.0012411958308491528,-0.0051764560068278094,0.021718111816662417,-0.014775140761403358,0.001141786107676863,2.6176728224677566e-05,0.0,0.0
HP14,60,-0.0642012017445502,0.2789214936200674,-0.014470716288368428,0.05702679620471616,-0.021984237634547987,-0.049825709791306926,0.006522180538589102,0.005619768667555082,-0.00146842548227573,-4.07438603748033e-05,0.0,0.0
proportion_explained,0,0.7897939658509795,0.0914858246055335,0.06486402252752767,0.036063760500147736,0.012748114049721872,0.003971702562006063,0.000599676339684008,0.0003953714331033984,7.21016043997357e-05,5.460526896756844e-06,0.0,0.0
