Date,ZeroPoint,Slope,pH4,pH7,pH10,temp,Calib.status,notes,Initial
20180903,6.957,-58.92,173.5,-2.1,-179.2,26.6,Pass,,KW/ES
20180909,6.966,-58.5,172.7,-1.5,-178.2,25.2,Pass,,AH/ES
20180913,6.981,-57.99,172.1,-0.6,-176.8,23.7,Pass,,ES
20180914,6.98,-58.07,172.2,-0.6,-176.3,24.9,Pass,new buffer,ES
20180916,6.964,-58.72,173.4,-1.6,-178.5,26.1,Pass,new buffer,KW/ES
20180919,6.973,-58.41,172.8,-1.1,-177.7,24.9,Pass,,CS/EW
20180922,6.981,-58.55,173.9,-0.6,-176.8,26.5,Pass,new buffer,AH/ES
20180923,6.986,-58.17,173,-0.5,-175.9,25.3,Pass,,ES/CS
20180926,7.034,-57.52,173.3,3.3,-170.9,26.9,Pass,,AH
20180929,7,-57.81,173,0,-173.6,25.7,Pass,New Buffer,AH
20181003,7.022,-57.6,173.3,1.8,-172.4,24.9,Pass,,ES
20181006,7.021,-57.61,173.5,1.4,-172,25.6,Pass,New Buffer,AH
20181010,7.073,-56.56,172.9,4.9,-166.6,24.9,Pass,,AH
20181013,7.073,-56.48,172.7,4.9,-166.4,24.8,Pass,new buffer,AH
20181017,7.117,-55.36,171.8,6.8,-161,24,Pass,,AH
20181020,7.103,-56.02,173.2,6.2,-163.2,24.8,Pass,New buffer,AH
20181024,7.188,-53.86,170,12.4,-153.9,23.3,Pass,,AH
20181024,7.624,-46.42,165.9,32.9,-112.6,25.2,Not OK,New buffer,AH
20181027,7.006,-58.37,175.1,-0.1,-175.7,24.2,Pass,,AH
20181031,6.984,-58.34,173.3,-0.4,-176.7,25.2,Pass,new buffer,AH
20181103,6.98,-57.6,170.3,0.5,-175.9,24.1,Pass,,ES/AH
20181107,6.95,-58.06,169.5,-0.6,-178.7,25.2,Pass,new buffer,AH
20181110,6.964,-56.98,167.3,0.1,-176.5,22.3,Pass,,AH
20181114,6.941,-57.43,166.9,-0.4,-178,24.6,Pass,new buffer,AH
20181117,6.995,-56.63,167.6,2.7,-172.9,24,Pass,new buffer,AH
20181125,7.124,-51.75,154.6,19.6,-154.8,27.5,Not OK,new buffer,CS
20181125,7.115,-55.05,167.7,13.3,-161.2,28.2,Pass,new buffer,CS
