"Plot Title: 20444042"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20444042, SEN S/N: 20444042)","Coupler Detached (LGR S/N: 20444042)","Coupler Attached (LGR S/N: 20444042)","Host Connected (LGR S/N: 20444042)","Stopped (LGR S/N: 20444042)","End Of File (LGR S/N: 20444042)"
1,08/20/18 03:52:09 PM,29.414,,,,,
2,08/20/18 03:52:13 PM,,Logged,,,,
3,08/20/18 03:53:09 PM,29.815,,,,,
4,08/20/18 03:54:09 PM,29.991,,,,,
5,08/20/18 03:55:09 PM,30.066,,,,,
6,08/20/18 03:56:09 PM,30.117,,,,,
7,08/20/18 03:57:09 PM,30.142,,,,,
8,08/20/18 03:58:09 PM,30.167,,,,,
9,08/20/18 03:59:09 PM,30.167,,,,,
10,08/20/18 04:00:09 PM,30.192,,,,,
11,08/20/18 04:01:09 PM,30.192,,,,,
12,08/20/18 04:02:09 PM,30.217,,,,,
13,08/20/18 04:03:09 PM,30.243,,,,,
14,08/20/18 04:04:09 PM,30.268,,,,,
15,08/20/18 04:05:09 PM,30.268,,,,,
16,08/20/18 04:06:09 PM,30.268,,,,,
17,08/20/18 04:07:09 PM,30.268,,,,,
18,08/20/18 04:08:09 PM,30.293,,,,,
19,08/20/18 04:09:09 PM,30.293,,,,,
20,08/20/18 04:10:09 PM,30.293,,,,,
21,08/20/18 04:11:09 PM,30.293,,,,,
22,08/20/18 04:12:09 PM,30.293,,,,,
23,08/20/18 04:13:09 PM,30.293,,,,,
24,08/20/18 04:14:09 PM,30.293,,,,,
25,08/20/18 04:15:09 PM,30.268,,,,,
26,08/20/18 04:16:09 PM,30.293,,,,,
27,08/20/18 04:17:09 PM,30.293,,,,,
28,08/20/18 04:18:09 PM,30.293,,,,,
29,08/20/18 04:19:09 PM,30.268,,,,,
30,08/20/18 04:20:09 PM,30.268,,,,,
31,08/20/18 04:21:09 PM,30.268,,,,,
32,08/20/18 04:22:09 PM,30.243,,,,,
33,08/20/18 04:23:09 PM,30.243,,,,,
34,08/20/18 04:24:09 PM,30.192,,,,,
35,08/20/18 04:25:09 PM,30.167,,,,,
36,08/20/18 04:26:09 PM,30.091,,,,,
37,08/20/18 04:27:09 PM,30.066,,,,,
38,08/20/18 04:28:09 PM,30.066,,,,,
39,08/20/18 04:29:09 PM,30.117,,,,,
40,08/20/18 04:30:09 PM,30.117,,,,,
41,08/20/18 04:31:09 PM,30.117,,,,,
42,08/20/18 04:32:09 PM,30.091,,,,,
43,08/20/18 04:33:09 PM,30.091,,,,,
44,08/20/18 04:34:09 PM,30.091,,,,,
45,08/20/18 04:35:09 PM,30.117,,,,,
46,08/20/18 04:36:09 PM,30.142,,,,,
47,08/20/18 04:37:09 PM,30.142,,,,,
48,08/20/18 04:38:09 PM,30.117,,,,,
49,08/20/18 04:39:09 PM,30.117,,,,,
50,08/20/18 04:40:09 PM,30.117,,,,,
51,08/20/18 04:41:09 PM,30.091,,,,,
52,08/20/18 04:42:09 PM,30.066,,,,,
53,08/20/18 04:43:09 PM,30.066,,,,,
54,08/20/18 04:44:09 PM,30.041,,,,,
55,08/20/18 04:45:09 PM,30.016,,,,,
56,08/20/18 04:46:09 PM,30.016,,,,,
57,08/20/18 04:47:09 PM,29.991,,,,,
58,08/20/18 04:48:09 PM,29.966,,,,,
59,08/20/18 04:49:09 PM,29.941,,,,,
60,08/20/18 04:50:09 PM,29.941,,,,,
61,08/20/18 04:51:09 PM,29.916,,,,,
62,08/20/18 04:52:09 PM,29.890,,,,,
63,08/20/18 04:53:09 PM,29.865,,,,,
64,08/20/18 04:54:09 PM,29.865,,,,,
65,08/20/18 04:55:09 PM,29.840,,,,,
66,08/20/18 04:56:09 PM,29.815,,,,,
67,08/20/18 04:57:09 PM,29.790,,,,,
68,08/20/18 04:58:09 PM,29.765,,,,,
69,08/20/18 04:59:09 PM,29.765,,,,,
70,08/20/18 05:00:09 PM,29.740,,,,,
71,08/20/18 05:01:09 PM,29.715,,,,,
72,08/20/18 05:02:09 PM,29.715,,,,,
73,08/20/18 05:03:09 PM,29.690,,,,,
74,08/20/18 05:04:09 PM,29.665,,,,,
75,08/20/18 05:05:09 PM,29.640,,,,,
76,08/20/18 05:06:09 PM,29.615,,,,,
77,08/20/18 05:07:09 PM,29.615,,,,,
78,08/20/18 05:08:09 PM,29.590,,,,,
79,08/20/18 05:09:09 PM,29.565,,,,,
80,08/20/18 05:10:09 PM,29.540,,,,,
81,08/20/18 05:11:09 PM,29.540,,,,,
82,08/20/18 05:12:09 PM,29.515,,,,,
83,08/20/18 05:13:09 PM,29.490,,,,,
84,08/20/18 05:14:09 PM,29.490,,,,,
85,08/20/18 05:15:09 PM,29.464,,,,,
86,08/20/18 05:16:09 PM,29.439,,,,,
87,08/20/18 05:17:09 PM,29.414,,,,,
88,08/20/18 05:18:09 PM,29.414,,,,,
89,08/20/18 05:19:09 PM,29.389,,,,,
90,08/20/18 05:20:09 PM,29.365,,,,,
91,08/20/18 05:21:09 PM,29.365,,,,,
92,08/20/18 05:22:09 PM,29.340,,,,,
93,08/20/18 05:23:09 PM,29.315,,,,,
94,08/20/18 05:24:09 PM,29.315,,,,,
95,08/20/18 05:25:09 PM,29.290,,,,,
96,08/20/18 05:26:09 PM,29.265,,,,,
97,08/20/18 05:27:09 PM,29.265,,,,,
98,08/20/18 05:28:09 PM,29.240,,,,,
99,08/20/18 05:29:09 PM,29.215,,,,,
100,08/20/18 05:30:09 PM,29.215,,,,,
101,08/20/18 05:31:09 PM,29.190,,,,,
102,08/20/18 05:32:09 PM,29.165,,,,,
103,08/20/18 05:33:09 PM,29.165,,,,,
104,08/20/18 05:34:09 PM,29.140,,,,,
105,08/20/18 05:35:09 PM,29.140,,,,,
106,08/20/18 05:36:09 PM,29.115,,,,,
107,08/20/18 05:37:09 PM,29.115,,,,,
108,08/20/18 05:38:09 PM,29.090,,,,,
109,08/20/18 05:39:09 PM,29.090,,,,,
110,08/20/18 05:40:09 PM,29.065,,,,,
111,08/20/18 05:41:09 PM,29.065,,,,,
112,08/20/18 05:42:09 PM,29.040,,,,,
113,08/20/18 05:43:09 PM,29.040,,,,,
114,08/20/18 05:44:09 PM,29.015,,,,,
115,08/20/18 05:45:09 PM,29.015,,,,,
116,08/20/18 05:46:09 PM,28.990,,,,,
117,08/20/18 05:47:09 PM,28.990,,,,,
