"Plot Title: Tank12 ATHC"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20444035, SEN S/N: 20444035)","Coupler Detached (LGR S/N: 20444035)","End Of File (LGR S/N: 20444035)"
1,08/20/18 04:00:00 PM,30.722,Logged,
2,08/20/18 04:00:10 PM,30.722,,
3,08/20/18 04:00:20 PM,30.697,,
4,08/20/18 04:00:30 PM,30.697,,
5,08/20/18 04:00:40 PM,30.697,,
6,08/20/18 04:00:50 PM,30.697,,
7,08/20/18 04:01:00 PM,30.672,,
8,08/20/18 04:01:10 PM,30.672,,
9,08/20/18 04:01:20 PM,30.672,,
10,08/20/18 04:01:30 PM,30.672,,
11,08/20/18 04:01:40 PM,30.672,,
12,08/20/18 04:01:50 PM,30.646,,
13,08/20/18 04:02:00 PM,30.646,,
14,08/20/18 04:02:10 PM,30.646,,
15,08/20/18 04:02:20 PM,30.646,,
16,08/20/18 04:02:30 PM,30.646,,
17,08/20/18 04:02:40 PM,30.646,,
18,08/20/18 04:02:50 PM,30.646,,
19,08/20/18 04:03:00 PM,30.621,,
20,08/20/18 04:03:10 PM,30.621,,
21,08/20/18 04:03:20 PM,30.621,,
22,08/20/18 04:03:30 PM,30.621,,
23,08/20/18 04:03:40 PM,30.621,,
24,08/20/18 04:03:50 PM,30.596,,
25,08/20/18 04:04:00 PM,30.596,,
26,08/20/18 04:04:10 PM,30.596,,
27,08/20/18 04:04:20 PM,30.596,,
28,08/20/18 04:04:30 PM,30.571,,
29,08/20/18 04:04:40 PM,30.571,,
30,08/20/18 04:04:50 PM,30.571,,
31,08/20/18 04:05:00 PM,30.571,,
32,08/20/18 04:05:10 PM,30.571,,
33,08/20/18 04:05:20 PM,30.571,,
34,08/20/18 04:05:30 PM,30.571,,
35,08/20/18 04:05:40 PM,30.545,,
36,08/20/18 04:05:50 PM,30.545,,
37,08/20/18 04:06:00 PM,30.545,,
38,08/20/18 04:06:10 PM,30.545,,
39,08/20/18 04:06:20 PM,30.545,,
40,08/20/18 04:06:30 PM,30.545,,
41,08/20/18 04:06:40 PM,30.520,,
42,08/20/18 04:06:50 PM,30.520,,
43,08/20/18 04:07:00 PM,30.520,,
44,08/20/18 04:07:10 PM,30.520,,
45,08/20/18 04:07:20 PM,30.520,,
46,08/20/18 04:07:30 PM,30.520,,
47,08/20/18 04:07:40 PM,30.495,,
48,08/20/18 04:07:50 PM,30.495,,
49,08/20/18 04:08:00 PM,30.495,,
50,08/20/18 04:08:10 PM,30.495,,
51,08/20/18 04:08:20 PM,30.495,,
52,08/20/18 04:08:30 PM,30.495,,
53,08/20/18 04:08:40 PM,30.495,,
54,08/20/18 04:08:50 PM,30.469,,
55,08/20/18 04:09:00 PM,30.469,,
