sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
475	HP351	HP351_S218_L001_R1_001.fastq.gz	b35067fd29c9f64af41035cba11168016a50e63b31a53b8f3ffa18431f6efd91	HP351_S218_L001_R2_001.fastq.gz	323f81711be3366f6f58e915373dbf9d99bb0d4f60ec3f0ddac5fb5384c100d8	52194	27789	486	27789	486	0	0	0	0	26108	5	0	0	148	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180905.0	NoData
369	HP245	HP245_S103_L001_R1_001.fastq.gz	99bf0515c205c09520620cf3762b967b19b581a515563e0a58b3a3281d10fcfd	HP245_S103_L001_R2_001.fastq.gz	80f9de3525306bd173fcb9dc6144596d68c8f25032a4e5903094f8a89446d961	39688	19925	389	19925	389	0	0	0	0	18737	5	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180905.0	NoData
226	HP102	HP102_S13_L001_R1_001.fastq.gz	523442d68d613f4a441eee405452e968a44f95dcda07738a98b0b41c05080604	HP102_S13_L001_R2_001.fastq.gz	043b1a4271130cfdae233f7b7723505075c297a5ee2039f1b998111e6bf82c5a	56489	24928	426	24911	425	0	0	17	1	23768	8	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180905.0	NoData
381	HP257	HP257_S152_L001_R1_001.fastq.gz	043fa603ba58283829258136757ea841806d3249ecc8a6c15d8d49721575180e	HP257_S152_L001_R2_001.fastq.gz	303d56cddf0715644904f829337e1e5092db78bdc1921851f379b2807a3aab0d	32125	18310	374	18292	373	18	1	0	0	17229	5	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180905.0	NoData
294	HP170	HP170_S69_L001_R1_001.fastq.gz	beeb55481c77cde09f5e2d64d070c5a040d70c3ea3b3b79be5a57a5e625a369e	HP170_S69_L001_R2_001.fastq.gz	c139f536fe68f884410412e2200db135d320b3a2c055ca4285f35aaaa167a34d	73536	37921	592	37903	591	18	1	0	0	35917	6	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180910.0	NoData
408	HP284	HP284_S191_L001_R1_001.fastq.gz	6d9113990e8c406c58f8c874803dbff55d9afbefb8e1353e9c8ea9ff98f7ccdb	HP284_S191_L001_R2_001.fastq.gz	d510c5db4f9cd5523f5092ffcf1f795316ff8512982edf23d1d033e31a73af1b	31062	16578	297	16578	297	0	0	0	0	15661	10	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180905.0	NoData
317	HP193	HP193_S60_L001_R1_001.fastq.gz	4efce8c09db06c342a744d458417aca19c6ee028530cd5cadaa061c0cba33d3f	HP193_S60_L001_R2_001.fastq.gz	55c504dda506e9abc4496f0fa967b5ee17c05b57a82967d9ff523caee0007cf0	58618	28182	517	28182	517	0	0	0	0	26275	6	0	0	129	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Montipora	capitata	999.00000000	999.00000000	20180905.0	NoData
333	HP209	HP209_S146_L001_R1_001.fastq.gz	e822859c22a8349fd53c976f1f0e01c3a2c8178fb334f6022dea911d61f97436	HP209_S146_L001_R2_001.fastq.gz	bac3cf9d1c8acb265a59641ca8c2629150cd85d237f42ff8d1bacc89e0822beb	35355	20745	368	20745	368	0	0	0	0	19705	6	0	0	131	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180906.0	NoData
386	HP262	HP262_S117_L001_R1_001.fastq.gz	a21c09cebd281f56eb6f5d45812e16bdf42a6552fe16e45d0a6cad64ebf2536d	HP262_S117_L001_R2_001.fastq.gz	8dda5d3693f83430569cad1598e5ac9686d14a1e42d9dfeaec8a00c0f7e38a55	50983	26815	464	26815	464	0	0	0	0	25472	6	0	0	140	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180908.0	NoData
352	HP228	HP228_S184_L001_R1_001.fastq.gz	66972fe7726cab99a642e59449932df4bcd1592adab82a9aa2ae912f6946ea23	HP228_S184_L001_R2_001.fastq.gz	b5f1067184cf58811fbaaec366b979d1b2f5467aa3a0c0d4b13c2055ea4d6265	41493	23245	411	23170	410	75	1	0	0	21944	6	0	0	170	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180908.0	NoData
