Well,490:490
A1,1.459
B1,0.078
C1,0.162
D1,0.1
E1,0.139
F1,0.118
G1,0.045
H1,0.049
A2,1.477
B2,0.079
C2,0.151
D2,0.099
E2,0.137
F2,0.117
G2,0.045
H2,0.044
A3,0.775
B3,0.068
C3,0.086
D3,0.109
E3,0.095
F3,0.126
G3,0.045
H3,0.045
A4,0.782
B4,0.068
C4,0.086
D4,0.106
E4,0.094
F4,0.126
G4,0.045
H4,0.045
A5,0.422
B5,0.066
C5,0.09
D5,0.12
E5,0.196
F5,0.045
G5,0.045
H5,0.044
A6,0.412
B6,0.063
C6,0.09
D6,0.123
E6,0.188
F6,0.045
G6,0.045
H6,0.044
A7,0.233
B7,0.063
C7,0.088
D7,0.14
E7,0.171
F7,0.045
G7,0.044
H7,0.044
A8,0.232
B8,0.058
C8,0.087
D8,0.143
E8,0.171
F8,0.045
G8,0.045
H8,0.044
A9,0.142
B9,0.073
C9,0.084
D9,0.135
E9,0.105
F9,0.044
G9,0.044
H9,0.045
A10,0.149
B10,0.075
C10,0.086
D10,0.138
E10,0.108
F10,0.044
G10,0.044
H10,0.044
A11,0.099
B11,0.129
C11,0.196
D11,0.076
E11,0.185
F11,0.045
G11,0.044
H11,0.044
A12,0.099
B12,0.124
C12,0.194
D12,0.078
E12,0.181
F12,0.045
G12,0.046
H12,0.045
