sample,mass,salinity,Sample.ID,Type
20180916_Tank5,59.15,34.00,TANK5,TANK
20180916_Tank4,59.57,34.05,TANK4,TANK
20180916_Tank10,59.18,34.20,TANK10,TANK
20180916_Tank3,59.12,34.07,TANK3,TANK
20180916_Tank11,59.60,34.02,TANK11,TANK
20180916_Tank2,59.62,34.17,TANK2,TANK
