sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
C1d-noName-C42.2-C1-noName,10,-0.11398612425387461,-0.006701111823377589,0.0002810444217667467,1.531412190370897e-05,-3.252091715895846e-05,0.005627641893770557,-4.201168833551453e-07,-0.0006725094816643201,-0.0,0.0,0.0
C1d/C42.2-C1-C3cg,11,-0.10856216721176926,-0.005330261688839894,-0.00021468759118576584,9.809935386162187e-06,-1.7933024625813534e-05,0.00042192543423274576,-7.024336100467469e-07,-0.0003997325216071931,-0.0,0.0,0.0
C1d-noName-C42.2-C1,13,-0.114933046125308,-0.00722135998580138,0.00040596815307947535,1.964619346329602e-05,4.5717853809830436e-05,-0.0014806895469575594,-9.852733691973224e-07,0.003272063153367576,-0.0,0.0,0.0
C1d-C31-C42.2-C1,15,-0.09097368975561271,0.0006404028597773658,-0.0019978490264759823,-2.561777879494422e-05,-0.00020838715448149342,-0.00021983276782805953,1.1386025002121919e-06,-0.00012814195388958973,-0.0,0.0,0.0
C1d/C31/C17d-2099_C,16,-0.06306748609715031,0.032176079348560586,-0.0055152315908966664,-0.00046511470508621205,0.0001328289646723043,-0.0001293888658481181,-3.499344666792522e-06,1.5086718971072215e-05,-0.0,0.0,0.0
C1d,20,-0.11728210901344188,-0.007948677817472103,0.0006465036219804339,2.4137975230821645e-05,8.776571778159123e-05,-0.004199656340960904,2.9955308038206274e-07,-0.002088797584101106,-0.0,0.0,0.0
C31-C17d-C31.1-C21-C31a-noName,12,0.1384324671960527,-0.0038959634151921213,-0.006647275318795929,-0.013244738385404797,-0.002908305417791931,-3.324850559410965e-05,-0.0011397083374607543,1.5135998286664163e-06,-0.0,0.0,0.0
C31/C17d-C21-C21ac-C31.9,14,0.10628907984453184,0.0013076742920710214,0.010059976707003617,0.0032777225706885895,0.00390481626338739,3.385140106992565e-05,-0.003049150135664479,-1.9084645704256396e-06,-0.0,0.0,0.0
C31-C17d-C21-C21ac-C31a-C17e,18,0.1129291153932854,9.04915373569724e-05,0.0071496830691419695,-0.004839574356859236,0.004438608533011988,3.619184497223828e-05,0.0029292851741187153,-9.1251454893005e-07,-0.0,0.0,0.0
C31/C17d-C21-C21ac-C17e-C17f-C31.9,19,0.09925346565843965,0.002916637889218232,0.01370838541492675,0.00579944899085745,-0.005933139534834689,-3.682888725488883e-05,0.0007829507684292674,1.5172702696203901e-06,-0.0,0.0,0.0
C31,21,0.151900494364847,-0.006033911196301351,-0.01787651786054631,0.009428965438615525,0.000490548716230217,-1.996565960335201e-05,0.00048079154352843,1.8217779389978597e-06,-0.0,0.0,0.0
proportion_explained,0.0,0.9823074556909411,0.009015621382835504,0.0051809511850422355,0.0023296333418997067,0.0005532184183158874,0.00036273895604120967,0.00014034179895729086,0.00011003922596703147,0.0,0.0,0.0
