"","observed","shannon","simperson","invsimperson","chao1","chao2","evenness","Gini"
"77",0,0,1,Inf,0,0,NA,NA
"109",0,0,1,Inf,0,0,NA,NA
"63",0,0,1,Inf,0,0,NA,NA
"212",0,0,1,Inf,0,0,NA,NA
"115",0,0,1,Inf,0,0,NA,NA
"111",0,0,1,Inf,0,0,NA,NA
"176",0,0,1,Inf,0,0,NA,NA
"106",0,0,1,Inf,0,0,NA,NA
"191",0,0,1,Inf,0,0,NA,NA
"80",0,0,1,Inf,0,0,NA,NA
"311",0,0,1,Inf,0,0,NA,NA
"62",0,0,1,Inf,0,0,NA,NA
"217",0,0,1,Inf,0,0,NA,NA
"102",0,0,1,Inf,0,0,NA,NA
"205",0,0,1,Inf,0,0,NA,NA
"130",0,0,1,Inf,0,0,NA,NA
"153",0,0,1,Inf,0,0,NA,NA
"169",0,0,1,Inf,0,0,NA,NA
"68",0,0,1,Inf,0,0,NA,NA
"222",0,0,1,Inf,0,0,NA,NA
"134",0,0,1,Inf,0,0,NA,NA
"231",0,0,1,Inf,0,0,NA,NA
"244",0,0,1,Inf,0,0,NA,NA
"223",0,0,1,Inf,0,0,NA,NA
"271",0,0,1,Inf,0,0,NA,NA
"171",0,0,1,Inf,0,0,NA,NA
"269",0,0,1,Inf,0,0,NA,NA
"94",0,0,1,Inf,0,0,NA,NA
"272",0,0,1,Inf,0,0,NA,NA
"188",0,0,1,Inf,0,0,NA,NA
"65",0,0,1,Inf,0,0,NA,NA
"221",0,0,1,Inf,0,0,NA,NA
"131",0,0,1,Inf,0,0,NA,NA
"79",0,0,1,Inf,0,0,NA,NA
"145",0,0,1,Inf,0,0,NA,NA
"141",0,0,1,Inf,0,0,NA,NA
"110",0,0,1,Inf,0,0,NA,NA
"91",0,0,1,Inf,0,0,NA,NA
"150",0,0,1,Inf,0,0,NA,NA
"107",0,0,1,Inf,0,0,NA,NA
"237",0,0,1,Inf,0,0,NA,NA
"73",0,0,1,Inf,0,0,NA,NA
"84",0,0,1,Inf,0,0,NA,NA
"258",0,0,1,Inf,0,0,NA,NA
"158",0,0,1,Inf,0,0,NA,NA
"178",0,0,1,Inf,0,0,NA,NA
"78",0,0,1,Inf,0,0,NA,NA
"177",0,0,1,Inf,0,0,NA,NA
"148",0,0,1,Inf,0,0,NA,NA
"74",0,0,1,Inf,0,0,NA,NA
"301",0,0,1,Inf,0,0,NA,NA
"182",0,0,1,Inf,0,0,NA,NA
"263",0,0,1,Inf,0,0,NA,NA
"289",0,0,1,Inf,0,0,NA,NA
"174",0,0,1,Inf,0,0,NA,NA
"140",0,0,1,Inf,0,0,NA,NA
"197",0,0,1,Inf,0,0,NA,NA
"66",0,0,1,Inf,0,0,NA,NA
"313",0,0,1,Inf,0,0,NA,NA
"135",0,0,1,Inf,0,0,NA,NA
"189",0,0,1,Inf,0,0,NA,NA
