Well,Plug_ID
A1,1294
A2,1294
A3,1537
A4,1537
A5,1213
A6,1213
A7,1620
A8,1620
A9,1636
A10,1636
A11,1042
A12,1042
B1,2184
B2,2184
B3,1572
B4,1572
B5,1249
B6,1249
B7,1760
B8,1760
B9,2018
B10,2018
B11,NA
B12,NA
C1,2401
C2,2401
C3,1738
C4,1738
C5,1297
C6,1297
C7,NA
C8,NA
C9,NA
C10,NA
C11,1778
C12,1778
D1,1686
D2,1686
D3,2998
D4,2998
D5,1191
D6,1191
D7,1702
D8,1702
D9,2062
D10,2062
D11,1086
D12,1086
E1,1163
E2,1163
E3,1084
E4,1084
E5,1253
E6,1253
E7,1772
E8,1772
E9,2058
E10,2058
E11,1187
E12,1187
F1,2853
F2,2853
F3,1540
F4,1540
F5,1598
F6,1598
F7,1584
F8,1584
F9,1411
F10,1411
F11,2189
F12,2189
G1,2728
G2,2728
G3,2982
G4,2982
G5,1048
G6,1048
G7,1547
G8,1547
G9,1228
G10,1228
G11,1639
G12,1639
H1,1414
H2,1414
H3,1174
H4,1174
H5,1748
H6,1748
H7,1743
H8,1743
H9,1482
H10,1482
H11,1413
H12,1413
