Plate,Well,Plug_ID
20201007 Plate 2,E6,1253
20201007 Plate 2,E7,1772
20201007 Plate 2,E8,1772
20201007 Plate 2,E9,2058
20201007 Plate 2,E10,2058
20201007 Plate 2,E11,1187
20201007 Plate 2,E12,1187
20201007 Plate 2,F1,2853
20201007 Plate 2,F2,2853
20201007 Plate 2,F3,1540
20201007 Plate 2,F4,1540
20201007 Plate 2,F5,1598
20201007 Plate 2,F6,1598
20201007 Plate 2,F7,1584
20201007 Plate 2,F8,1584
20201007 Plate 2,F9,1411
20201007 Plate 2,F10,1411
20201007 Plate 2,F11,2189
20201007 Plate 2,F12,2189
20201007 Plate 2,G1,2728
20201007 Plate 2,G2,2728
20201007 Plate 2,G3,2982
20201007 Plate 2,G4,2982
20201007 Plate 2,G5,1048
20201007 Plate 2,G6,1048
20201007 Plate 2,G7,1547
20201007 Plate 2,G8,1547
20201007 Plate 2,G9,1228
20201007 Plate 2,G10,1228
20201007 Plate 2,G11,1639
20201007 Plate 2,G12,1639
20201007 Plate 2,H1,1414
20201007 Plate 2,H2,1414
20201007 Plate 2,H3,1174
20201007 Plate 2,H4,1174
20201007 Plate 2,H5,1748
20201007 Plate 2,H6,1748
20201007 Plate 2,H7,1743
20201007 Plate 2,H8,1743
20201007 Plate 2,H9,1482
20201007 Plate 2,H10,1482
20201007 Plate 2,H11,1413
20201007 Plate 2,H12,1413
20201007 Plate 3,A1,1258
20201007 Plate 3,A2,1258
20201007 Plate 3,A3,1484
20201007 Plate 3,A4,1484
20201007 Plate 3,A5,1690
20201007 Plate 3,A6,1690
20201007 Plate 3,A7,1992
20201007 Plate 3,A8,1992
20201007 Plate 3,A9,1175
20201007 Plate 3,A10,1175
20201007 Plate 3,A11,1304
20201007 Plate 3,A12,1304
20201007 Plate 3,B1,2203
20201007 Plate 3,B2,2203
20201007 Plate 3,B3,2729
20201007 Plate 3,B4,2729
20201007 Plate 3,B5,1146
20201007 Plate 3,B6,1146
20201007 Plate 3,B7,1116
20201007 Plate 3,B8,1116
20201007 Plate 3,B9,1077
20201007 Plate 3,B10,1077
20201007 Plate 3,B11,1625
20201007 Plate 3,B12,1625
20201007 Plate 3,C1,1409
20201007 Plate 3,C2,1409
20201007 Plate 3,C3,1764
20201007 Plate 3,C4,1764
20201007 Plate 3,C5,1300
20201007 Plate 3,C6,1300
20201007 Plate 3,C7,2013
20201007 Plate 3,C8,2013
20201007 Plate 3,C9,1285
20201007 Plate 3,C10,1285
20201007 Plate 3,C11,1688
20201007 Plate 3,C12,1688
20201007 Plate 3,D1,1495
20201007 Plate 3,D2,1495
20201007 Plate 3,D3,1483
20201007 Plate 3,D4,1483
20201007 Plate 3,D5,1599
20201007 Plate 3,D6,1599
20201007 Plate 3,D7,1065
20201007 Plate 3,D8,1065
20201007 Plate 3,D9,1256
20201007 Plate 3,D10,1256
20201007 Plate 3,D11,1091
20201007 Plate 3,D12,1091
20201007 Plate 3,E1,1305
20201007 Plate 3,E2,1305
20201007 Plate 3,E3,1344
20201007 Plate 3,E4,1344
20201007 Plate 3,E5,1211
20201007 Plate 3,E6,1211
20201007 Plate 3,E7,1100
20201007 Plate 3,E8,1100
20201007 Plate 3,E9,2404
20201007 Plate 3,E10,2404
20201007 Plate 3,E11,1240
20201007 Plate 3,E12,1240
20201007 Plate 3,F1,2169
20201007 Plate 3,F2,2169
20201007 Plate 3,F3,2164
20201007 Plate 3,F4,2164
20201007 Plate 3,F5,2156
20201007 Plate 3,F6,2156
20201007 Plate 3,F7,1630
20201007 Plate 3,F8,1630
20201007 Plate 3,F9,1127
20201007 Plate 3,F10,1127
20201007 Plate 3,F11,1756
20201007 Plate 3,F12,1756
20201007 Plate 3,G1,2858
20201007 Plate 3,G2,2858
20201007 Plate 3,G3,1576
20201007 Plate 3,G4,1576
20201007 Plate 3,G5,1560
20201007 Plate 3,G6,1560
20201007 Plate 3,G7,1217
20201007 Plate 3,G8,1217
20201007 Plate 3,G9,2996
20201007 Plate 3,G10,2996
20201007 Plate 3,G11,1723
20201007 Plate 3,G12,1723
20201007 Plate 3,H1,1327
20201007 Plate 3,H2,1327
20201007 Plate 3,H3,1180
20201007 Plate 3,H4,1180
20201007 Plate 3,H5,1811
20201007 Plate 3,H6,1811
20201007 Plate 3,H7,1470
20201007 Plate 3,H8,1470
20201007 Plate 3,H9,1325
20201007 Plate 3,H10,1325
20201007 Plate 3,H11,2394
20201007 Plate 3,H12,2394
20201014 Plate 1,A1,StandardA
20201014 Plate 1,A2,StandardA
20201014 Plate 1,A3,StandardB
20201014 Plate 1,A4,StandardB
20201014 Plate 1,A5,StandardC
20201014 Plate 1,A6,StandardC
20201014 Plate 1,A7,StandardD
20201014 Plate 1,A8,StandardD
20201014 Plate 1,A9,StandardE
20201014 Plate 1,A10,StandardE
20201014 Plate 1,A11,StandardF
20201014 Plate 1,A12,StandardF
20201014 Plate 1,B1,StandardG
20201014 Plate 1,B2,StandardG
20201014 Plate 1,B3,StandardH
20201014 Plate 1,B4,StandardH
20201014 Plate 1,B5,StandardI
20201014 Plate 1,B6,StandardI
20201014 Plate 1,B7,2864
20201014 Plate 1,B8,2864
20201014 Plate 1,B9,2001
20201014 Plate 1,B10,2001
20201014 Plate 1,B11,1602
20201014 Plate 1,B12,1602
20201014 Plate 1,C1,1500
20201014 Plate 1,C2,1500
20201014 Plate 1,C3,1727
20201014 Plate 1,C4,1727
20201014 Plate 1,C5,1724
20201014 Plate 1,C6,1724
20201014 Plate 1,C7,1752
20201014 Plate 1,C8,1752
20201014 Plate 1,C9,1088
20201014 Plate 1,C10,1088
20201014 Plate 1,C11,1549
20201014 Plate 1,C12,1549
20201014 Plate 1,D1,1430
20201014 Plate 1,D2,1430
20201014 Plate 1,D3,2871
20201014 Plate 1,D4,2871
20201014 Plate 1,D5,1232
20201014 Plate 1,D6,1232
20201014 Plate 1,D7,2060
20201014 Plate 1,D8,2060
20201014 Plate 1,D9,1626
20201014 Plate 1,D10,1626
20201014 Plate 1,D11,1717
20201014 Plate 1,D12,1717
20201014 Plate 1,E1,1753
20201014 Plate 1,E2,1753
20201014 Plate 1,E3,2192
20201014 Plate 1,E4,2192
20201014 Plate 1,E5,1298
20201014 Plate 1,E6,1298
20201014 Plate 1,E7,1439
20201014 Plate 1,E8,1439
20201014 Plate 1,E9,2168
20201014 Plate 1,E10,2168
20201014 Plate 1,E11,1655
20201014 Plate 1,E12,1655
20201014 Plate 1,F1,1621
20201014 Plate 1,F2,1621
20201014 Plate 1,F3,2063
20201014 Plate 1,F4,2063
20201014 Plate 1,F5,2521
20201014 Plate 1,F6,2521
20201014 Plate 1,F7,1288
20201014 Plate 1,F8,1288
20201014 Plate 1,F9,1423
20201014 Plate 1,F10,1423
20201014 Plate 1,F11,1286
20201014 Plate 1,F12,1286
20201014 Plate 1,G1,1444
20201014 Plate 1,G2,1444
20201014 Plate 1,G3,1710
20201014 Plate 1,G4,1710
20201014 Plate 1,G5,1156
20201014 Plate 1,G6,1156
20201014 Plate 1,G7,2003
20201014 Plate 1,G8,2003
20201014 Plate 1,G9,2165
20201014 Plate 1,G10,2165
20201014 Plate 1,G11,1570
20201014 Plate 1,G12,1570
20201014 Plate 1,H1,2515
20201014 Plate 1,H2,2515
20201014 Plate 1,H3,1741
20201014 Plate 1,H4,1741
20201014 Plate 1,H5,1718
20201014 Plate 1,H6,1718
20201014 Plate 1,H7,1432
20201014 Plate 1,H8,1432
20201014 Plate 1,H9,2666
20201014 Plate 1,H10,2666
20201014 Plate 1,H11,NA
20201014 Plate 1,H12,NA
20201014 Plate 2,A1,1829
20201014 Plate 2,A2,1829
20201014 Plate 2,A3,1646
20201014 Plate 2,A4,1646
20201014 Plate 2,A5,1336
20201014 Plate 2,A6,1336
20201014 Plate 2,A7,1574
20201014 Plate 2,A8,1574
20201014 Plate 2,A9,1194
20201014 Plate 2,A10,1194
20201014 Plate 2,A11,1490
20201014 Plate 2,A12,1490
20201014 Plate 2,B1,1339
20201014 Plate 2,B2,1339
20201014 Plate 2,B3,1271
20201014 Plate 2,B4,1271
20201014 Plate 2,B5,2002
20201014 Plate 2,B6,2002
20201014 Plate 2,B7,1825
20201014 Plate 2,B8,1825
20201014 Plate 2,B9,1691
20201014 Plate 2,B10,1691
20201014 Plate 2,B11,NA
20201014 Plate 2,B12,NA
20201014 Plate 2,C1,1118
20201014 Plate 2,C2,1118
20201014 Plate 2,C3,1618
20201014 Plate 2,C4,1618
20201014 Plate 2,C5,1649
20201014 Plate 2,C6,1649
20201014 Plate 2,C7,1629
20201014 Plate 2,C8,1629
20201014 Plate 2,C9,1553
20201014 Plate 2,C10,1553
20201014 Plate 2,C11,NA
20201014 Plate 2,C12,NA
20201014 Plate 2,D1,1324
20201014 Plate 2,D2,1324
20201014 Plate 2,D3,2416
20201014 Plate 2,D4,2416
20201014 Plate 2,D5,1443
20201014 Plate 2,D6,1443
20201014 Plate 2,D7,1437
20201014 Plate 2,D8,1437
20201014 Plate 2,D9,2882
20201014 Plate 2,D10,2882
20201014 Plate 2,D11,NA
20201014 Plate 2,D12,NA
20201014 Plate 2,E1,1326
20201014 Plate 2,E2,1326
20201014 Plate 2,E3,2094
20201014 Plate 2,E4,2094
20201014 Plate 2,E5,1735
20201014 Plate 2,E6,1735
20201014 Plate 2,E7,1446
20201014 Plate 2,E8,1446
20201014 Plate 2,E9,1170
20201014 Plate 2,E10,1170
20201014 Plate 2,E11,NA
20201014 Plate 2,E12,NA
20201014 Plate 2,F1,2010
20201014 Plate 2,F2,2010
20201014 Plate 2,F3,2208
20201014 Plate 2,F4,2208
20201014 Plate 2,F5,1473
20201014 Plate 2,F6,1473
20201014 Plate 2,F7,2532
20201014 Plate 2,F8,2532
20201014 Plate 2,F9,1448
20201014 Plate 2,F10,1448
20201014 Plate 2,F11,NA
20201014 Plate 2,F12,NA
20201014 Plate 2,G1,1054
20201014 Plate 2,G2,1054
20201014 Plate 2,G3,1241
20201014 Plate 2,G4,1241
20201014 Plate 2,G5,1185
20201014 Plate 2,G6,1185
20201014 Plate 2,G7,1586
20201014 Plate 2,G8,1586
20201014 Plate 2,G9,1044
20201014 Plate 2,G10,1044
20201014 Plate 2,G11,NA
20201014 Plate 2,G12,NA
20201014 Plate 2,H1,1222
20201014 Plate 2,H2,1222
20201014 Plate 2,H3,2751
20201014 Plate 2,H4,2751
20201014 Plate 2,H5,1111
20201014 Plate 2,H6,1111
20201014 Plate 2,H7,1693
20201014 Plate 2,H8,1693
20201014 Plate 2,H9,1142
20201014 Plate 2,H10,1142
20201014 Plate 2,H11,NA
20201014 Plate 2,H12,NA
20201014 Plate 3,A1,NA
20201014 Plate 3,A2,NA
20201014 Plate 3,A3,1273
20201014 Plate 3,A4,1273
20201014 Plate 3,A5,2079
20201014 Plate 3,A6,2079
20201014 Plate 3,A7,1573
20201014 Plate 3,A8,1573
20201014 Plate 3,A9,1908
20201014 Plate 3,A10,1908
20201014 Plate 3,A11,NA
20201014 Plate 3,A12,NA
20201014 Plate 3,B1,1135
20201014 Plate 3,B2,1135
20201014 Plate 3,B3,1566
20201014 Plate 3,B4,1566
20201014 Plate 3,B5,1565
20201014 Plate 3,B6,1565
20201014 Plate 3,B7,2857
20201014 Plate 3,B8,2857
20201014 Plate 3,B9,NA
20201014 Plate 3,B10,NA
20201014 Plate 3,B11,NA
20201014 Plate 3,B12,NA
20201014 Plate 3,C1,NA
20201014 Plate 3,C2,NA
20201014 Plate 3,C3,NA
20201014 Plate 3,C4,NA
20201014 Plate 3,C5,NA
20201014 Plate 3,C6,NA
20201014 Plate 3,C7,NA
20201014 Plate 3,C8,NA
20201014 Plate 3,C9,NA
20201014 Plate 3,C10,NA
20201014 Plate 3,C11,NA
20201014 Plate 3,C12,NA
20201014 Plate 3,D1,NA
20201014 Plate 3,D2,NA
20201014 Plate 3,D3,NA
20201014 Plate 3,D4,NA
20201014 Plate 3,D5,NA
20201014 Plate 3,D6,NA
20201014 Plate 3,D7,NA
20201014 Plate 3,D8,NA
20201014 Plate 3,D9,NA
20201014 Plate 3,D10,NA
20201014 Plate 3,D11,NA
20201014 Plate 3,D12,NA
20201014 Plate 3,E1,NA
20201014 Plate 3,E2,NA
20201014 Plate 3,E3,NA
20201014 Plate 3,E4,NA
20201014 Plate 3,E5,NA
20201014 Plate 3,E6,NA
20201014 Plate 3,E7,NA
20201014 Plate 3,E8,NA
20201014 Plate 3,E9,NA
20201014 Plate 3,E10,NA
20201014 Plate 3,E11,NA
20201014 Plate 3,E12,NA
20201014 Plate 3,F1,NA
20201014 Plate 3,F2,NA
20201014 Plate 3,F3,NA
20201014 Plate 3,F4,NA
20201014 Plate 3,F5,NA
20201014 Plate 3,F6,NA
20201014 Plate 3,F7,NA
20201014 Plate 3,F8,NA
20201014 Plate 3,F9,NA
20201014 Plate 3,F10,NA
20201014 Plate 3,F11,NA
20201014 Plate 3,F12,NA
20201014 Plate 3,G1,NA
20201014 Plate 3,G2,NA
20201014 Plate 3,G3,NA
20201014 Plate 3,G4,NA
20201014 Plate 3,G5,NA
20201014 Plate 3,G6,NA
20201014 Plate 3,G7,NA
20201014 Plate 3,G8,NA
20201014 Plate 3,G9,NA
20201014 Plate 3,G10,NA
20201014 Plate 3,G11,NA
20201014 Plate 3,G12,NA
20201014 Plate 3,H1,NA
20201014 Plate 3,H2,NA
20201014 Plate 3,H3,NA
20201014 Plate 3,H4,NA
20201014 Plate 3,H5,NA
20201014 Plate 3,H6,NA
20201014 Plate 3,H7,NA
20201014 Plate 3,H8,NA
20201014 Plate 3,H9,NA
20201014 Plate 3,H10,NA
20201014 Plate 3,H11,NA
20201014 Plate 3,H12,NA
20201025 Plate 1,A1,StandardA
20201025 Plate 1,A2,StandardA
20201025 Plate 1,A3,StandardB
20201025 Plate 1,A4,StandardB
20201025 Plate 1,A5,StandardC
20201025 Plate 1,A6,StandardC
20201025 Plate 1,A7,StandardD
20201025 Plate 1,A8,StandardD
20201025 Plate 1,A9,StandardE
20201025 Plate 1,A10,StandardE
20201025 Plate 1,A11,StandardF
20201025 Plate 1,A12,StandardF
20201025 Plate 1,B1,StandardG
20201025 Plate 1,B2,StandardG
20201025 Plate 1,B3,StandardH
20201025 Plate 1,B4,StandardH
20201025 Plate 1,B5,StandardI
20201025 Plate 1,B6,StandardI
20201025 Plate 1,B7,1067
20201025 Plate 1,B8,1067
20201025 Plate 1,B9,1498
20201025 Plate 1,B10,1498
20201025 Plate 1,B11,2407
20201025 Plate 1,B12,2407
20201025 Plate 1,C1,1353
20201025 Plate 1,C2,1353
20201025 Plate 1,C3,1730
20201025 Plate 1,C4,1730
20201025 Plate 1,C5,2517
20201025 Plate 1,C6,2517
20201025 Plate 1,C7,NA
20201025 Plate 1,C8,NA
20201025 Plate 1,C9,1616
20201025 Plate 1,C10,1616
20201025 Plate 1,C11,1162
20201025 Plate 1,C12,1162
20201025 Plate 1,D1,1061
20201025 Plate 1,D2,1061
20201025 Plate 1,D3,1063
20201025 Plate 1,D4,1063
20201025 Plate 1,D5,1492
20201025 Plate 1,D6,1492
20201025 Plate 1,D7,2669
20201025 Plate 1,D8,2669
20201025 Plate 1,D9,1234
20201025 Plate 1,D10,1234
20201025 Plate 1,D11,1102
20201025 Plate 1,D12,1102
20201025 Plate 1,E1,1122
20201025 Plate 1,E2,1122
20201025 Plate 1,E3,1299
20201025 Plate 1,E4,1299
20201025 Plate 1,E5,2565
20201025 Plate 1,E6,2565
20201025 Plate 1,E7,2874
20201025 Plate 1,E8,2874
20201025 Plate 1,E9,1822
20201025 Plate 1,E10,1822
20201025 Plate 1,E11,1593
20201025 Plate 1,E12,1593
20201025 Plate 1,F1,1410
20201025 Plate 1,F2,1410
20201025 Plate 1,F3,1469
20201025 Plate 1,F4,1469
20201025 Plate 1,F5,2372
20201025 Plate 1,F6,2372
20201025 Plate 1,F7,1551
20201025 Plate 1,F8,1551
20201025 Plate 1,F9,2525
20201025 Plate 1,F10,2525
20201025 Plate 1,F11,1708
20201025 Plate 1,F12,1708
20201025 Plate 1,G1,NA
20201025 Plate 1,G2,NA
20201025 Plate 1,G3,1592
20201025 Plate 1,G4,1592
20201025 Plate 1,G5,1650
20201025 Plate 1,G6,1650
20201025 Plate 1,G7,1479
20201025 Plate 1,G8,1479
20201025 Plate 1,G9,1534
20201025 Plate 1,G10,1534
20201025 Plate 1,G11,1295
20201025 Plate 1,G12,1295
20201025 Plate 1,H1,1640
20201025 Plate 1,H2,1640
20201025 Plate 1,H3,1136
20201025 Plate 1,H4,1136
20201025 Plate 1,H5,2360
20201025 Plate 1,H6,2360
20201025 Plate 1,H7,1564
20201025 Plate 1,H8,1564
20201025 Plate 1,H9,2297
20201025 Plate 1,H10,2297
20201025 Plate 1,H11,NA
20201025 Plate 1,H12,NA
20201025 Plate 2,A1,1480
20201025 Plate 2,A2,1480
20201025 Plate 2,A3,2852
20201025 Plate 2,A4,2852
20201025 Plate 2,A5,1210
20201025 Plate 2,A6,1210
20201025 Plate 2,A7,2863
20201025 Plate 2,A8,2863
20201025 Plate 2,A9,1066
20201025 Plate 2,A10,1066
20201025 Plate 2,A11,1998
20201025 Plate 2,A12,1998
20201025 Plate 2,B1,2011
20201025 Plate 2,B2,2011
20201025 Plate 2,B3,1117
20201025 Plate 2,B4,1117
20201025 Plate 2,B5,1494
20201025 Plate 2,B6,1494
20201025 Plate 2,B7,2749
20201025 Plate 2,B8,2749
20201025 Plate 2,B9,1749
20201025 Plate 2,B10,1749
20201025 Plate 2,B11,2978
20201025 Plate 2,B12,2978
20201025 Plate 2,C1,1171
20201025 Plate 2,C2,1171
20201025 Plate 2,C3,2153
20201025 Plate 2,C4,2153
20201025 Plate 2,C5,2396
20201025 Plate 2,C6,2396
20201025 Plate 2,C7,1608
20201025 Plate 2,C8,1608
20201025 Plate 2,C9,2744
20201025 Plate 2,C10,2744
20201025 Plate 2,C11,3002
20201025 Plate 2,C12,3002
20201025 Plate 2,D1,1426
20201025 Plate 2,D2,1426
20201025 Plate 2,D3,1438
20201025 Plate 2,D4,1438
20201025 Plate 2,D5,1761
20201025 Plate 2,D6,1761
20201025 Plate 2,D7,1774
20201025 Plate 2,D8,1774
20201025 Plate 2,D9,1284
20201025 Plate 2,D10,1284
20201025 Plate 2,D11,1272
20201025 Plate 2,D12,1272
20201025 Plate 2,E1,2398
20201025 Plate 2,E2,2398
20201025 Plate 2,E3,1758
20201025 Plate 2,E4,1758
20201025 Plate 2,E5,1643
20201025 Plate 2,E6,1643
20201025 Plate 2,E7,1725
20201025 Plate 2,E8,1725
20201025 Plate 2,E9,1247
20201025 Plate 2,E10,1247
20201025 Plate 2,E11,2211
20201025 Plate 2,E12,2211
20201025 Plate 2,F1,2004
20201025 Plate 2,F2,2004
20201025 Plate 2,F3,2279
20201025 Plate 2,F4,2279
20201025 Plate 2,F5,1585
20201025 Plate 2,F6,1585
20201025 Plate 2,F7,2552
20201025 Plate 2,F8,2552
20201025 Plate 2,F9,1578
20201025 Plate 2,F10,1578
20201025 Plate 2,F11,2529
20201025 Plate 2,F12,2529
20201025 Plate 2,G1,1337
20201025 Plate 2,G2,1337
20201025 Plate 2,G3,1679
20201025 Plate 2,G4,1679
20201025 Plate 2,G5,1197
20201025 Plate 2,G6,1197
20201025 Plate 2,G7,1316
20201025 Plate 2,G8,1316
20201025 Plate 2,G9,2826
20201025 Plate 2,G10,2826
20201025 Plate 2,G11,2869
20201025 Plate 2,G12,2869
20201025 Plate 2,H1,1099
20201025 Plate 2,H2,1099
20201025 Plate 2,H3,3000
20201025 Plate 2,H4,3000
20201025 Plate 2,H5,2378
20201025 Plate 2,H6,2378
20201025 Plate 2,H7,1597
20201025 Plate 2,H8,1597
20201025 Plate 2,H9,2044
20201025 Plate 2,H10,2044
20201025 Plate 2,H11,1638
20201025 Plate 2,H12,1638
20201025 Plate 3,A1,1133
20201025 Plate 3,A2,1133
20201025 Plate 3,A3,1036
20201025 Plate 3,A4,1036
20201025 Plate 3,A5,1281
20201025 Plate 3,A6,1281
20201025 Plate 3,A7,1243
20201025 Plate 3,A8,1243
20201025 Plate 3,A9,1538
20201025 Plate 3,A10,1538
20201025 Plate 3,A11,1038
20201025 Plate 3,A12,1038
20201025 Plate 3,B1,2198
20201025 Plate 3,B2,2198
20201025 Plate 3,B3,1550
20201025 Plate 3,B4,1550
20201025 Plate 3,B5,1189
20201025 Plate 3,B6,1189
20201025 Plate 3,B7,2070
20201025 Plate 3,B8,2070
20201025 Plate 3,B9,1454
20201025 Plate 3,B10,1454
20201025 Plate 3,B11,1264
20201025 Plate 3,B12,1264
20201025 Plate 3,C1,1737
20201025 Plate 3,C2,1737
20201025 Plate 3,C3,1687
20201025 Plate 3,C4,1687
20201025 Plate 3,C5,1568
20201025 Plate 3,C6,1568
20201025 Plate 3,C7,1265
20201025 Plate 3,C8,1265
20201025 Plate 3,C9,1333
20201025 Plate 3,C10,1333
20201025 Plate 3,C11,NA
20201025 Plate 3,C12,NA
20201025 Plate 3,D1,1045
20201025 Plate 3,D2,1045
20201025 Plate 3,D3,1182
20201025 Plate 3,D4,1182
20201025 Plate 3,D5,1166
20201025 Plate 3,D6,1166
20201025 Plate 3,D7,1216
20201025 Plate 3,D8,1216
20201025 Plate 3,D9,2301
20201025 Plate 3,D10,2301
20201025 Plate 3,D11,1533
20201025 Plate 3,D12,1533
20201025 Plate 3,E1,1075
20201025 Plate 3,E2,1075
20201025 Plate 3,E3,1215
20201025 Plate 3,E4,1215
20201025 Plate 3,E5,1309
20201025 Plate 3,E6,1309
20201025 Plate 3,E7,2172
20201025 Plate 3,E8,2172
20201025 Plate 3,E9,1149
20201025 Plate 3,E10,1149
20201025 Plate 3,E11,1541
20201025 Plate 3,E12,1541
20201025 Plate 3,F1,NA
20201025 Plate 3,F2,NA
20201025 Plate 3,F3,NA
20201025 Plate 3,F4,NA
20201025 Plate 3,F5,NA
20201025 Plate 3,F6,NA
20201025 Plate 3,F7,NA
20201025 Plate 3,F8,NA
20201025 Plate 3,F9,NA
20201025 Plate 3,F10,NA
20201025 Plate 3,F11,NA
20201025 Plate 3,F12,NA
20201025 Plate 3,G1,NA
20201025 Plate 3,G2,NA
20201025 Plate 3,G3,NA
20201025 Plate 3,G4,NA
20201025 Plate 3,G5,NA
20201025 Plate 3,G6,NA
20201025 Plate 3,G7,NA
20201025 Plate 3,G8,NA
20201025 Plate 3,G9,NA
20201025 Plate 3,G10,NA
20201025 Plate 3,G11,NA
20201025 Plate 3,G12,NA
20201025 Plate 3,H1,NA
20201025 Plate 3,H2,NA
20201025 Plate 3,H3,NA
20201025 Plate 3,H4,NA
20201025 Plate 3,H5,NA
20201025 Plate 3,H6,NA
20201025 Plate 3,H7,NA
20201025 Plate 3,H8,NA
20201025 Plate 3,H9,NA
20201025 Plate 3,H10,NA
20201025 Plate 3,H11,NA
20201025 Plate 3,H12,NA
