,,,,host_info if applicable,,,,,,sampling info if applicable,,,,Please place any additional columns you wish to add to the right of 'collection_depth',,,,,,
sample_name,fastq_fwd_file_name,fastq_rev_file_name,sample_type,host_phylum,host_class,host_order,host_family,host_genus,host_species,collection_latitude,collection_longitude,collection_date,collection_depth,Plug_ID,Treatment,Tank,Timepoint,Sample_Date,,
HP101,HP101_S1_L001_R1_001.fastq.gz,HP101_S1_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180904,,1754,HTAC,9,10,20181117,,
HP102,HP102_S13_L001_R1_001.fastq.gz,HP102_S13_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,1775,ATAC,8,1,20180922,,
HP103,HP103_S25_L001_R1_001.fastq.gz,HP103_S25_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180910,,2005,HTAC,4,1,20180922,,
HP104,HP104_S37_L001_R1_001.fastq.gz,HP104_S37_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180910,,2386,HTAC,7,8,20181020,,
HP105,HP105_S49_L001_R1_001.fastq.gz,HP105_S49_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180910,,2357,ATAC,6,9,20181103,,
HP106,HP106_S61_L001_R1_001.fastq.gz,HP106_S61_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,1131,HTHC,2,9,20181103,,
HP107,HP107_S73_L001_R1_001.fastq.gz,HP107_S73_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,2026,HTAC,9,3,20180922,,
HP108,HP108_S85_L001_R1_001.fastq.gz,HP108_S85_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180906,,1471,ATAC,6,3,20180922,,
HP109,HP109_S2_L001_R1_001.fastq.gz,HP109_S2_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180904,,1644,ATAC,8,11,20181215,,
HP110,HP110_S14_L001_R1_001.fastq.gz,HP110_S14_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,1676,HTHC,5,1,20180922,,
HP111,HP111_S26_L001_R1_001.fastq.gz,HP111_S26_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180904,,1631,ATAC,6,10,20181117,,
HP112,HP112_S38_L001_R1_001.fastq.gz,HP112_S38_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180905,,2183,HTAC,9,1,20180922,,
HP113,HP113_S50_L001_R1_001.fastq.gz,HP113_S50_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,1103,ATAC,1,11,20181215,,
HP114,HP114_S62_L001_R1_001.fastq.gz,HP114_S62_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180908,,1696,HTAC,9,9,20181103,,
HP115,HP115_S74_L001_R1_001.fastq.gz,HP115_S74_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180905,,1600,ATAC,6,1,20180922,,
HP116,HP116_S86_L001_R1_001.fastq.gz,HP116_S86_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180906,,1580,ATAC,8,9,20181103,,
HP117,HP117_S3_L001_R1_001.fastq.gz,HP117_S3_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180910,,2363,ATAC,6,1,20180922,,
HP118,HP118_S15_L001_R1_001.fastq.gz,HP118_S15_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180907,,1486,HTAC,7,9,20181103,,
HP119,HP119_S27_L001_R1_001.fastq.gz,HP119_S27_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,1159,ATAC,1,10,20181117,,
HP120,HP120_S39_L001_R1_001.fastq.gz,HP120_S39_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,1641,ATAC,6,10,20181117,,
HP121,HP121_S51_L001_R1_001.fastq.gz,HP121_S51_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180910,,2554,ATHC,12,10,20181117,,
HP122,HP122_S63_L001_R1_001.fastq.gz,HP122_S63_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180906,,1594,ATAC,8,9,20181103,,
HP123,HP123_S75_L001_R1_001.fastq.gz,HP123_S75_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180906,,1205,ATHC,3,10,20181117,,
HP124,HP124_S87_L001_R1_001.fastq.gz,HP124_S87_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180910,,1451,ATHC,3,9,20181103,,
HP125,HP125_S4_L001_R1_001.fastq.gz,HP125_S4_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180908,,1418,HTHC,5,3,20180922,,
HP126,HP126_S16_L001_R1_001.fastq.gz,HP126_S16_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180910,,1459,ATHC,3,8,20181020,,
HP127,HP127_S28_L001_R1_001.fastq.gz,HP127_S28_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180906,,1420,ATAC,6,9,20181103,,
HP128,HP128_S40_L001_R1_001.fastq.gz,HP128_S40_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180906,,2979,ATHC,12,9,20181103,,
HP129,HP129_S52_L001_R1_001.fastq.gz,HP129_S52_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180910,,2513,HTAC,9,8,20181020,,
HP130,HP130_S64_L001_R1_001.fastq.gz,HP130_S64_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180905,,1235,HTAC,4,8,20181020,,
HP131,HP131_S76_L001_R1_001.fastq.gz,HP131_S76_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,1141,ATAC,1,9,20181103,,
HP132,HP132_S88_L001_R1_001.fastq.gz,HP132_S88_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180906,,1095,ATAC,1,10,20181117,,
HP133,HP133_S5_L001_R1_001.fastq.gz,HP133_S5_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180905,,1751,HTAC,7,3,20180922,,
HP134,HP134_S17_L001_R1_001.fastq.gz,HP134_S17_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180910,,2304,HTHC,5,8,20181020,,
HP135,HP135_S29_L001_R1_001.fastq.gz,HP135_S29_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180907,,1074,HTHC,2,10,20181117,,
HP136,HP136_S41_L001_R1_001.fastq.gz,HP136_S41_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180905,,1148,ATHC,3,9,20181103,,
