sample_name,C1d/C42.2-C1-C3cg,C31/C17d-C21-C21ac-C17e-C17f-C31.9,C1d-noName-C42.2-C1-noName,C31-C17d-C21-C21ac-C31a-C17e,C31/C17d-C21-C21ac-C31.9,C1d,C31-C17d-C31.1-C21-C31a-noName,C1d-noName-C42.2-C1,C1d/C31/C17d-2099_C,C1d-C31-C42.2-C1,C31,D1/D4-D6-D1ab
HP101,0,0,0,0,0,0,0,0,0,0,0,18609
HP102,24133,0,0,0,0,0,0,0,0,0,0,0
HP103,27496,0,0,0,0,0,0,0,0,0,0,0
HP104,0,511,0,0,0,68,0,0,0,0,0,21293
HP105,29489,0,0,0,0,0,0,0,0,0,0,0
HP106,24670,0,0,0,0,0,0,0,0,0,0,0
HP107,0,0,30222,0,0,0,0,0,0,0,0,0
HP108,25502,0,0,0,0,0,0,0,0,0,0,0
HP109,0,0,0,0,0,0,20980,0,0,0,0,0
HP110,0,0,22281,0,0,0,0,0,0,0,0,0
HP111,0,0,0,0,0,0,0,0,0,0,0,16004
HP112,0,0,0,15328,0,0,0,0,0,0,0,0
HP113,26994,0,0,0,0,0,0,0,0,0,0,0
HP114,33010,0,0,0,0,0,0,0,0,0,0,0
HP115,0,0,0,0,218,30,0,0,0,0,0,12079
HP116,0,0,0,2447,0,0,0,0,0,0,0,1691
HP117,20578,0,0,0,0,0,0,0,0,0,0,0
HP118,19866,0,0,0,0,0,0,0,0,0,0,0
HP119,29825,0,0,0,0,0,0,0,0,0,0,0
HP120,19844,0,0,0,0,0,0,0,0,0,0,0
HP121,0,24610,0,0,0,0,0,0,0,0,0,0
HP122,20076,0,0,0,0,0,0,0,0,0,0,0
HP123,15265,0,0,0,0,0,0,0,0,0,0,0
HP124,23334,0,0,0,0,0,0,0,0,0,0,0
HP125,21720,0,0,0,0,0,0,0,0,0,0,0
HP126,0,0,0,0,0,0,0,26468,0,0,0,0
HP127,0,0,0,0,0,0,0,0,0,0,1215,24809
HP128,0,0,38161,0,0,0,0,0,0,0,0,0
HP129,0,0,0,0,0,34514,0,0,0,0,0,0
HP130,0,0,0,0,0,0,0,0,182,0,0,31145
HP131,28156,0,0,0,0,0,0,0,0,0,0,0
HP132,0,0,0,0,0,0,17364,0,0,0,0,0
HP133,0,22202,0,0,0,0,0,0,0,0,0,0
HP134,31638,0,0,0,0,0,0,0,0,0,0,0
HP135,0,0,0,0,0,0,0,0,0,0,0,24719
HP136,0,13168,0,0,0,0,0,0,0,0,0,7804
HP137,19861,0,0,0,0,0,0,0,0,0,0,0
HP138,0,0,0,0,0,24523,0,0,0,0,0,0
HP139,0,0,0,0,0,0,0,0,0,0,0,26935
HP140,0,0,0,14885,0,0,0,0,0,0,0,0
HP141,0,0,0,0,0,0,0,0,0,0,0,27918
HP142,32842,0,0,0,0,0,0,0,0,0,0,0
HP143,0,0,0,0,0,0,0,34413,0,0,0,0
