PLUG.ID,sample_name,TREATMENT,TIME.POINT,Site.Name,Species,SAMPLING.DATE,Rep
2000,HP169,HTAC,4,HIMB,Mcapitata,20180922,1
2300,HP170,HTHC,10,Reef.18,Pacuta,20181117,3
1184,HP171,HTHC,8,Lilipuna.Fringe,Pacuta,20181020,2
1345,HP172,HTHC,5,Reef.18,Mcapitata,20180923,1
2412,HP173,HTAC,9,Reef.18,Mcapitata,20181103,2
1757,HP174,ATAC,5,Reef.42.43,Pacuta,20180923,1
2012,HP175,ATAC,8,Reef.42.43,Pacuta,20181020,1
1436,HP176,ATAC,8,Reef.35.36,Mcapitata,20181020,2
1254,HP177,ATHC,6,Reef.42.43,Pacuta,20180929,1
1051,HP178,ATAC,8,Reef.11.13,Pacuta,20181020,2
1776,HP179,ATAC,5,Reef.42.43,Mcapitata,20180923,2
2877,HP180,ATHC,5,HIMB,Pacuta,20180923,2
1466,HP181,HTAC,6,Lilipuna.Fringe,Pacuta,20180929,1
1705,HP182,HTAC,6,Reef.35.36,Mcapitata,20180929,1
2866,HP183,ATHC,3,HIMB,Mcapitata,20180922,1
1330,HP184,HTAC,6,Reef.35.36,Pacuta,20180929,2
1617,HP185,HTAC,3,Reef.42.43,Pacuta,20180922,2
1164,HP186,HTHC,6,Reef.35.36,Mcapitata,20180929,1
2870,HP187,ATHC,6,HIMB,Pacuta,20180929,2
1227,HP188,HTHC,3,Reef.42.43,Pacuta,20180922,2
2518,HP189,HTHC,3,Reef.18,Mcapitata,20180922,1
2999,HP190,ATHC,6,Lilipuna.Fringe,Pacuta,20180929,3
1496,HP191,HTAC,6,Reef.35.36,Mcapitata,20180929,2
1755,HP192,ATAC,8,Reef.42.43,Pacuta,20181020,3
1246,HP193,HTHC,8,Reef.42.43,Mcapitata,20181020,1
1128,HP194,HTHC,3,HIMB,Mcapitata,20180922,2
1721,HP195,HTHC,6,Lilipuna.Fringe,Pacuta,20180929,1
1114,HP196,ATAC,6,Reef.42.43,Mcapitata,20180929,2
2527,HP197,HTHC,3,Reef.18,Pacuta,20180922,3
1637,HP198,ATAC,3,Reef.11.13,Pacuta,20180922,2
1082,HP199,HTHC,8,Reef.11.13,Mcapitata,20181020,2
1826,HP200,ATHC,1,Reef.11.13,Mcapitata,20180922,1
1728,HP201,HTAC,7,Reef.18,Pacuta,20181006,1
1544,HP202,ATHC,3,Reef.18,Mcapitata,20180922,2
1223,HP203,ATHC,7,Reef.42.43,Mcapitata,20181006,1
1611,HP204,ATAC,6,Reef.42.43,Mcapitata,20180929,1
2875,HP205,ATHC,7,HIMB,Mcapitata,20181006,2
2860,HP206,ATHC,7,HIMB,Mcapitata,20181006,3
1126,HP207,HTHC,7,Reef.42.43,Mcapitata,20181006,1
2204,HP208,HTHC,4,Reef.42.43,Mcapitata,20180922,1
1744,HP209,HTAC,6,Reef.35.36,Pacuta,20180929,3
1427,HP210,HTHC,7,Lilipuna.Fringe,Pacuta,20181006,1
1090,HP211,HTHC,7,Lilipuna.Fringe,Pacuta,20181006,2
1323,HP212,HTHC,1,Reef.35.36,Mcapitata,20180922,1
1487,HP213,HTAC,7,Lilipuna.Fringe,Pacuta,20181006,2
2878,HP214,ATHC,7,HIMB,Pacuta,20181006,2
2414,HP215,HTAC,1,Reef.18,Pacuta,20180922,2
2409,HP216,ATHC,7,Lilipuna.Fringe,Pacuta,20181006,3
1047,HP217,ATAC,7,Lilipuna.Fringe,Pacuta,20181006,1
1595,HP218,HTHC,6,HIMB,Pacuta,20180929,2
1499,HP219,ATAC,7,Reef.35.36,Mcapitata,20181006,1
2068,HP220,ATHC,1,Reef.35.36,Mcapitata,20180922,2
2413,HP221,ATAC,7,Reef.18,Pacuta,20181006,2
1138,HP222,HTHC,6,HIMB,Pacuta,20180929,3
1250,HP223,HTHC,7,Reef.42.43,Mcapitata,20181006,2
1278,HP224,HTAC,7,Reef.11.13,Mcapitata,20181006,1
1050,HP225,ATAC,6,Reef.18,Pacuta,20180929,1
2072,HP226,HTAC,7,HIMB,Pacuta,20181006,3
1317,HP227,HTHC,6,Reef.35.36,Mcapitata,20180929,2
1043,HP228,ATAC,1,Lilipuna.Fringe,Pacuta,20180922,3
1343,HP229,HTHC,4,Lilipuna.Fringe,Pacuta,20180922,1
1542,HP230,ATAC,6,Lilipuna.Fringe,Pacuta,20180929,2
1820,HP231,HTHC,7,Reef.11.13,Pacuta,20181006,3
2081,HP232,HTHC,1,HIMB,Mcapitata,20180922,2
2977,HP233,ATHC,1,Reef.11.13,Pacuta,20180922,2
1415,HP234,HTHC,5,Reef.11.13,Pacuta,20180923,2
2734,HP235,ATHC,4,Reef.42.43,Mcapitata,20180922,2
1101,HP236,ATAC,3,HIMB,Mcapitata,20180922,1
1041,HP237,ATAC,3,Reef.11.13,Pacuta,20180922,3
1058,HP238,ATAC,7,Lilipuna.Fringe,Mcapitata,20181006,2
1767,HP239,HTAC,4,Reef.42.43,Pacuta,20180922,1
1445,HP240,ATAC,7,Reef.11.13,Pacuta,20181006,3
2419,HP241,HTHC,7,Reef.18,Mcapitata,20181006,3
2402,HP242,ATAC,6,Reef.18,Mcapitata,20180929,3
1653,HP243,HTAC,1,HIMB,Pacuta,20180922,3
1579,HP244,HTAC,1,Lilipuna.Fringe,Mcapitata,20180922,2
2002,HP245,ATAC,4,Reef.42.43,Pacuta,20180922,2
2210,HP246,HTHC,1,Reef.42.43,Pacuta,20180922,2
1145,HP247,HTHC,1,HIMB,Mcapitata,20180922,3
1207,HP248,ATHC,1,Reef.11.13,Pacuta,20180922,3
1652,HP249,ATAC,1,HIMB,Mcapitata,20180922,2
1218,HP250,ATHC,1,Reef.11.13,Mcapitata,20180922,3
1037,HP251,ATAC,1,Reef.35.36,Mcapitata,20180922,3
1701,HP252,HTAC,4,Reef.18,Pacuta,20180922,2
1581,HP253,HTAC,4,Lilipuna.Fringe,Pacuta,20180922,3
1328,HP254,HTHC,4,Reef.11.13,Mcapitata,20180922,2
1706,HP255,ATHC,5,Reef.11.13,Mcapitata,20180923,1
1059,HP256,ATAC,5,Reef.11.13,Pacuta,20180923,2
2087,HP257,HTHC,5,HIMB,Pacuta,20180923,3
1548,HP258,ATAC,3,Reef.11.13,Mcapitata,20180922,2
1449,HP259,HTHC,5,Lilipuna.Fringe,Mcapitata,20180923,2
1642,HP260,HTAC,3,HIMB,Pacuta,20180922,3
1707,HP261,HTAC,5,Reef.11.13,Pacuta,20180923,2
1563,HP262,ATAC,5,Lilipuna.Fringe,Pacuta,20180923,3
2212,HP263,ATHC,5,Reef.35.36,Pacuta,20180923,3
1694,HP264,HTHC,5,Reef.11.13,Mcapitata,20180923,3
1997,HP265,HTAC,5,HIMB,Mcapitata,20180923,2
2750,HP266,ATHC,3,Reef.42.43,Pacuta,20180922,2
1281,HP267,ATHC,7,Reef.35.36,Pacuta,20181006,1
1651,HP268,ATAC,4,HIMB,Mcapitata,20180922,1
2306,HP269,ATAC,11,Reef.18,Pacuta,20181215,2
1562,HP270,HTAC,11,Reef.11.13,Mcapitata,20181215,1
1647,HP271,HTAC,11,HIMB,Pacuta,20181215,1
1237,HP272,ATHC,11,Reef.35.36,Mcapitata,20181215,1
1582,HP273,HTAC,11,Lilipuna.Fringe,Pacuta,20181215,2
1178,HP274,HTHC,11,Lilipuna.Fringe,Mcapitata,20181215,1
1076,HP275,ATAC,11,Reef.35.36,Mcapitata,20181215,2
1777,HP276,ATAC,11,HIMB,Pacuta,20181215,3
2879,HP277,ATHC,11,HIMB,Pacuta,20181215,1
2188,HP278,ATHC,11,Reef.35.36,Mcapitata,20181215,2
2668,HP279,ATHC,11,Lilipuna.Fringe,Pacuta,20181215,2
2302,HP280,ATAC,11,Reef.18,Mcapitata,20181215,3
1248,HP281,HTAC,11,HIMB,Mcapitata,20181215,2
2756,HP282,ATHC,11,Reef.42.43,Mcapitata,20181215,3
1416,HP283,HTHC,11,Reef.11.13,Pacuta,20181215,1
2185,HP284,HTHC,11,HIMB,Pacuta,20181215,2
1270,HP285,HTHC,11,HIMB,Mcapitata,20181215,2
1596,HP286,HTAC,11,Reef.42.43,Pacuta,20181215,3
1452,HP287,ATAC,12,Reef.35.36,Mcapitata,20190112,1
2190,HP288,HTHC,12,Reef.42.43,Mcapitata,20190112,1
1140,HP289,HTHC,12,HIMB,Mcapitata,20190112,2
1632,HP290,HTAC,12,HIMB,Mcapitata,20190112,1
1120,HP291,ATAC,12,Reef.42.43,Mcapitata,20190112,2
2731,HP292,ATHC,3,Reef.42.43,Mcapitata,20180922,3
2736,HP293,ATHC,12,Reef.42.43,Mcapitata,20190112,1
1729,HP294,HTAC,12,Reef.18,Mcapitata,20190112,2
2007,HP295,HTAC,12,Reef.42.43,Mcapitata,20190112,3
1154,HP296,ATHC,12,HIMB,Mcapitata,20190112,2
1274,HP297,HTHC,12,HIMB,Mcapitata,20190112,3
1302,HP298,HTAC,9,Reef.35.36,Pacuta,20181103,3
2555,HP299,ATHC,6,Reef.18,Mcapitata,20180929,1
2735,HP300,ATHC,8,Reef.42.43,Mcapitata,20181020,2
2009,HP301,HTHC,9,Lilipuna.Fringe,Mcapitata,20181103,2
1628,HP302,ATAC,3,HIMB,Mcapitata,20180922,3
2733,HP303,ATHC,4,Reef.42.43,Pacuta,20180922,3
1169,HP304,HTHC,4,Reef.35.36,Pacuta,20180922,2
1289,HP305,HTAC,3,Reef.35.36,Mcapitata,20180922,2
1124,HP306,HTHC,4,Reef.42.43,Mcapitata,20180922,3
1221,HP307,ATHC,4,Reef.35.36,Mcapitata,20180922,3
1108,HP308,ATAC,4,Reef.35.36,Mcapitata,20180922,2
2195,HP309,HTHC,4,Reef.42.43,Pacuta,20180922,3
1571,HP310,HTAC,5,Reef.35.36,Pacuta,20180923,3
1762,HP311,ATAC,4,Reef.42.43,Pacuta,20180922,3
1468,HP312,ATAC,6,Reef.35.36,Pacuta,20180929,3
1709,HP313,HTHC,8,Lilipuna.Fringe,Pacuta,20181020,3
1583,HP314,HTAC,5,Lilipuna.Fringe,Mcapitata,20180923,1
2737,HP315,ATHC,10,Reef.35.36,Mcapitata,20181117,2
1078,HP316,HTHC,9,Reef.11.13,Mcapitata,20181103,3
1610,HP317,ATAC,5,Reef.42.43,Mcapitata,20180923,3
2016,HP318,ATHC,6,Reef.35.36,Mcapitata,20180929,2
1269,HP319,HTAC,4,Reef.35.36,Mcapitata,20180922,2
1722,HP320,HTAC,7,Reef.35.36,Mcapitata,20181006,2
1455,HP321,ATAC,7,Reef.35.36,Mcapitata,20181006,3
1277,HP322,HTHC,3,HIMB,Mcapitata,20180922,3
1315,HP323,HTAC,10,Lilipuna.Fringe,Mcapitata,20181117,3
1083,HP324,ATAC,8,Reef.35.36,Mcapitata,20181020,3
2380,HP325,HTAC,11,Reef.18,Mcapitata,20181215,3
2410,HP326,HTAC,8,Reef.18,Mcapitata,20181020,3
2021,HP327,HTAC,3,Reef.42.43,Mcapitata,20180922,3
1121,HP328,ATAC,9,HIMB,Mcapitata,20181103,3
1329,HP329,HTAC,8,Lilipuna.Fringe,Pacuta,20181020,3
1332,HP330,HTHC,10,Reef.11.13,Mcapitata,20181117,2
1212,HP331,ATHC,6,Reef.11.13,Mcapitata,20180929,3
2753,HP332,ATHC,8,Reef.42.43,Mcapitata,20181020,3
1481,HP333,HTAC,4,Reef.35.36,Mcapitata,20180922,3
1588,HP334,HTAC,6,Reef.18,Mcapitata,20180929,3
2511,HP335,HTHC,11,Reef.18,Mcapitata,20181215,3
1147,HP336,ATHC,11,HIMB,Pacuta,20181215,3
1229,HP337,ATHC,5,Reef.42.43,Mcapitata,20180923,2
1689,HP338,HTHC,10,Reef.11.13,Mcapitata,20181117,3
1204,HP339,ATHC,10,Reef.11.13,Mcapitata,20181117,3
1609,HP340,ATAC,4,HIMB,Mcapitata,20180922,3
2534,HP341,ATHC,3,Reef.18,Pacuta,20180922,3
2403,HP342,ATAC,12,Reef.18,Mcapitata,20190112,3
1321,HP343,HTAC,5,Reef.11.13,Mcapitata,20180923,3
1604,HP344,HTHC,6,Reef.11.13,Mcapitata,20180929,3
1645,HP345,HTAC,7,Reef.42.43,Mcapitata,20181006,3
2067,HP346,HTHC,8,HIMB,Mcapitata,20181020,3
2990,HP347,ATHC,12,Reef.18,Mcapitata,20190112,3
2986,HP348,ATHC,5,Reef.35.36,Mcapitata,20180923,3
2153,HP349,HTAC,1,Reef.18,Mcapitata,20180922,3
1467,HP350,HTAC,9,Reef.11.13,Mcapitata,20181103,3
1239,HP351,HTHC,1,Reef.42.43,Pacuta,20180922,3
