mVTris,TTris,,,,,
-62.3,25.83,,,,,
-61.5,26.3,,,,, 
-60.9,26.76,,,,,
-60.3,27.24,,,,,
-59.8,27.64,,,,,
-59.3,28.06,,,,,
-58.7,28.48,,,,,
-58.2,28.88,,,,,
-57.6,29.3,,,,,
-57,29.72,,,,,
-56.5,30.1,,,,,
-56,30.51,,,,,
-55.4,30.91,,,,,
-54.9,31.33,,,,,
