mVTris,TTris,,,,,
-77,20.49,,,,,
-76.3,21.17,,,,, 
-75.8,21.61,,,,,
-75.1,22.18,,,,,
-74.2,22.76,,,,,
-73.6,23.23,,,,,
-73,23.65,,,,,
-72.4,24.13,,,,,
-71.8,24.59,,,,,
-71.3,24.98,,,,,
-70.7,25.37,,,,,
-70.1,25.84,,,,,
-69.6,26.2,,,,,
