mVTris,TTris,,,,,
-64.2,25.68,,,,,
-63.6,26.15,,,,, 
-63.1,26.52,,,,,
-62.5,26.95,,,,,
-61.9,27.36,,,,,
-61.5,27.71,,,,,
-61,28.11,,,,,
-60.4,28.52,,,,,
-59.9,28.92,,,,,
-59.3,29.34,,,,,
-58.9,29.71,,,,,
-58.3,30.15,,,,,
