mVTris,TTris,,,,,
-62.7,25.55,,,,,
-62.1,26.07,,,,, 
-61.5,26.54,,,,,
-61,27,,,,,
-60.4,27.47,,,,,
-59.8,27.9,,,,,
-59.2,28.36,,,,,
-58.6,28.77,,,,,
-58.1,29.18,,,,,
-57.4,29.58,,,,,
-56.8,30.02,,,,,
-56.2,30.43,,,,,
-55.7,30.84,,,,,
-55.1,31.25,,,,,
