mVTris,TTris
-73.5,20.65
-72.7,21.35
-71.9,21.92
-71.1,22.43
-70.6,22.79
-70.1,23.19
-69.5,23.61
-68.9,24.11
-68.4,24.5
-67.8,24.96
-67.2,25.39
-66.7,25.85
-66.1,26.26
