mVTris,TTris,,,,,
-64.8,24.92,,,,,
-64.5,25.42,,,,, 
-64.1,25.78,,,,,
-63.7,26.14,,,,,
-63.3,26.48,,,,,
-62.8,26.88,,,,,
-62.3,27.24,,,,,
-61.8,27.6,,,,,
-61.4,27.92,,,,,
-61,28.23,,,,,
-60.6,28.54,,,,,
-60.2,28.89,,,,,
-59.8,29.22,,,,,
-59.3,29.56,,,,,
-58.8,29.93,,,,,
-58.4,30.27,,,,,
