mVTris,TTris,,,,,
-62,25.13,,,,,
-61.3,25.61,,,,, 
-60.7,26.1,,,,,
-60,26.58,,,,,
-59.4,27.06,,,,,
-58.8,27.51,,,,,
-58.2,27.92,,,,,
-57.6,28.37,,,,,
-57,28.81,,,,,
-56.4,29.27,,,,,
-55.8,29.73,,,,,
-55.3,30.14,,,,,
