sample,mass,salinity,Sample.ID,Type
20181013_Tank7,59.36,34.37,Tank7,Tank
20181013_Tank10,59.74,34.27,Tank10,Tank
20181013_Tank11,59.71,34.24,Tank11,Tank
20181013_Tank9,59.39,34.29,Tank9,Tank
20181013_Tank3,59.66,34.24,Tank3,Tank
20181013_Tank2,59.8,34.29,Tank2,Tank
20181013_Tank12,59.27,34.2,Tank12,Tank
20181013_Tank6,59.7,34.26,Tank6,Tank
20181013_Tank1,59.23,34.17,Tank1,Tank
