,0
HPW271,99540.0
HPW321,46910.0
HPW291,44528.0
HPW281,40051.0
HPW315,38403.0
HPW289,38216.0
HPW143,37105.0
HPW217,36166.0
HPW272,35578.0
HPW313,35061.0
HPW129,34756.0
HPW076,33742.0
HPW224,33032.0
HPW318,32775.0
HPW231,32698.0
HPW288,32548.0
HPW230,31842.0
HPW112,30980.0
HPW269,30830.0
HPW240,30644.0
HPW294,30185.0
HPW283,29316.0
HPW208,29296.0
HPW262,29148.0
HPW158,28722.0
HPW311,28695.0
HPW241,28682.0
HPW185,28573.0
HPW238,28541.0
HPW286,28407.0
HPW250,28324.0
HPW064,28032.0
HPW257,27883.0
HPW113,27528.0
HPW259,27436.0
HPW130,27321.0
HPW147,27086.0
HPW215,27014.0
HPW140,26726.0
HPW168,26494.0
HPW287,26476.0
HPW172,26341.0
HPW176,26329.0
HPW114,26250.0
HPW186,26070.0
HPW268,26066.0
HPW189,25644.0
HPW164,25594.0
HPW280,25590.0
HPW081,25463.0
HPW213,25051.0
HPW174,24431.0
HPW152,24406.0
HPW156,24070.0
HPW295,24044.0
HPW110,23676.0
HPW160,23457.0
HPW173,22947.0
HPW065,22893.0
HPW266,22869.0
HPW144,22704.0
HPW157,22523.0
HPW102,22455.0
HPW214,22397.0
HPW109,22152.0
HPW303,22022.0
HPW068,21975.0
HPW246,21545.0
HPW290,21481.0
HPW163,21317.0
HPW153,21210.0
HPW124,21193.0
HPW274,21050.0
HPW314,20960.0
HPW276,20639.0
HPW170,20500.0
HPW062,20426.0
HPW089,20352.0
HPW131,20187.0
HPW203,20022.0
HPW239,19868.0
HPW306,19868.0
HPW260,19580.0
HPW247,19577.0
HPW308,19550.0
HPW296,19541.0
HPW320,19505.0
HPW261,19315.0
HPW117,19139.0
HPW127,19128.0
HPW108,18466.0
HPW166,18129.0
HPW167,17810.0
HPW063,17741.0
HPW233,17676.0
HPW133,17570.0
HPW312,17272.0
HPW136,17091.0
HPW181,17071.0
HPW105,16749.0
HPW255,16626.0
HPW279,16106.0
HPW207,16071.0
HPW154,15827.0
HPW222,15582.0
HPW095,15333.0
HPW178,15315.0
HPW088,14605.0
HPW061,14437.0
HPW119,14323.0
HPW267,14279.0
HPW265,14015.0
HPW151,13710.0
HPW236,13482.0
HPW219,13426.0
HPW195,13396.0
HPW067,12921.0
HPW122,12704.0
HPW252,12497.0
HPW256,12329.0
HPW072,12273.0
HPW060,12272.0
HPW243,12267.0
HPW104,11439.0
HPW188,11437.0
HPW078,11433.0
HPW221,11382.0
HPW149,11346.0
HPW292,11256.0
HPW275,10937.0
HPW277,10011.0
HPW077,9633.0
HPW212,9528.0
HPW138,9402.0
HPW125,9371.0
HPW310,9046.0
HPW094,8837.0
HPW165,8116.0
HPW111,7213.0
HPW093,6814.0
HPW116,6463.0
HPW194,6094.0
HPW254,5885.0
HPW179,5486.0
HPW193,5042.0
HPW092,4914.0
HPW082,4589.0
HPW150,4011.0
HPW069,3955.0
HPW316,3774.0
HPW184,3645.0
HPW075,3291.0
HPW209,2929.0
HPW237,2831.0
HPW251,2310.0
HPW284,2273.0
HPW301,2011.0
HPW146,1994.0
HPW142,1947.0
HPW317,1800.0
HPW187,1758.0
HPW141,1671.0
HPW086,1642.0
HPW083,1641.0
HPW202,1569.0
HPW235,1564.0
HPW148,1550.0
HPW162,1535.0
HPW155,1533.0
HPW134,1533.0
HPW101,1403.0
HPW137,1331.0
HPW234,1308.0
HPW123,1261.0
HPW177,1261.0
HPW229,1260.0
HPW066,1257.0
HPW132,1218.0
HPW070,1217.0
HPW223,1209.0
HPW216,1207.0
HPW282,1164.0
HPW120,1138.0
HPW245,1084.0
HPW218,1057.0
HPW264,1029.0
HPW285,1016.0
HPW226,1001.0
HPW249,964.0
HPW309,934.0
HPW190,905.0
HPW183,895.0
HPW071,885.0
HPW090,883.0
HPW258,873.0
HPW302,869.0
HPW118,867.0
HPW196,854.0
HPW242,853.0
HPW087,845.0
HPW135,826.0
HPW161,798.0
HPW322,794.0
HPW191,751.0
HPW211,725.0
HPW145,607.0
HPW278,596.0
HPW305,576.0
HPW273,562.0
HPW232,559.0
HPW103,558.0
HPW225,549.0
HPW091,547.0
HPW263,529.0
HPW084,496.0
HPW293,479.0
HPW253,477.0
HPW121,448.0
HPW192,422.0
HPW159,389.0
HPW244,376.0
HPW204,374.0
HPW171,352.0
HPW228,343.0
HPW182,330.0
HPW079,327.0
HPW107,317.0
HPW128,316.0
HPW227,311.0
HPW073,301.0
HPW074,299.0
HPW248,295.0
HPW304,289.0
HPW180,288.0
HPW126,285.0
HPW201,267.0
HPW085,255.0
HPW096,252.0
HPW139,246.0
HPW307,240.0
HPW175,219.0
HPW319,203.0
HPW115,184.0
HPW206,181.0
HPW106,180.0
HPW205,177.0
HPW169,171.0
HPW210,160.0
HPW220,110.0
HPW080,41.0
HPW270,19.0
