sample-id,depth-1_iter-1,depth-1_iter-2,depth-1_iter-3,depth-1_iter-4,depth-1_iter-5,depth-1_iter-6,depth-1_iter-7,depth-1_iter-8,depth-1_iter-9,depth-1_iter-10,depth-4445_iter-1,depth-4445_iter-2,depth-4445_iter-3,depth-4445_iter-4,depth-4445_iter-5,depth-4445_iter-6,depth-4445_iter-7,depth-4445_iter-8,depth-4445_iter-9,depth-4445_iter-10,depth-8889_iter-1,depth-8889_iter-2,depth-8889_iter-3,depth-8889_iter-4,depth-8889_iter-5,depth-8889_iter-6,depth-8889_iter-7,depth-8889_iter-8,depth-8889_iter-9,depth-8889_iter-10,depth-13334_iter-1,depth-13334_iter-2,depth-13334_iter-3,depth-13334_iter-4,depth-13334_iter-5,depth-13334_iter-6,depth-13334_iter-7,depth-13334_iter-8,depth-13334_iter-9,depth-13334_iter-10,depth-17778_iter-1,depth-17778_iter-2,depth-17778_iter-3,depth-17778_iter-4,depth-17778_iter-5,depth-17778_iter-6,depth-17778_iter-7,depth-17778_iter-8,depth-17778_iter-9,depth-17778_iter-10,depth-22222_iter-1,depth-22222_iter-2,depth-22222_iter-3,depth-22222_iter-4,depth-22222_iter-5,depth-22222_iter-6,depth-22222_iter-7,depth-22222_iter-8,depth-22222_iter-9,depth-22222_iter-10,depth-26667_iter-1,depth-26667_iter-2,depth-26667_iter-3,depth-26667_iter-4,depth-26667_iter-5,depth-26667_iter-6,depth-26667_iter-7,depth-26667_iter-8,depth-26667_iter-9,depth-26667_iter-10,depth-31111_iter-1,depth-31111_iter-2,depth-31111_iter-3,depth-31111_iter-4,depth-31111_iter-5,depth-31111_iter-6,depth-31111_iter-7,depth-31111_iter-8,depth-31111_iter-9,depth-31111_iter-10,depth-35555_iter-1,depth-35555_iter-2,depth-35555_iter-3,depth-35555_iter-4,depth-35555_iter-5,depth-35555_iter-6,depth-35555_iter-7,depth-35555_iter-8,depth-35555_iter-9,depth-35555_iter-10,depth-40000_iter-1,depth-40000_iter-2,depth-40000_iter-3,depth-40000_iter-4,depth-40000_iter-5,depth-40000_iter-6,depth-40000_iter-7,depth-40000_iter-8,depth-40000_iter-9,depth-40000_iter-10,SampleName,SiteName,SiteID,SitePoint,Species,TissueType,PlugID,Treatment,Temp,pH,Tank,Timepoint
HPW060,1,1,1,1,1,1,1,1,1,1,24.0,23.0,24.0,25.0,25.0,23.0,23.0,22.0,24.0,20.0,25.0,25.0,24.0,24.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2410,Reef.18,M34,4,Mcapitata,Hard,2410,HTAC,HT,AC,9,8
HPW061,1,1,1,1,1,1,1,1,1,1,98.0,99.0,94.0,97.0,96.0,94.0,100.0,99.0,92.0,92.0,106.0,105.0,104.0,106.0,106.0,106.0,103.0,103.0,105.0,103.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1147,HIMB,P22,3,Pacuta,Hard,1147,ATHC,AT,HC,3,11
HPW062,1,1,1,1,1,1,1,1,1,1,92.0,89.0,89.0,86.0,89.0,88.0,94.0,91.0,88.0,88.0,100.0,98.0,101.0,102.0,100.0,102.0,97.0,101.0,101.0,100.0,103.0,103.0,104.0,103.0,102.0,103.0,104.0,103.0,103.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095,Reef.35.36,M49,5,Mcapitata,Hard,1095,ATAC,AT,AC,1,10
HPW063,1,1,1,1,1,1,1,1,1,1,43.0,39.0,39.0,34.0,40.0,41.0,41.0,40.0,37.0,42.0,46.0,44.0,46.0,45.0,47.0,47.0,48.0,46.0,46.0,45.0,49.0,49.0,48.0,49.0,49.0,49.0,47.0,48.0,49.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1694,Reef.11.13,M70,7,Mcapitata,Hard,1694,HTHC,HT,HC,10,5
HPW064,1,1,1,1,1,1,1,1,1,1,293.0,300.0,290.0,293.0,298.0,305.0,303.0,299.0,296.0,290.0,354.0,351.0,351.0,333.0,346.0,349.0,351.0,344.0,344.0,358.0,364.0,365.0,365.0,367.0,367.0,363.0,364.0,362.0,365.0,363.0,371.0,372.0,372.0,370.0,371.0,373.0,369.0,373.0,371.0,371.0,373.0,374.0,374.0,374.0,374.0,374.0,374.0,370.0,374.0,373.0,374.0,374.0,374.0,374.0,374.0,374.0,374.0,374.0,374.0,374.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2986,Reef.35.36,M56,6,Mcapitata,Hard,2986,ATHC,AT,HC,12,5
HPW065,1,1,1,1,1,1,1,1,1,1,23.0,22.0,24.0,25.0,24.0,23.0,24.0,20.0,27.0,18.0,27.0,28.0,29.0,29.0,26.0,28.0,27.0,28.0,27.0,27.0,32.0,30.0,31.0,31.0,31.0,32.0,32.0,31.0,31.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,31.0,30.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1204,Reef.11.13,M48,5,Mcapitata,Hard,1204,ATHC,AT,HC,3,10
HPW066,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2861,HIMB,P36,4,Pacuta,Hard,2861,ATHC,AT,HC,11,8
HPW067,1,1,1,1,1,1,1,1,1,1,279.0,278.0,282.0,272.0,278.0,278.0,278.0,281.0,278.0,274.0,296.0,297.0,295.0,294.0,297.0,296.0,297.0,298.0,297.0,297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1641,HIMB,P65,7,Pacuta,Hard,1641,ATAC,AT,AC,6,10
HPW068,1,1,1,1,1,1,1,1,1,1,121.0,123.0,123.0,126.0,127.0,127.0,125.0,117.0,124.0,120.0,140.0,138.0,140.0,140.0,134.0,133.0,137.0,136.0,136.0,141.0,144.0,143.0,140.0,144.0,144.0,143.0,141.0,144.0,144.0,141.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1074,Reef.11.13,M59,6,Mcapitata,Hard,1074,HTHC,HT,HC,2,10
HPW069,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1205,Reef.35.36,P51,6,Pacuta,Hard,1205,ATHC,AT,HC,3,10
HPW070,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1303,Reef.35.36,P70,7,Pacuta,Hard,1303,HTAC,HT,AC,4,5
HPW071,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1647,HIMB,P35,4,Pacuta,Hard,1647,HTAC,HT,AC,7,11
HPW072,1,1,1,1,1,1,1,1,1,1,16.0,17.0,21.0,18.0,20.0,17.0,21.0,18.0,18.0,17.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,20.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1058,Lilipuna.Fringe,M46,5,Mcapitata,Hard,1058,ATAC,AT,AC,1,7
HPW073,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2877,HIMB,P12,2,Pacuta,Hard,2877,ATHC,AT,HC,12,5
HPW074,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1225,HIMB,P24,3,Pacuta,Hard,1225,HTAC,HT,AC,4,10
HPW075,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1563,Lilipuna.Fringe,P21,3,Pacuta,Hard,1563,ATAC,AT,AC,8,5
HPW076,1,1,1,1,1,1,1,1,1,1,370.0,376.0,377.0,363.0,380.0,379.0,367.0,386.0,380.0,374.0,436.0,435.0,427.0,429.0,430.0,430.0,426.0,434.0,424.0,430.0,448.0,449.0,454.0,449.0,448.0,447.0,448.0,447.0,448.0,453.0,458.0,460.0,460.0,457.0,451.0,457.0,456.0,457.0,459.0,459.0,462.0,459.0,463.0,463.0,464.0,463.0,462.0,461.0,462.0,460.0,464.0,463.0,462.0,464.0,464.0,464.0,464.0,464.0,464.0,463.0,464.0,463.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,,,,,,,,,,,,,,,,,,,,,2513,Reef.18,P15,2,Pacuta,Hard,2513,HTAC,HT,AC,9,8
HPW077,1,1,1,1,1,1,1,1,1,1,21.0,20.0,20.0,20.0,20.0,21.0,21.0,19.0,21.0,20.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1779,Reef.42.43,M41,5,Mcapitata,Hard,1779,ATAC,AT,AC,8,8
HPW078,1,1,1,1,1,1,1,1,1,1,40.0,41.0,39.0,38.0,38.0,40.0,41.0,38.0,40.0,43.0,46.0,45.0,45.0,45.0,46.0,45.0,44.0,46.0,45.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1332,Reef.11.13,M30,3,Mcapitata,Hard,1332,HTHC,HT,HC,5,10
HPW079,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2413,Reef.18,P21,3,Pacuta,Hard,2413,ATAC,AT,AC,8,7
HPW080,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1059,Reef.11.13,P70,7,Pacuta,Hard,1059,ATAC,AT,AC,1,5
HPW081,1,1,1,1,1,1,1,1,1,1,23.0,16.0,20.0,18.0,18.0,16.0,19.0,19.0,18.0,19.0,23.0,21.0,25.0,24.0,21.0,23.0,21.0,21.0,23.0,22.0,26.0,26.0,25.0,26.0,26.0,26.0,24.0,24.0,26.0,24.0,24.0,26.0,26.0,25.0,26.0,26.0,26.0,26.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2386,Reef.18,M72,8,Mcapitata,Hard,2386,HTAC,HT,AC,7,8
HPW082,1,1,1,1,1,1,1,1,1,1,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1582,Lilipuna.Fringe,P70,7,Pacuta,Hard,1582,HTAC,HT,AC,9,11
HPW083,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2185,HIMB,P4,1,Pacuta,Hard,2185,HTHC,HT,HC,10,11
HPW084,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1184,Lilipuna.Fringe,P66,7,Pacuta,Hard,1184,HTHC,HT,HC,2,8
HPW085,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1415,Reef.11.13,P11,2,Pacuta,Hard,1415,HTHC,HT,HC,5,5
