"Sample.ID","TA","Mass","Tank","Type"
"20181125_Tank1",2150.27359606396,59.91,"Tank1","Tank"
"20181125_Tank10",2138.3618296201,59.23,"Tank10","Tank"
"20181125_Tank12",2116.06430391452,59.35,"Tank12","Tank"
"20181125_Tank9",2135.27374812615,59.85,"Tank9","Tank"
"20181125_Tank7",2123.59556902425,59.59,"Tank7","Tank"
"20181125_Tank2",2100.22103788918,59.89,"Tank2","Tank"
