Sample.ID,TA,Mass,Tank,Type
20180903_Tank1,2181.698018,59.17,Tank1,Tank
20180903_Tank2,2180.228265,59.89,Tank2,Tank
20180903_Tank3,2177.701705,59.87,Tank3,Tank
20180903_Tank4,2175.235328,59.71,Tank4,Tank
20180903_Tank5,2171.257148,59.95,Tank5,Tank
20180903_Tank6,2173.39285,59.21,Tank6,Tank
20180903_Tank7,2170.078453,59.36,Tank7,Tank
20180903_Tank8,2169.675652,59.29,Tank8,Tank
20180903_Tank9,2170.990977,59.03,Tank9,Tank
20180903_JUNK,2192.585003,59.28,Junk,Junk
20180903_CRM1,2233.250506,59.81,CRM1,CRM
20180903_CRM2,2233.32095,59.82,CRM2,CRM
20180909_JUNK,2172.536582,59.45,Junk,Junk
20180909_CRM1,2237.140636,59.68,CRM1,CRM
20180909_CRM2,2236.215026,59.59,CRM2,CRM
20180909_Tank1,2175.22714,59.87,Tank1,Tank
20180909_Tank8,2156.613492,59.7,Tank8,Tank
20180909_Tank6,2153.724003,59.92,Tank6,Tank
20180909_Tank11,2160.305915,59.9,Tank11,Tank
20180909_Tank10,2155.242997,59.04,Tank10,Tank
20180909_Tank3,2156.762372,59.58,Tank3,Tank
20180909_Tank9,2159.319105,60.01,Tank9,Tank
20180909_Tank4,2165.930549,59.56,Tank4,Tank
20180909_Tank12,2162.324598,59.26,Tank12,Tank
20180914_JUNK,21.90911021,59.85,Junk,Junk
20180914_CRM1,2245.194835,59.49,CRM1,CRM
20180914_CRM2,2236.404923,59.16,CRM2,CRM
20180914_PAR0_IN1,2181.709874,59.62,INITIAL1,Initial
20180914_PAR0_IN2,2180.504326,59.24,INITIAL2,Initial
20180914_PAR0_CH10,2162.032783,59.48,CHAMBER10,Chamber
20180914_PAR0_CH8,2169.666618,59.67,CHAMBER8,Chamber
20180914_PAR0_CH9,2154.069244,59.04,CHAMBER9,Chamber
20180914_PAR0_CH6,2166.372624,59.35,CHAMBER6,Chamber
20180914_PAR0_CH7,2154.129552,59.29,CHAMBER7,Chamber
20180914_PAR0_CH5,2160.201447,59.11,CHAMBER5,Chamber
20180914_PAR0_CH4,2168.462497,59.29,CHAMBER4,Chamber
20180914_PAR0_IN3,2277.068951,59.4,INITIAL1,Initial
20180914_PAR0_CH1 ,2164.70778,59.75,CHAMBER1,Chamber
20180914_PAR0_CH3,2160.878991,59.67,CHAMBER3,Chamber
20180914_PAR0_CH2,2160.156065,59.25,CHAMBER82,Chamber
20180914_PAR150_IN1,2163.867399,60.05,INITIAL1,Initial
20180914_PAR150_IN2,2176.655955,59.79,INITIAL2,Initial
20180914_PAR150_IN3,2171.35544,59.22,INITIAL3,Initial
20180914_PAR150_CH1 ,2184.009375,59.54,CHAMBER1,Chamber
