index,d__Eukaryota,d__Bacteria,Unassigned,d__Archaea,SampleName,PlotOrder,SiteName,SiteID,SitePoint,Species,TissueType,PlugID,Treatment,Temp,pH,Tank,Timepoint
HPW088,45.0,14707.0,195.0,5.0,2753,29.0,Reef.42.43,M53,6,Mcapitata,Hard,2753,ATHC,AT,HC,12,8
HPW089,13.0,21807.0,270.0,0.0,1278,30.0,Reef.11.13,M60,6,Mcapitata,Hard,1278,HTAC,HT,AC,4,7
HPW090,36303.0,1134.0,256.0,0.0,2197,31.0,Reef.35.36,P10,1,Pacuta,Hard,2197,ATHC,AT,HC,11,10
HPW091,30392.0,921.0,543.0,0.0,1820,32.0,Reef.11.13,P62,7,Pacuta,Hard,1820,HTHC,HT,HC,10,7
HPW092,27865.0,6093.0,623.0,0.0,1103,33.0,Reef.42.43,P50,5,Pacuta,Hard,1103,ATAC,AT,AC,1,11
HPW093,18.0,6914.0,102.0,0.0,1645,34.0,Reef.42.43,M19,2,Mcapitata,Hard,1645,HTAC,HT,AC,7,7
HPW094,0.0,8888.0,81.0,8.0,1076,35.0,Reef.35.36,M26,3,Mcapitata,Hard,1076,ATAC,AT,AC,1,11
HPW095,23.0,15373.0,148.0,0.0,1126,36.0,Reef.42.43,M13,2,Mcapitata,Hard,1126,HTHC,HT,HC,2,7
HPW096,16215.0,343.0,211.0,0.0,2306,37.0,Reef.18,P20,2,Pacuta,Hard,2306,ATAC,AT,AC,6,11
HPW101,38397.0,1436.0,289.0,0.0,1246,38.0,Reef.42.43,M39,4,Mcapitata,Hard,1246,HTHC,HT,HC,5,8
HPW102,142.0,22495.0,95.0,0.0,1196,39.0,Reef.18,M48,5,Mcapitata,Hard,1196,ATAC,AT,AC,1,5
HPW103,29513.0,569.0,141.0,0.0,1296,40.0,Reef.11.13,P21,3,Pacuta,Hard,1296,ATHC,AT,HC,3,5
HPW104,19.0,11462.0,171.0,0.0,2735,41.0,Reef.42.43,M68,7,Mcapitata,Hard,2735,ATHC,AT,HC,11,8
HPW105,39.0,17239.0,173.0,3.0,2380,42.0,Reef.18,M52,6,Mcapitata,Hard,2380,HTAC,HT,AC,7,11
