index,d__Eukaryota;__,d__Bacteria;__,d__Bacteria;p__Proteobacteria,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Cyanobacteria,Unassigned;__,d__Bacteria;p__SAR324_clade(Marine_group_B),d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Spirochaetota,d__Bacteria;p__Desulfobacterota,d__Bacteria;p__Myxococcota,d__Bacteria;p__Verrucomicrobiota,d__Bacteria;p__Firmicutes,d__Bacteria;p__Campilobacterota,d__Bacteria;p__Planctomycetota,d__Bacteria;p__Fusobacteriota,d__Bacteria;p__Acidobacteriota,d__Archaea;p__Nanoarchaeota,d__Bacteria;p__Bdellovibrionota,d__Bacteria;p__Deferribacterota,d__Archaea;p__Crenarchaeota,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Marinimicrobia_(SAR406_clade),d__Bacteria;p__Chloroflexi,d__Bacteria;p__Halanaerobiaeota,d__Bacteria;p__WPS-2,d__Bacteria;p__Dependentiae,d__Bacteria;p__Dadabacteria,d__Bacteria;p__Deinococcota,d__Bacteria;p__Sumerlaeota,d__Bacteria;p__Calditrichota,d__Bacteria;p__Gemmatimonadota,d__Archaea;p__Halobacterota,d__Bacteria;p__Margulisbacteria,d__Eukaryota;p__Dinoflagellata,d__Bacteria;p__Cloacimonadota,d__Bacteria;p__LCP-89,d__Bacteria;p__Nitrospirota,d__Bacteria;p__Sva0485,d__Archaea;p__Thermoplasmatota,d__Bacteria;p__NB1-j,d__Bacteria;p__Fibrobacterota,d__Bacteria;p__Hydrogenedentes,d__Bacteria;p__Latescibacterota,d__Bacteria;p__Armatimonadota,d__Eukaryota;p__Cnidaria,d__Archaea;p__Euryarchaeota,SampleName,PlotOrder,SiteName,SiteID,SitePoint,Species,TissueType,PlugID,Treatment,Temp,pH,Tank,Timepoint
HPW060,23.0,11819.0,296.0,5.0,340.0,7038.0,0.0,47.0,0.0,0.0,0.0,0.0,37.0,64.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2410,1.0,Reef.18,M34,4,Mcapitata,Hard,2410,HTAC,HT,AC,9,8
HPW061,18230.0,74.0,12127.0,1791.0,2307.0,2176.0,0.0,51.0,98.0,0.0,14.0,144.0,12.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,60.0,0.0,15.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1147,2.0,HIMB,P22,3,Pacuta,Hard,1147,ATHC,AT,HC,3,11
HPW062,43.0,18782.0,511.0,657.0,1854.0,258.0,0.0,98.0,0.0,22.0,38.0,38.0,20.0,0.0,46.0,0.0,15.0,0.0,17.0,0.0,0.0,25.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1095,3.0,Reef.35.36,M49,5,Mcapitata,Hard,1095,ATAC,AT,AC,1,10
HPW063,30.0,9747.0,7561.0,63.0,197.0,281.0,0.0,144.0,0.0,76.0,31.0,9.0,14.0,75.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1694,4.0,Reef.11.13,M70,7,Mcapitata,Hard,1694,HTHC,HT,HC,10,5
HPW064,12.0,15634.0,7826.0,2467.0,13887.0,139.0,56.0,94.0,0.0,44.0,101.0,965.0,14.0,8.0,363.0,24.0,99.0,12.0,115.0,0.0,32.0,4.0,0.0,40.0,0.0,16.0,19.0,4.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2986,5.0,Reef.35.36,M56,6,Mcapitata,Hard,2986,ATHC,AT,HC,12,5
HPW065,2.0,12910.0,9496.0,43.0,521.0,211.0,378.0,39.0,0.0,0.0,4.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1204,6.0,Reef.11.13,M48,5,Mcapitata,Hard,1204,ATHC,AT,HC,3,10
HPW066,30597.0,55.0,176.0,948.0,400.0,219.0,5.0,30.0,0.0,0.0,0.0,11.0,3.0,0.0,4.0,0.0,0.0,5.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2861,7.0,HIMB,P36,4,Pacuta,Hard,2861,ATHC,AT,HC,11,8
HPW067,11423.0,57.0,3161.0,5291.0,7754.0,368.0,23.0,21.0,61.0,765.0,3.0,429.0,611.0,18.0,1270.0,0.0,23.0,0.0,58.0,10.0,0.0,0.0,0.0,57.0,0.0,3.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1641,8.0,HIMB,P65,7,Pacuta,Hard,1641,ATAC,AT,AC,6,10
HPW068,104.0,14716.0,5757.0,481.0,3159.0,199.0,0.0,66.0,0.0,8.0,186.0,262.0,5.0,0.0,117.0,0.0,7.0,0.0,28.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1074,9.0,Reef.11.13,M59,6,Mcapitata,Hard,1074,HTHC,HT,HC,2,10
HPW069,31764.0,197.0,848.0,2685.0,3168.0,298.0,0.0,59.0,0.0,0.0,8.0,16.0,18.0,0.0,8.0,0.0,9.0,0.0,26.0,0.0,0.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1205,10.0,Reef.35.36,P51,6,Pacuta,Hard,1205,ATHC,AT,HC,3,10
