DATE TIME,WATERTEMP,CONDUCTIVITY
09/01/2018 00:00,27.1,
09/01/2018 00:06,27.1,
09/01/2018 00:12,27.1,
09/01/2018 00:18,27.2,
09/01/2018 00:24,27.2,
09/01/2018 00:30,27.2,
09/01/2018 00:36,27.2,
09/01/2018 00:42,27.2,
09/01/2018 00:48,27.2,
09/01/2018 00:54,27.2,
09/01/2018 01:00,27.2,
09/01/2018 01:06,27.2,
09/01/2018 01:12,27.2,
09/01/2018 01:18,27.3,
09/01/2018 01:24,27.3,
09/01/2018 01:30,27.3,
09/01/2018 01:36,27.3,
09/01/2018 01:42,27.3,
09/01/2018 01:48,27.3,
09/01/2018 01:54,27.3,
09/01/2018 02:00,27.3,
09/01/2018 02:06,27.3,
09/01/2018 02:12,27.3,
09/01/2018 02:18,27.3,
09/01/2018 02:24,27.3,
09/01/2018 02:30,27.3,
09/01/2018 02:36,27.3,
09/01/2018 02:42,27.3,
09/01/2018 02:48,27.3,
09/01/2018 02:54,27.3,
09/01/2018 03:00,27.3,
09/01/2018 03:06,27.3,
09/01/2018 03:12,27.3,
09/01/2018 03:18,27.3,
09/01/2018 03:24,27.3,
09/01/2018 03:30,27.3,
09/01/2018 03:36,27.2,
09/01/2018 03:42,27.2,
09/01/2018 03:48,27.2,
09/01/2018 03:54,27.2,
09/01/2018 04:00,27.2,
09/01/2018 04:06,27.2,
09/01/2018 04:12,27.2,
09/01/2018 04:18,27.2,
09/01/2018 04:24,27.2,
09/01/2018 04:30,27.2,
09/01/2018 04:36,27.2,
09/01/2018 04:42,27.2,
09/01/2018 04:48,27.2,
09/01/2018 04:54,27.2,
09/01/2018 05:00,27.2,
09/01/2018 05:06,27.1,
09/01/2018 05:12,27.1,
09/01/2018 05:18,27.1,
09/01/2018 05:24,27.1,
09/01/2018 05:30,27.1,
09/01/2018 05:36,27.1,
09/01/2018 05:42,27.1,
09/01/2018 05:48,27.0,
09/01/2018 05:54,27.0,
09/01/2018 06:00,27.0,
09/01/2018 06:06,27.0,
09/01/2018 06:12,27.0,
09/01/2018 06:18,27.0,
09/01/2018 06:24,26.9,
09/01/2018 06:30,26.9,
09/01/2018 06:36,26.9,
09/01/2018 06:42,26.9,
09/01/2018 06:48,26.9,
09/01/2018 06:54,26.9,
09/01/2018 07:00,26.9,
09/01/2018 07:06,26.9,
09/01/2018 07:12,26.9,
09/01/2018 07:18,26.8,
09/01/2018 07:24,26.8,
09/01/2018 07:30,26.8,
09/01/2018 07:36,26.8,
09/01/2018 07:42,26.8,
09/01/2018 07:48,26.8,
09/01/2018 07:54,26.8,
09/01/2018 08:00,26.8,
09/01/2018 08:06,26.8,
09/01/2018 08:12,26.8,
09/01/2018 08:18,26.8,
09/01/2018 08:24,26.8,
09/01/2018 08:30,26.8,
09/01/2018 08:36,26.8,
09/01/2018 08:42,26.8,
09/01/2018 08:48,26.8,
09/01/2018 08:54,26.8,
09/01/2018 09:00,26.8,
09/01/2018 09:06,26.8,
09/01/2018 09:12,26.8,
09/01/2018 09:18,26.8,
09/01/2018 09:24,26.8,
09/01/2018 09:30,26.8,
09/01/2018 09:36,26.8,
09/01/2018 09:42,26.8,
09/01/2018 09:48,26.8,
09/01/2018 09:54,26.8,
09/01/2018 10:00,26.8,
09/01/2018 10:06,26.8,
09/01/2018 10:12,26.8,
09/01/2018 10:18,26.8,
09/01/2018 10:24,26.8,
09/01/2018 10:30,26.8,
09/01/2018 10:36,26.8,
09/01/2018 10:42,26.8,
09/01/2018 10:48,26.8,
09/01/2018 10:54,26.8,
09/01/2018 11:00,26.8,
09/01/2018 11:06,26.8,
09/01/2018 11:12,26.8,
