Sample	Clade	Ploidy
Pacuta_ATAC_TP1_1043	CladePA4	3
Pacuta_ATAC_TP1_1775	CladePA6	2
Pacuta_ATAC_TP1_2363	CladePA3	3
Pacuta_ATAC_TP3_1041	CladePA1	3
Pacuta_ATAC_TP3_1471	CladePA3	3
Pacuta_ATAC_TP3_1637	CladePA1	3
Pacuta_ATAC_TP4_1060	CladePA3	3
Pacuta_ATAC_TP4_1762	CladePA1	3
Pacuta_ATAC_TP4_2002	CladePA3	3
Pacuta_ATAC_TP5_1059	CladePA7	2
Pacuta_ATAC_TP5_1563	CladePA3	3
Pacuta_ATAC_TP5_1757	CladePA3	3
Pacuta_ATAC_TP6_1050	CladePA5	2
Pacuta_ATAC_TP6_1468	CladePA6	2
Pacuta_ATAC_TP6_1542	CladePA4	3
Pacuta_ATAC_TP7_1047	CladePA5	2
Pacuta_ATAC_TP7_1445	CladePA9	2
Pacuta_ATAC_TP7_2413	CladePA1	3
Pacuta_ATAC_TP8_1051	CladePA2	3
Pacuta_ATAC_TP8_1755	CladePA6	2
Pacuta_ATAC_TP8_2012	CladePA1	3
Pacuta_ATAC_TP9_1141	CladePA6	2
Pacuta_ATAC_TP9_1594	CladePA3	3
Pacuta_ATAC_TP9_2357	CladePA1	3
Pacuta_ATAC_TP10_1159	CladePA6	2
Pacuta_ATAC_TP10_1559	CladePA3	3
Pacuta_ATAC_TP10_1641	CladePA3	3
Pacuta_ATAC_TP11_1103	CladePA1	3
Pacuta_ATAC_TP11_1777	CladePA2	3
Pacuta_ATAC_TP11_2306	CladePA1	3
Pacuta_ATHC_TP1_1207	CladePA5	2
Pacuta_ATHC_TP1_2743	CladePA4	3
Pacuta_ATHC_TP1_2977	CladePA5	2
Pacuta_ATHC_TP3_1219	CladePA5	2
Pacuta_ATHC_TP3_2534	CladePA1	3
Pacuta_ATHC_TP3_2750	CladePA4	3
Pacuta_ATHC_TP4_1220	CladePA1	3
Pacuta_ATHC_TP4_2733	CladePA2	3
Pacuta_ATHC_TP4_2993	CladePA5	2
Pacuta_ATHC_TP5_1296	CladePA5	2
Pacuta_ATHC_TP5_2212	CladePA6	2
Pacuta_ATHC_TP5_2877	CladePA1	3
Pacuta_ATHC_TP6_1254	CladePA2	3
Pacuta_ATHC_TP6_2870	CladePA1	3
Pacuta_ATHC_TP6_2999	CladePA5	2
Pacuta_ATHC_TP7_1281	CladePA5	2
Pacuta_ATHC_TP7_2409	CladePA3	3
Pacuta_ATHC_TP7_2878	CladePA1	3
Pacuta_ATHC_TP8_1459	CladePA2	3
Pacuta_ATHC_TP8_2564	CladePA3	3
Pacuta_ATHC_TP8_2861	CladePA5	2
Pacuta_ATHC_TP9_1451	CladePA1	3
Pacuta_ATHC_TP9_2873	CladePA1	3
Pacuta_ATHC_TP9_2979	CladePA5	2
Pacuta_ATHC_TP10_1205	CladePA8	2
Pacuta_ATHC_TP10_2197	CladePA5	2
Pacuta_ATHC_TP10_2550	CladePA8	2
Pacuta_ATHC_TP11_1147	CladePA1	3
Pacuta_ATHC_TP11_2668	CladePA5	2
Pacuta_ATHC_TP11_2879	CladePA5	2
