Sample	Clade
Mcapitata_ATAC_TP1_1037	CladeMC2
Mcapitata_ATAC_TP1_1600	CladeMC1
Mcapitata_ATAC_TP1_1652	CladeMC2
Mcapitata_ATAC_TP3_1101	CladeMC3
Mcapitata_ATAC_TP3_1548	CladeMC1
Mcapitata_ATAC_TP3_1628	CladeMC1
Mcapitata_ATAC_TP4_1108	CladeMC1
Mcapitata_ATAC_TP4_1609	CladeMC4
Mcapitata_ATAC_TP4_1651	CladeMC2
Mcapitata_ATAC_TP5_1196	CladeMC1
Mcapitata_ATAC_TP5_1610	CladeMC1
Mcapitata_ATAC_TP5_1776	CladeMC1
Mcapitata_ATAC_TP6_1114	CladeMC5
Mcapitata_ATAC_TP6_1611	CladeMC2
Mcapitata_ATAC_TP6_2402	CladeMC3
Mcapitata_ATAC_TP7_1058	CladeMC5
Mcapitata_ATAC_TP7_1455	CladeMC2
Mcapitata_ATAC_TP7_1499	CladeMC1
Mcapitata_ATAC_TP8_1083	CladeMC1
Mcapitata_ATAC_TP8_1436	CladeMC2
Mcapitata_ATAC_TP8_1779	CladeMC6
Mcapitata_ATAC_TP9_1121	CladeMC1
Mcapitata_ATAC_TP9_1420	CladeMC1
Mcapitata_ATAC_TP9_1580	CladeMC1
Mcapitata_ATAC_TP10_1095	CladeMC6
Mcapitata_ATAC_TP10_1561	CladeMC1
Mcapitata_ATAC_TP10_1631	CladeMC1
Mcapitata_ATAC_TP11_1076	CladeMC5
Mcapitata_ATAC_TP11_1644	CladeMC1
Mcapitata_ATAC_TP11_2302	CladeMC1
Mcapitata_ATAC_TP12_1120	CladeMC2
Mcapitata_ATAC_TP12_1452	CladeMC5
Mcapitata_ATAC_TP12_2403	CladeMC3
Mcapitata_ATHC_TP1_1218	CladeMC1
Mcapitata_ATHC_TP1_1826	CladeMC1
Mcapitata_ATHC_TP1_2068	CladeMC5
Mcapitata_ATHC_TP3_1544	CladeMC2
Mcapitata_ATHC_TP3_2731	CladeMC5
Mcapitata_ATHC_TP3_2866	CladeMC4
Mcapitata_ATHC_TP4_1221	CladeMC5
Mcapitata_ATHC_TP4_2561	CladeMC2
Mcapitata_ATHC_TP4_2734	CladeMC1
Mcapitata_ATHC_TP5_1229	CladeMC5
Mcapitata_ATHC_TP5_1706	CladeMC1
Mcapitata_ATHC_TP5_2986	CladeMC3
Mcapitata_ATHC_TP6_1212	CladeMC1
Mcapitata_ATHC_TP6_2016	CladeMC1
Mcapitata_ATHC_TP6_2555	CladeMC2
Mcapitata_ATHC_TP7_1223	CladeMC1
Mcapitata_ATHC_TP7_2860	CladeMC2
Mcapitata_ATHC_TP7_2875	CladeMC1
Mcapitata_ATHC_TP8_1260	CladeMC5
Mcapitata_ATHC_TP8_2735	CladeMC5
Mcapitata_ATHC_TP8_2753	CladeMC5
Mcapitata_ATHC_TP9_1148	CladeMC5
Mcapitata_ATHC_TP9_2862	CladeMC1
Mcapitata_ATHC_TP9_2995	CladeMC1
Mcapitata_ATHC_TP10_1204	CladeMC4
Mcapitata_ATHC_TP10_2554	CladeMC1
Mcapitata_ATHC_TP10_2737	CladeMC1
Mcapitata_ATHC_TP11_1237	CladeMC2
Mcapitata_ATHC_TP11_2188	CladeMC4
Mcapitata_ATHC_TP11_2756	CladeMC1
Mcapitata_ATHC_TP12_1154	CladeMC4
Mcapitata_ATHC_TP12_2736	CladeMC3
Mcapitata_ATHC_TP12_2990	CladeMC1
Mcapitata_HTAC_TP1_1579	CladeMC1
Mcapitata_HTAC_TP1_2153	CladeMC4
Mcapitata_HTAC_TP1_2183	CladeMC1
Mcapitata_HTAC_TP3_1289	CladeMC1
Mcapitata_HTAC_TP3_1751	CladeMC3
Mcapitata_HTAC_TP3_2021	CladeMC3
Mcapitata_HTAC_TP4_1269	CladeMC2
