sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodinium_seqs	post_taxa_id_unique_symbiodinium_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodinium_seqs	post_taxa_id_unique_non_symbiodinium_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
77	HP117	2.4826999708426474	1.0315871318884244	0.01598794829429488	1.0315871318884244	0.01598794829429488	0.0	0.0	0.0	0.0	1.0	0.0001943823500826125	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180910.0	NoData
109	HP149	1.8736157304192098	1.0304813420562113	0.015825444976426302	1.0304813420562113	0.015825444976426302	0.0	0.0	0.0	0.0	1.0	0.00014619348708015057	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180905.0	NoData
63	HP103	2.0324774512656387	1.0285132382892057	0.01643875472796043	1.0285132382892057	0.01643875472796043	0.0	0.0	0.0	0.0	1.0	0.00014547570555717196	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180910.0	NoData
212	HP252	1.8469888860170587	1.0315843887309382	0.0172137503230809	1.0315843887309382	0.0172137503230809	0.0	0.0	0.0	0.0	1.0	0.00020677177565262342	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180910.0	NoData
115	HP155	1.8016755384857264	1.0339375154414572	0.013678323563102217	1.0339375154414572	0.013678323563102217	0.0	0.0	0.0	0.0	1.0	0.0001123015070862251	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180910.0	NoData
111	HP151	1.857213107425455	1.0295498234163352	0.016808976708838123	1.0295498234163352	0.016808976708838123	0.0	0.0	0.0	0.0	1.0	0.00022352362644731548	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180910.0	NoData
176	HP216	2.387492240844196	1.0175356921166978	0.021880819366852888	1.0175356921166978	0.021880819366852888	0.0	0.0	0.0	0.0	1.0	0.0007759155803848542	0	0	0.004965859714463066	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180908.0	NoData
106	HP146	1.872230474068573	1.0281903700953088	0.015317489788340142	1.0281903700953088	0.015317489788340142	0.0	0.0	0.0	0.0	1.0	0.00015472211907414284	0	0	0.0051986632008912	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180905.0	NoData
191	HP231	1.784005376344086	1.0216397849462366	0.01599462365591398	1.0216397849462366	0.01599462365591398	0.0	0.0	0.0	0.0	1.0	0.0006720430107526882	0	0	0.005241935483870968	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180907.0	NoData
80	HP120	2.172747318833317	1.0237045203969128	0.016838729076876818	1.0237045203969128	0.016838729076876818	0.0	0.0	0.0	0.0	1.0	0.0002505763255487622	0	0	0.005512679162072767	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180905.0	NoData
