sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
HP01,47,-0.35036076767810026,-0.0015928863545637648,-0.01820800429797721,-0.0018925714130675023,-0.018267571822828226,-0.0045541758439332685,0.0015983098340321973,-0.00541942870329912,-0.0034962771799831724,-0.0,0.0,0.0
HP02,48,-0.34550236020699254,-0.0008282830390649032,-0.08866404761589038,0.012511329418706793,0.05576659426850223,0.014064220194338329,0.000637614784795171,0.001767087069912161,-0.0012768061327569913,-0.0,0.0,0.0
HP03,49,-0.3489341238409729,-0.001511564286076507,-0.0006917321615505053,-0.006439912220859916,-0.05653694488973483,0.0042774828038121175,-0.0016173897220706464,0.006438845901045757,0.0035350563410896695,-0.0,0.0,0.0
HP05,51,0.593137390788151,0.13961710063158683,0.004627690013365711,0.12141190002983,-0.011402921420201927,-0.0007911738443183368,-0.001184449994747303,-0.00027661707662437785,6.5730686584449365e-06,-0.0,0.0,0.0
HP06,52,0.6366792654086911,-0.15993670305753788,-0.011096749638855383,-0.012598117887243446,-0.0006640312788375131,0.0015100147673215306,-0.01256994220711318,-0.0018127100863961235,-1.0870726492575854e-05,-0.0,0.0,0.0
HP07,53,-0.16517612652331523,-0.005334450820585752,0.14875685011180703,0.002693560576137187,0.04497458733763258,0.011714189916614371,0.0003067167679564112,0.0005954762805691874,-0.00012609517172357035,-0.0,0.0,0.0
HP08,54,-0.3502506707672393,-0.0015979322353573047,-0.017802045778027034,-0.00205066627133697,-0.021822507043718964,0.005038183197491269,0.002577816078104973,-0.008545955968174227,0.0037048247952028517,-0.0,0.0,0.0
HP09,55,-0.3461370959732002,-0.0008357946255903022,-0.08653159482304576,0.011100283093531131,0.04751864948390995,-0.014887531244353684,-0.0018183262510073092,0.002314117511521407,0.0013631408575173122,-0.0,0.0,0.0
HP10,56,-0.3489424423362845,-0.0015094408329648613,-0.000271816120796074,-0.006554790465265469,-0.05685971273943349,0.0014001197293300894,-0.0012426644265579835,0.0027753679015821444,-0.003955102794533829,-0.0,0.0,0.0
HP12,58,0.6143956215931301,0.17533313878219117,-0.02155471068174022,-0.10654966939574055,0.005253907528371921,0.0010497139070886436,0.00038812356629608,6.028296483611194e-05,-1.4224093834118208e-05,-0.0,0.0,0.0
HP13,59,0.639278088879794,-0.1437450352870405,-0.012147190435199991,0.0017415111191551886,-0.0043369887862689,-0.0018912937488685204,0.013283174201538704,0.0018378102116038454,1.0658488998467766e-05,-0.0,0.0,0.0
HP14,60,-0.22818677934366183,0.0019418511250033515,0.10358335142790835,-0.013372856583846926,0.01637693936260857,-0.016929749834532933,-0.00035898263122057954,0.0002657239934464956,0.00025912254788948875,-0.0,0.0,0.0
proportion_explained,0,0.9253965561171253,0.037995220605014014,0.019530102364386195,0.010555132216961792,0.0059343190469928276,0.0003610737734703351,0.00013907476966088542,6.582282958756644e-05,2.2698276801299304e-05,0.0,0.0,0.0
