sample,mass,salinity,Sample.ID,Type
20181125_Tank8,59.8,33.49,Tank8,Tank
20181125_Tank11,59.62,33.71,Tank11,Tank
20181125_Tank3,59.6,33.51,Tank3,Tank
20181125_Tank6,59.97,33.58,Tank6,Tank
20181125_Tank5,59.26,34.09,Tank5,Tank
20181125_Tank4,59.59,34.04,Tank4,Tank
