Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),QF,H2O (mmol/mol),xCO2  Air (wet) (umol/mol),QF,H2O (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),% O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
CRIMP2_158W_21N,21.458,-157.798,6/8/2013,4:17,439.4,2,8.69,394.5,2,8.67,1011,27.3,102.44,25.726,35.129,443.2,398,426.7,383.1,43.6,428.1,384.4,43.7
CRIMP2_158W_21N,21.458,-157.798,6/8/2013,5:17,462.6,2,8.57,394.6,2,8.57,1011.7,27.3,102.05,25.696,35.125,466.6,398,449.6,383.5,66.1,451,384.7,66.3
CRIMP2_158W_21N,21.458,-157.798,6/8/2013,6:17,462.8,2,8.51,394.7,2,8.54,1012.8,27.3,101.6,25.579,35.176,466.8,398.1,450.4,384.1,66.3,451.8,385.3,66.5
CRIMP2_158W_21N,21.458,-157.798,6/8/2013,7:17,464,2,8.62,394.7,2,8.66,1013.3,27.2,101.25,25.565,35.19,468.1,398.2,451.8,384.3,67.5,453.2,385.5,67.7
CRIMP2_158W_21N,21.458,-157.798,6/8/2013,8:17,445.8,2,8.65,394.3,2,8.69,1013.6,27.2,100.85,25.487,35.192,449.7,397.7,434.3,384.1,50.1,435.6,385.3,50.3
CRIMP2_158W_21N,21.458,-157.798,6/8/2013,9:17,438.6,2,8.53,394.5,2,8.56,1013.8,27.1,100.37,25.115,35.191,442.3,397.9,427.6,384.6,43,428.9,385.8,43.1
CRIMP2_158W_21N,21.458,-157.798,6/8/2013,10:17,477,2,8.5,394.6,2,8.58,1013,27.1,99.65,24.866,35.184,481.1,398.1,464.9,384.6,80.3,466.4,385.9,80.5
CRIMP2_158W_21N,21.458,-157.798,6/8/2013,11:17,511.8,2,8.58,394.6,2,8.61,1012.5,27,99.04,24.761,35.184,516.2,398.1,498.7,384.5,114.1,500.3,385.8,114.5
CRIMP2_158W_21N,21.458,-157.798,6/8/2013,12:17,528.7,2,8.54,394.8,2,8.57,1012.1,26.9,98.53,24.736,35.186,533.3,398.2,514.9,384.5,130.4,516.6,385.7,130.9
CRIMP2_158W_21N,21.458,-157.798,6/8/2013,13:17,535.5,2,8.56,394.7,2,8.58,1011.6,26.9,98.08,24.742,35.193,540.1,398.1,521.2,384.2,137,522.9,385.5,137.4
CRIMP2_158W_21N,21.458,-157.798,6/8/2013,14:17,547.9,2,8.54,394.7,2,8.55,1011.4,26.8,97.66,24.76,35.201,552.7,398.1,533.2,384.2,149.1,534.9,385.4,149.6
CRIMP2_158W_21N,21.458,-157.798,6/8/2013,15:17,555.7,2,8.55,395.3,2,8.58,1011.6,26.8,97.22,24.741,35.208,560.5,398.7,540.9,384.8,156.1,542.7,386.1,156.6
CRIMP2_158W_21N,21.458,-157.798,6/8/2013,16:17,565.1,2,8.58,394.8,2,8.61,1012.2,26.8,96.71,24.742,35.214,570,398.2,550.5,384.5,165.9,552.2,385.8,166.5
CRIMP2_158W_21N,21.458,-157.798,6/8/2013,17:17,599.3,2,8.82,394.8,2,8.79,1012.9,26.8,96.33,24.757,35.206,604.6,398.3,584.3,384.9,199.4,586.2,386.1,200
CRIMP2_158W_21N,21.458,-157.798,6/8/2013,18:17,612.5,2,9.04,394.8,2,9.02,1012.9,26.8,96.39,24.809,35.185,618.1,398.4,597.3,385,212.3,599.2,386.2,213
CRIMP2_158W_21N,21.458,-157.798,6/8/2013,19:17,577.3,2,9.16,394.9,2,9.14,1013,26.9,97.01,24.936,35.18,582.7,398.5,562.9,385,177.9,564.7,386.2,178.5
CRIMP2_158W_21N,21.458,-157.798,6/8/2013,20:17,483.4,2,9.15,394.3,2,9.08,1013.2,27.1,98.02,25.209,35.185,487.8,397.9,471.2,384.3,86.9,472.7,385.5,87.2
CRIMP2_158W_21N,21.458,-157.798,6/8/2013,21:17,409,2,9.28,394,2,9.19,1013.2,27.2,99.35,25.475,35.187,412.8,397.7,398.5,383.9,14.6,399.8,385.1,14.6
CRIMP2_158W_21N,21.458,-157.798,6/8/2013,22:17,371,2,9.36,393.9,2,9.24,1012.7,27.4,100.78,25.898,35.17,374.5,397.5,361.1,383.3,-22.2,362.2,384.5,-22.3
CRIMP2_158W_21N,21.458,-157.798,6/8/2013,23:17,361.8,2,9.43,393.6,2,9.31,1012.4,27.5,101.85,26.107,35.181,365.3,397.3,351.9,382.8,-30.9,353,384,-31
CRIMP2_158W_21N,21.458,-157.798,6/9/2013,0:17,354.7,2,9.58,393.6,2,9.49,1012,27.6,102.86,26.347,35.194,358.1,397.4,344.7,382.5,-37.8,345.8,383.7,-37.9
CRIMP2_158W_21N,21.458,-157.798,6/9/2013,1:17,361.2,2,9.54,393.8,2,9.39,1011.6,27.7,103.56,26.267,35.184,364.7,397.6,350.9,382.6,-31.6,352,383.8,-31.7
CRIMP2_158W_21N,21.458,-157.798,6/9/2013,2:17,368.1,2,9.43,393.9,2,9.3,1011.3,27.8,103.98,26.295,35.194,371.6,397.6,357.4,382.5,-25,358.6,383.7,-25.1
CRIMP2_158W_21N,21.458,-157.798,6/9/2013,3:17,403.7,2,9.19,393.9,2,9.09,1011.6,27.8,104.06,26.11,35.14,407.4,397.5,392.2,382.6,9.6,393.4,383.8,9.6
CRIMP2_158W_21N,21.458,-157.798,6/9/2013,4:17,417.8,2,8.91,393.9,2,8.8,1012.2,27.8,104.04,26.053,35.118,421.5,397.4,406.1,382.8,23.2,407.3,384,23.3
CRIMP2_158W_21N,21.458,-157.798,6/9/2013,5:17,422.4,2,8.67,394.3,2,8.61,1012.5,27.8,103.73,25.966,35.107,426.1,397.8,410.7,383.3,27.3,412,384.5,27.4
CRIMP2_158W_21N,21.458,-157.798,6/9/2013,6:17,444.5,2,8.61,394.5,2,8.6,1013,27.7,103.43,25.881,35.109,448.4,397.9,432.4,383.7,48.7,433.8,385,48.9
CRIMP2_158W_21N,21.458,-157.798,6/9/2013,7:17,509.7,2,8.65,394.3,2,8.67,1013.6,27.6,102.33,25.699,35.082,514.1,397.8,496.3,384,112.3,497.9,385.2,112.7
CRIMP2_158W_21N,21.458,-157.798,6/9/2013,8:17,540.9,2,8.69,394.2,2,8.71,1013.9,27.6,101.47,25.627,35.111,545.6,397.7,526.9,384.1,142.9,528.6,385.3,143.3
CRIMP2_158W_21N,21.458,-157.798,6/9/2013,9:17,479,2,8.73,394.2,2,8.75,1013.8,27.5,101.2,25.768,35.19,483.2,397.7,466.5,383.9,82.5,468,385.2,82.8
CRIMP2_158W_21N,21.458,-157.798,6/9/2013,10:17,446.5,2,8.74,394.1,2,8.76,1013.6,27.4,101.03,25.94,35.191,450.5,397.6,434.7,383.6,51,436,384.9,51.2
CRIMP2_158W_21N,21.458,-157.798,6/9/2013,11:17,453.2,2,8.72,394.2,2,8.76,1013.2,27.4,100.57,25.747,35.187,457.2,397.7,441.1,383.7,57.4,442.5,384.9,57.6
CRIMP2_158W_21N,21.458,-157.798,6/9/2013,12:17,478.5,2,8.68,394.5,2,8.71,1012.5,27.3,99.92,25.425,35.191,482.7,397.9,465.7,383.9,81.8,467.2,385.1,82
CRIMP2_158W_21N,21.458,-157.798,6/9/2013,13:17,532.7,2,8.69,394.4,2,8.74,1012.2,27.3,99,24.906,35.188,537.4,397.9,518.8,384.1,134.7,520.4,385.3,135.1
CRIMP2_158W_21N,21.458,-157.798,6/9/2013,14:17,548.8,2,8.69,394.4,2,8.72,1012.3,27.2,98.33,24.861,35.187,553.6,397.9,534.6,384.2,150.4,536.3,385.4,150.9
CRIMP2_158W_21N,21.458,-157.798,6/9/2013,15:17,568.3,2,8.65,394.6,2,8.69,1012.8,27.2,97.4,24.788,35.189,573.2,398.1,553.8,384.7,169.2,555.6,385.9,169.7
CRIMP2_158W_21N,21.458,-157.798,6/9/2013,16:17,588.6,2,8.67,394.6,2,8.7,1013.6,27.2,96.29,24.728,35.19,593.7,398.1,574.2,385,189.2,576,386.2,189.8
CRIMP2_158W_21N,21.458,-157.798,6/9/2013,17:17,615.3,2,8.71,394.5,2,8.72,1014.1,27.1,95.4,24.665,35.192,620.7,397.9,600.6,385.1,215.6,602.5,386.3,216.2
CRIMP2_158W_21N,21.458,-157.798,6/9/2013,18:17,612.6,2,8.87,394.5,2,8.9,1014.5,27.1,95.16,24.633,35.194,618.1,398.1,598.4,385.4,213,600.3,386.6,213.7
CRIMP2_158W_21N,21.458,-157.798,6/9/2013,19:17,588.6,2,9.14,394.4,2,9.17,1014.6,27.1,96.23,24.643,35.197,594.1,398.1,575.2,385.4,189.8,577,386.6,190.4
CRIMP2_158W_21N,21.458,-157.798,6/9/2013,20:17,526.8,2,9.31,394.1,2,9.31,1014.6,27.1,97,24.773,35.198,531.8,397.8,514.8,385,129.7,516.4,386.3,130.1
CRIMP2_158W_21N,21.458,-157.798,6/9/2013,21:17,470,2,9.49,393.9,2,9.48,1014.5,27.2,98.14,25.225,35.171,474.5,397.7,458.8,384.6,74.3,460.3,385.8,74.5
CRIMP2_158W_21N,21.458,-157.798,6/9/2013,22:17,409,2,9.51,393.9,2,9.48,1014.2,27.4,99.48,25.758,35.118,412.9,397.7,398.8,384.1,14.7,400.1,385.3,14.8
CRIMP2_158W_21N,21.458,-157.798,6/9/2013,23:17,350.5,2,9.19,393.9,2,9.13,1013.7,27.5,101.09,26.119,35.176,353.8,397.5,341.3,383.4,-42.2,342.4,384.6,-42.3
CRIMP2_158W_21N,21.458,-157.798,6/10/2013,0:17,345.9,2,9.69,393.5,2,9.6,1013.6,27.7,102.23,26.4,35.164,349.3,397.3,336.7,383,-46.3,337.8,384.2,-46.4
CRIMP2_158W_21N,21.458,-157.798,6/10/2013,1:17,356.1,2,9.75,393.3,2,9.63,1013.2,27.8,103.04,26.535,35.167,359.6,397.1,346.4,382.6,-36.2,347.5,383.8,-36.3
CRIMP2_158W_21N,21.458,-157.798,6/10/2013,2:17,355.6,2,9.08,393.7,2,9.06,1012.9,27.9,103.92,26.44,35.169,358.9,397.3,345.7,382.7,-37,346.7,383.9,-37.1
CRIMP2_158W_21N,21.458,-157.798,6/10/2013,3:17,365.6,2,9.23,393.6,2,9.16,1012.9,28,104.52,26.352,35.175,369,397.2,355.5,382.7,-27.2,356.6,383.9,-27.3
CRIMP2_158W_21N,21.458,-157.798,6/10/2013,4:17,410.2,2,9.1,393.8,2,9.02,1013,28,103.87,26.151,35.158,413.9,397.4,399,383,16,400.2,384.2,16
