mVTris,TTris,,,,,
-65.1,25.02,,,,,
-64.5,25.42,,,,, 
-64,25.84,,,,,
-63.4,26.28,,,,,
-62.8,26.72,,,,,
-62.2,27.17,,,,,
-61.6,27.6,,,,,
-61,28.04,,,,,
-60.3,28.52,,,,,
-59.7,28.98,,,,,
-59,29.42,,,,,
-58.5,29.84,,,,,
-57.9,30.26,,,,,
-57.2,30.67,,,,,
-56.7,31.08,,,,,
