mVTris,TTris,,,,,
-62.3,25.15,,,,,
-61.7,25.64,,,,, 
-61,26.13,,,,,
-60.3,26.66,,,,,
-59.8,27.07,,,,,
-59.2,27.5,,,,,
-58.7,27.94,,,,,
-58.1,28.38,,,,,
-57.5,28.79,,,,,
-57,29.21,,,,,
-56.4,29.63,,,,,
-55.9,29.97,,,,,
-55.4,30.4,,,,,
