mVTris,TTris,,,,,
-61.9,25.02,,,,,
-61.2,25.5,,,,, 
-60.6,25.98,,,,,
-59.9,26.48,,,,,
-59.3,26.95,,,,,
-58.7,27.44,,,,,
-58.2,27.82,,,,,
-57.5,28.3,,,,,
-56.8,28.84,,,,,
-56.3,29.22,,,,,
-55.8,29.6,,,,,
-55.3,30,,,,,
