mVTris,TTris,,,,,
-64.8,24.78,,,,,
-64.1,25.3,,,,, 
-63.5,25.79,,,,,
-62.9,26.23,,,,,
-62.4,26.66,,,,,
-61.8,27.07,,,,,
-61.3,27.46,,,,,
-60.8,27.9,,,,,
-60.2,28.28,,,,,
-59.7,28.72,,,,,
-59.2,29.14,,,,,
-58.6,29.55,,,,,
-58,30.02,,,,,
-57.4,30.44,,,,,
-56.9,30.88,,,,,
