mVTris,TTris,,,,,
-74.5,22.96,,,,,
-73.9,23.52,,,,, 
-73.2,24.03,,,,,
-72.6,24.49,,,,,
-72.1,24.86,,,,,
-71.7,25.21,,,,,
-71.1,25.63,,,,,
-70.5,26.02,,,,,
-69.9,26.47,,,,,
-69.3,26.9,,,,,
-68.6,27.31,,,,,
-68.1,27.76,,,,,
-67.5,28.16,,,,,
