mVTris,TTris,,,,,
-64.8,25.28,,,,,
-64,25.86,,,,, 
-63.3,26.37,,,,,
-62.7,26.86,,,,,
-62,27.39,,,,,
-61.3,27.87,,,,,
-60.8,28.29,,,,,
-60.1,28.8,,,,,
-59.5,29.26,,,,,
-58.8,29.75,,,,,
-58.3,30.13,,,,,
-57.7,30.56,,,,,
-57.1,30.98,,,,,
