16s_ID,Plug_ID
HPW060,2410
HPW061,1147
HPW062,1095
HPW063,1694
HPW064,2986
HPW065,1204
HPW066,2861
HPW067,1641
HPW068,1074
HPW069,1205
HPW070,1303
HPW071,1647
HPW072,1058
HPW073,2877
HPW074,1225
HPW075,1563
HPW076,2513
HPW077,1779
HPW078,1332
HPW079,2413
HPW080,1059
HPW081,2386
HPW082,1582
HPW083,2185
HPW084,1184
HPW085,1415
HPW086,1168
HPW087,2879
HPW088,2753
HPW089,1278
HPW090,2197
HPW091,1820
HPW092,1103
HPW093,1645
HPW094,1076
HPW095,1126
HPW096,2306
HPW101,1246
HPW102,1196
HPW103,1296
HPW104,2735
HPW105,2380
HPW106,1707
HPW107,1416
HPW108,1083
HPW109,1436
HPW110,1722
HPW111,2064
HPW112,1755
HPW113,1315
HPW114,1270
HPW115,2409
HPW116,1082
HPW117,1455
HPW118,1281
HPW119,2188
HPW120,1728
HPW121,1427
HPW122,1321
HPW123,2564
HPW124,2067
HPW125,1159
HPW126,1571
HPW127,2737
HPW128,1487
HPW129,1223
HPW130,2875
HPW131,1610
HPW132,2304
HPW133,1229
HPW134,1445
HPW135,1765
HPW136,1449
HPW137,1732
HPW138,1178
HPW139,2878
HPW140,1689
HPW141,2550
HPW142,2668
HPW143,1248
HPW144,2756
HPW145,1047
HPW146,2072
HPW147,1260
HPW148,1777
HPW149,1051
HPW150,1536
HPW151,1237
HPW152,2511
HPW153,1250
HPW154,1562
HPW155,1559
HPW156,1561
HPW157,2302
HPW158,1631
HPW159,2012
HPW160,1644
HPW161,1596
HPW162,2212
HPW163,1776
HPW164,2419
HPW165,1238
HPW166,1997
HPW167,2860
HPW168,1499
HPW169,1329
HPW170,1345
HPW171,1757
HPW172,2554
HPW173,1235
HPW174,1478
HPW175,2300
HPW176,1754
HPW177,1090
HPW178,1583
HPW179,1709
HPW180,2087
HPW181,1706
HPW182,1459
HPW183,1219
HPW184,1254
HPW185,1496
HPW186,1751
HPW187,2750
HPW188,1632
HPW189,1651
HPW190,2527
HPW191,1676
HPW192,2873
HPW193,1120
HPW194,1148
HPW195,2995
HPW196,1542
HPW201,2202
HPW202,1207
HPW203,1289
HPW204,1239
HPW205,1696
HPW206,2414
HPW207,1580
HPW208,2183
HPW209,1418
HPW210,1220
HPW211,1762
HPW212,1642
HPW213,1420
HPW214,1331
HPW215,1600
HPW216,1227
HPW217,1101
HPW218,1050
HPW219,2518
HPW220,1138
HPW221,1826
HPW222,1609
HPW223,1486
HPW224,2862
HPW225,2363
HPW226,1744
HPW227,2733
HPW228,1471
HPW229,1466
HPW230,2000
HPW231,1306
HPW232,1451
HPW233,2190
HPW234,2977
HPW235,2993
HPW236,2153
HPW237,1775
HPW238,1628
HPW239,1652
HPW240,2204
HPW241,2561
HPW242,2979
HPW243,2009
HPW244,1701
HPW245,1767
HPW246,2007
HPW247,2534
HPW248,1588
HPW249,2999
HPW250,1611
HPW251,2026
HPW252,1140
HPW253,1637
HPW254,1581
HPW255,1328
HPW256,1154
HPW257,1323
HPW258,1330
HPW259,1317
HPW260,2990
HPW261,2731
HPW262,1467
HPW263,2210
HPW264,1617
HPW265,1705
HPW266,2402
HPW267,1218
HPW268,1481
HPW269,1114
HPW270,2357
HPW271,1145
HPW272,1128
HPW273,1169
HPW274,1124
HPW275,1060
HPW276,2866
HPW277,1141
HPW278,1721
HPW279,2555
HPW280,1078
HPW281,1164
HPW282,1343
HPW283,2736
HPW284,1594
HPW285,2005
HPW286,1544
HPW287,2068
HPW288,1604
HPW289,2016
HPW290,1037
HPW291,1452
HPW292,1274
HPW293,1041
HPW294,1729
HPW295,2081
HPW296,2734
HPW301,2743
HPW302,1131
HPW303,2403
HPW304,1302
HPW305,2195
HPW306,1269
HPW307,2002
HPW308,1212
HPW309,1653
HPW310,1595
HPW311,1277
HPW312,1548
HPW313,2412
HPW314,2021
HPW315,1108
HPW316,2305
HPW317,1468
HPW318,1579
HPW319,2870
HPW320,1121
HPW321,1221
HPW322,1043
