index,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,d__Bacteria;p__Bacteroidota;c__Bacteroidia,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia,Unassigned;__;__,d__Bacteria;__;__,d__Bacteria;p__SAR324_clade(Marine_group_B);c__SAR324_clade(Marine_group_B),d__Bacteria;p__Actinobacteriota;c__Actinobacteria,d__Bacteria;p__Bacteroidota;c__Chlorobia,d__Bacteria;p__Spirochaetota;c__Spirochaetia,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria,d__Bacteria;p__Myxococcota;c__Myxococcia,d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia,d__Bacteria;p__Firmicutes;c__Bacilli,d__Bacteria;p__Campilobacterota;c__Campylobacteria,d__Bacteria;p__Planctomycetota;c__Pla4_lineage,d__Eukaryota;p__Retaria;c__Foraminifera,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia,d__Bacteria;p__Firmicutes;c__Clostridia,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae,d__Bacteria;p__Bacteroidota;c__Rhodothermia,d__Eukaryota;__;__,d__Bacteria;p__Planctomycetota;c__vadinHA49,d__Bacteria;p__Acidobacteriota;c__Holophagae,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia,d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae,d__Bacteria;p__Bdellovibrionota;c__Oligoflexia,d__Bacteria;p__Bacteroidota;c__Ignavibacteria,d__Bacteria;p__Planctomycetota;c__Planctomycetes,d__Bacteria;p__Deferribacterota;c__Deferribacteres,d__Bacteria;p__Proteobacteria;__,d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia,d__Bacteria;p__Planctomycetota;c__Phycisphaerae,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia,d__Bacteria;p__Proteobacteria;c__Magnetococcia,d__Archaea;p__Crenarchaeota;c__Nitrososphaeria,d__Bacteria;p__Planctomycetota;__,d__Bacteria;p__Marinimicrobia_(SAR406_clade);c__Marinimicrobia_(SAR406_clade),d__Bacteria;p__Patescibacteria;c__Parcubacteria,d__Bacteria;p__Chloroflexi;c__Anaerolineae,d__Bacteria;p__Patescibacteria;c__Gracilibacteria,d__Bacteria;p__Planctomycetota;c__BD7-11,d__Bacteria;p__Halanaerobiaeota;c__Halanaerobiia,d__Bacteria;p__Bacteroidota;c__Kapabacteria,d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia,d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia,d__Bacteria;p__Planctomycetota;c__Pla3_lineage,d__Bacteria;p__WPS-2;c__WPS-2,d__Bacteria;p__Myxococcota;__,d__Bacteria;p__Dependentiae;c__Babeliae,d__Bacteria;p__Planctomycetota;c__OM190,d__Bacteria;p__Dadabacteria;c__Dadabacteriia,d__Bacteria;p__Patescibacteria;c__Saccharimonadia,d__Bacteria;p__Chloroflexi;c__Chloroflexia,d__Bacteria;p__Firmicutes;c__Negativicutes,d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia,d__Bacteria;p__Deinococcota;c__Deinococci,d__Bacteria;p__Sumerlaeota;c__Sumerlaeia,d__Bacteria;p__Gemmatimonadota;c__PAUC43f_marine_benthic_group,d__Bacteria;p__Patescibacteria;c__ABY1,d__Bacteria;p__Spirochaetota;c__Leptospirae,d__Bacteria;p__Desulfobacterota;c__Desulfarculia,d__Bacteria;p__Acidobacteriota;c__Aminicenantia,d__Archaea;p__Halobacterota;c__Methanosarcinia,d__Bacteria;p__Margulisbacteria;c__Margulisbacteria,d__Bacteria;p__Campilobacterota;c__Desulfurellia,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia,d__Bacteria;p__Chloroflexi;c__Dehalococcoidia,d__Eukaryota;p__Ciliophora;c__Intramacronucleata,d__Bacteria;p__Myxococcota;c__Polyangia,d__Bacteria;p__Calditrichota;c__Calditrichia,d__Bacteria;p__Acidobacteriota;c__Blastocatellia,d__Eukaryota;p__Dinoflagellata;c__Dinophyceae,d__Bacteria;p__Nitrospirota;c__Nitrospiria,d__Bacteria;p__Cloacimonadota;c__Cloacimonadia,d__Bacteria;p__Verrucomicrobiota;c__Omnitrophia,d__Bacteria;p__Sva0485;c__Sva0485,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata,d__Bacteria;p__Planctomycetota;c__028H05-P-BN-P5,d__Bacteria;p__LCP-89;c__LCP-89,d__Bacteria;p__Fibrobacterota;c__Fibrobacteria,d__Bacteria;p__Hydrogenedentes;c__Hydrogenedentia,d__Bacteria;p__Actinobacteriota;c__Thermoleophilia,d__Bacteria;p__NB1-j;c__NB1-j,d__Bacteria;p__Desulfobacterota;__,d__Bacteria;p__Gemmatimonadota;c__BD2-11_terrestrial_group,d__Bacteria;p__Latescibacterota;c__Latescibacterota,d__Bacteria;p__Fibrobacterota;c__Chitinivibrionia,d__Bacteria;p__Actinobacteriota;c__Rubrobacteria,d__Bacteria;p__Myxococcota;c__bacteriap25,d__Bacteria;p__Acidobacteriota;c__Subgroup_22,d__Eukaryota;p__Porifera;c__Demospongiae,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes,d__Bacteria;p__Cyanobacteria;c__Sericytochromatia,d__Bacteria;p__Firmicutes;c__Desulfitobacteriia,d__Bacteria;p__Armatimonadota;c__Armatimonadia,d__Eukaryota;p__Cnidaria;c__Anthozoa,d__Bacteria;p__Firmicutes;__,d__Bacteria;p__Chloroflexi;c__KD4-96,d__Archaea;p__Halobacterota;c__Halobacteria,d__Archaea;p__Euryarchaeota;c__Methanobacteria,SampleName,PlotOrder,SiteName,SiteID,SitePoint,Species,TissueType,PlugID,Treatment,Temp,pH,Tank,Timepoint
HPW060,286.0,5.0,338.0,6934.0,233.0,0.0,42.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,31.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2410,1.0,Reef.18,M34,4,Mcapitata,Hard,2410,HTAC,HT,AC,9,8
HPW061,11343.0,1736.0,2329.0,2684.0,55.0,0.0,53.0,0.0,94.0,747.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,52.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,12.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1147,2.0,HIMB,P22,3,Pacuta,Hard,1147,ATHC,AT,HC,3,11
HPW062,240.0,593.0,1783.0,343.0,427.0,0.0,85.0,0.0,0.0,199.0,0.0,25.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,34.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,23.0,0.0,0.0,0.0,0.0,20.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1095,3.0,Reef.35.36,M49,5,Mcapitata,Hard,1095,ATAC,AT,AC,1,10
HPW063,7329.0,53.0,239.0,441.0,156.0,0.0,125.0,0.0,0.0,91.0,74.0,0.0,0.0,0.0,14.0,71.0,0.0,0.0,0.0,0.0,8.0,0.0,22.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1694,4.0,Reef.11.13,M70,7,Mcapitata,Hard,1694,HTHC,HT,HC,10,5
HPW064,5938.0,2373.0,13277.0,423.0,385.0,54.0,46.0,0.0,0.0,1878.0,5.0,61.0,8.0,0.0,6.0,5.0,87.0,0.0,23.0,7.0,935.0,26.0,7.0,0.0,82.0,0.0,42.0,12.0,19.0,28.0,0.0,110.0,0.0,16.0,5.0,53.0,20.0,0.0,38.0,0.0,0.0,4.0,38.0,0.0,19.0,0.0,0.0,86.0,5.0,35.0,17.0,0.0,17.0,43.0,5.0,0.0,0.0,0.0,9.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2986,5.0,Reef.35.36,M56,6,Mcapitata,Hard,2986,ATHC,AT,HC,12,5
HPW065,8925.0,38.0,518.0,345.0,257.0,367.0,36.0,0.0,0.0,46.0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1204,6.0,Reef.11.13,M48,5,Mcapitata,Hard,1204,ATHC,AT,HC,3,10
HPW066,79.0,916.0,407.0,1371.0,14.0,6.0,23.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2861,7.0,HIMB,P36,4,Pacuta,Hard,2861,ATHC,AT,HC,11,8
HPW067,1130.0,1898.0,7629.0,609.0,63.0,34.0,19.0,3220.0,57.0,1974.0,537.0,4.0,341.0,161.0,9.0,17.0,1028.0,0.0,0.0,570.0,82.0,12.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,107.0,6.0,53.0,0.0,73.0,5.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,4.0,0.0,0.0,62.0,0.0,9.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,45.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1641,8.0,HIMB,P65,7,Pacuta,Hard,1641,ATAC,AT,AC,6,10
HPW068,4925.0,488.0,3154.0,315.0,232.0,0.0,54.0,0.0,0.0,789.0,0.0,176.0,231.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,16.0,0.0,75.0,12.0,7.0,6.0,2.0,0.0,0.0,6.0,0.0,41.0,0.0,0.0,0.0,29.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1074,9.0,Reef.11.13,M59,6,Mcapitata,Hard,1074,HTHC,HT,HC,2,10
HPW069,377.0,2536.0,3128.0,1570.0,191.0,0.0,55.0,0.0,0.0,391.0,0.0,0.0,3.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,15.0,23.0,0.0,0.0,8.0,0.0,8.0,0.0,4.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,5.0,3.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1205,10.0,Reef.35.36,P51,6,Pacuta,Hard,1205,ATHC,AT,HC,3,10
