sample-id,absolute-filepath,direction
HPW060,/data/putnamlab/KITT/hputnam/20210608_Amplicon/16S_HI/HPW060_S44_L001_R1_001.fastq.gz,forward
HPW060,/data/putnamlab/KITT/hputnam/20210608_Amplicon/16S_HI/HPW060_S44_L001_R2_001.fastq.gz,reverse
HPW061,/data/putnamlab/KITT/hputnam/20210608_Amplicon/16S_HI/HPW061_S56_L001_R1_001.fastq.gz,forward
HPW061,/data/putnamlab/KITT/hputnam/20210608_Amplicon/16S_HI/HPW061_S56_L001_R2_001.fastq.gz,reverse
HPW062,/data/putnamlab/KITT/hputnam/20210608_Amplicon/16S_HI/HPW062_S68_L001_R1_001.fastq.gz,forward
HPW062,/data/putnamlab/KITT/hputnam/20210608_Amplicon/16S_HI/HPW062_S68_L001_R2_001.fastq.gz,reverse
HPW063,/data/putnamlab/KITT/hputnam/20210608_Amplicon/16S_HI/HPW063_S80_L001_R1_001.fastq.gz,forward
HPW063,/data/putnamlab/KITT/hputnam/20210608_Amplicon/16S_HI/HPW063_S80_L001_R2_001.fastq.gz,reverse
HPW064,/data/putnamlab/KITT/hputnam/20210608_Amplicon/16S_HI/HPW064_S92_L001_R1_001.fastq.gz,forward
HPW064,/data/putnamlab/KITT/hputnam/20210608_Amplicon/16S_HI/HPW064_S92_L001_R2_001.fastq.gz,reverse
HPW065,/data/putnamlab/KITT/hputnam/20210608_Amplicon/16S_HI/HPW065_S9_L001_R1_001.fastq.gz,forward
HPW065,/data/putnamlab/KITT/hputnam/20210608_Amplicon/16S_HI/HPW065_S9_L001_R2_001.fastq.gz,reverse
HPW066,/data/putnamlab/KITT/hputnam/20210608_Amplicon/16S_HI/HPW066_S21_L001_R1_001.fastq.gz,forward
HPW066,/data/putnamlab/KITT/hputnam/20210608_Amplicon/16S_HI/HPW066_S21_L001_R2_001.fastq.gz,reverse
HPW067,/data/putnamlab/KITT/hputnam/20210608_Amplicon/16S_HI/HPW067_S33_L001_R1_001.fastq.gz,forward
