Species,Plug_ID,Treatment,Sample_Date,Airbrush_Date,Airbrush_Tech,Homogenate_Vol_mL,Skeleton_mass,Wax_mass,Surface_area,Zoox_count,TP,TAC,CHL_A,CHL_C2,AFDW
Mcapitata,1036,ATAC,20181020,20200224,AM,34.5,3.1098,3.5861,21.5464141,,,,,,
Mcapitata,1038,ATAC,20181020,20200302,AM,55,4.0563,4.6568,27.1040216,,,,,,
Mcapitata,1042,ATAC,20181103,20200218,SG,27.5,3.0994,3.5041,18.3425115,,,,,,
Mcapitata,1044,ATAC,20181117,20200213,AF,28,5.4517,6.0528,27.1308699,,,,,,
Pacuta,1045,ATAC,20181215,20200211,DC,20,4.0218,4.4706,20.3158649,,,,,,
Pacuta,1046,ATAC,20181020,20200203,AM,40,4.1557,4.7642,27.4619995,,,,,,
Pacuta,1048,ATAC,20181103,20200127,AF,8.5,3.1175,3.4977,17.2462041,,,,,,
Mcapitata,1052,ATAC,20181215,20200210,ES,67.5,7.1047,7.9869,39.7093198,,,,,,
Pacuta,1054,ATAC,20180929,20200127,AM,22,3.5242,4.0375,23.2020621,,,,,,
Mcapitata,1061,ATAC,20180923,20200220,DC,43,5.4458,6.1822,33.1851718,,,,,,
Mcapitata,1063,ATAC,20190112,20200217,AF,20,2.8719,3.1551,12.9057216,,,,,,
Mcapitata,1065,ATAC,20181103,20200218,SG,38,3.3611,3.9396,26.1195823,,,,,,
Mcapitata,1066,ATAC,20180922,20200219,AF,24,4.2243,4.8764,29.4129793,,,,,,
Mcapitata,1067,ATAC,20180929,20200212,AM,50,3.6458,4.2809,28.6522762,,,,,,
Mcapitata,1071,HTHC,20181215,,,,,,,,,,,,
Pacuta,1075,ATAC,20190112,20200210,AF,10,4.6603,5.1831,23.6271609,,,,,,
Pacuta,1077,ATAC,20180923,20200206,AF,12.5,5.6115,6.2734,29.8515023,,,,,,
Pacuta,1080,ATAC,20181006,20200128,AM,37.5,5.4032,6.0614,29.6859375,,,,,,
Pacuta,1084,ATAC,20181117,20200205,AF,15,9.4939,10.5492,47.4550675,,,,,,
Mcapitata,1085,HTHC,20181020,20200302,AM,43.5,3.7206,4.2938,25.8824219,,,,,,
Pacuta,1086,ATAC,20181117,20200205,AF,17.5,6.6607,7.5288,39.0783837,,,,,,
Pacuta,1088,ATAC,20181103,20200127,AM,17.5,3.2382,3.6369,18.0740281,,,,,,
Mcapitata,1091,HTHC,20181117,20200219,AF,19.5,2.6298,3.0293,18.1098259,,,,,,
Mcapitata,1092,HTHC,20181020,20200225,SG,37.5,2.3665,2.7049,15.3757694,,,,,,
Pacuta,1094,HTHC,20181006,20200129,AM,12.5,2.9491,3.2442,13.4382138,,,,,,
Pacuta,1098,HTHC,20180922,20200205,AM,22.5,3.5447,3.9657,19.0718916,,,,,,
Mcapitata,1099,ATAC,20181006,20200224,AF,13,1.2408,1.4561,9.86738381,,,,,,
Pacuta,1100,ATAC,20180922,20200204,AM,19.5,2.6236,2.9836,16.3423098,,,,,,
Mcapitata,1102,ATAC,20190112,20200213,AF,17.5,1.6698,1.9076,10.8741968,,,,,,
Mcapitata,1104,ATAC,20180923,20200218,DC,46,3.9866,4.4851,22.5398029,,,,,,
Pacuta,1111,ATAC,20190112,20200210,AM,16,2.3346,2.6263,13.2860731,,,,,,
Pacuta,1116,ATAC,20180922,20200204,AM,32,4.8974,5.5163,27.9273709,,,,,,
Mcapitata,1117,ATAC,20181006,20200225,DC,52.5,1.8339,2.1862,15.997756,,,,,,
Pacuta,1118,ATAC,20180929,20200127,AM,17,3.3078,3.6586,15.9306352,,,,,,
Mcapitata,1122,HTHC,20181006,20200224,AM,40,2.2842,2.7235,19.8907661,,,,,,
Mcapitata,1127,HTHC,20180929,20200218,SG,27,2.4506,2.7561,13.9035851,,,,,,
Pacuta,1130,HTHC,20181103,20200204,SG,15,4.1878,4.6777,22.1549766,,,,,,
Mcapitata,1133,HTHC,20181103,20200302,AM/AF,27.5,1.4495,1.743,13.3666182,,,,,,
Mcapitata,1135,HTHC,20190112,20200211,SG,19,1.8689,2.0471,8.20726111,,,,,,
Mcapitata,1136,ATHC,20181103,20200226,AM,32.5,2.5237,2.8773,16.0559274,,,,,,
Mcapitata,1142,ATHC,20181215,20200213,AF,24.5,3.2281,3.6858,20.7141154,,,,,,
Mcapitata,1146,ATHC,20180922,20200220,DC,82.5,4.2745,5.0422,34.5857605,,,,,,
Pacuta,1149,ATHC,20190112,20200211,DC,27,3.6209,4.1182,22.4861062,,,,,,
Pacuta,1156,ATHC,20181006,20200129,AF,12.5,2.3728,2.6714,13.5948291,,,,,,
Mcapitata,1162,HTHC,20181103,20200226,AM,55,1.8139,2.0942,12.7759546,,,,,,
Mcapitata,1163,HTHC,20180922,20200219,AF,32.5,3.2804,3.6905,18.5841466,,,,,,
Pacuta,1165,HTHC,20181006,20200129,AF,12,2.4181,2.7798,16.4183801,,,,,,
Mcapitata,1166,ATAC,20181117,20200220,DC,42.5,1.8767,2.2285,15.9753824,,,,,,
Pacuta,1170,HTHC,20181103,20200204,DC,46,12.6962,14.0717,61.7831345,,,,,,
Mcapitata,1171,HTHC,20181006,20200224,AM,33,1.8516,2.1904,15.3936682,,,,,,
Pacuta,1174,HTHC,20181117,20200204,EC,5,2.9513,3.2812,14.9954178,,,,,,
Mcapitata,1175,ATHC,20180922,20200219,SG,21,1.9772,2.2653,13.1249831,,,,,,
Pacuta,1180,ATHC,20180923,20200206,AF,18,2.6987,3.2936,26.853437,,,,,,
Pacuta,1181,ATAC,20181020,20200203,AF,22.5,6.3108,7.065,33.9816728,,,,,,
Mcapitata,1182,HTHC,20180923,20200217,AF,20,4.2811,5.1957,41.1591305,,,,,,
Mcapitata,1185,HTHC,20181215,20200213,AF,18,2.9833,3.4286,20.1592496,,,,,,
Pacuta,1187,ATAC,20180923,20200206,AF,14,6.4022,7.2887,39.9017329,,,,,,
Pacuta,1188,HTHC,20180923,20200205,SG,17,2.5634,2.818,11.6259504,,,,,,
Mcapitata,1189,ATAC,20180929,20200221,EC,38.5,3.5213,4.0075,21.9894118,,,,,,
Pacuta,1191,HTHC,20181117,20200211,DC,15,3.6554,4.0435,17.5997073,,,,,,
Pacuta,1194,ATHC,20181020,20200203,AM,52,11.639,13.0398,62.9152397,,,,,,
Mcapitata,1197,HTHC,20180923,20200217,AF,15.5,3.223,3.3393,5.4374068,,,,,,
Mcapitata,1208,ATHC,20181215,20200210,AM,67,3.0047,3.4771,21.3718998,,,,,,
Mcapitata,1210,ATAC,20181215,20200214,ES,60,2.9836,3.4493,21.0720933,,,,,,
Pacuta,1211,ATHC,20180922,20200205,AF,13,6.588,7.4277,37.807562,,,,,,
Pacuta,1213,HTHC,20180922,20200205,SG,16,2.6019,2.9571,16.127523,,,,,,
Pacuta,1214,ATHC,20181117,20200205,AM,39,10.1828,11.2626,48.5513749,,,,,,
Pacuta,1215,ATHC,20181215,20200206,EC,18,2.1815,2.5267,15.6800506,,,,,,
Mcapitata,1216,ATHC,20181006,20200224,AM,28,1.5794,1.8559,12.605915,,,,,,
Pacuta,1217,ATHC,20181020,20200203,AM,30,3.4277,4.1067,30.6166801,,,,,,
Pacuta,1222,ATAC,20181006,20200128,AM,47,10.1648,11.3815,54.6772724,,,,,,
Pacuta,1224,ATHC,20181103,20200204,DC,27.5,5.1658,5.7169,24.8935078,,,,,,
Mcapitata,1226,ATHC,20181020,20200225,SG,42.5,1.7677,2.0165,11.3664164,,,,,,
Pacuta,1228,HTHC,20181020,20200203,AF,14.5,6.9076,7.7466,37.7762389,,,,,,
Mcapitata,1232,HTAC,20180922,20200122,ES,24,3.4592,4.0648,27.3322325,,,,,,
Pacuta,1233,HTHC,20181020,20200203,AF,13,4.9339,5.5827,29.2653134,,,,,,
Mcapitata,1234,HTAC,20181006,20200302,AM/AF,61,3.135,3.9384,36.1832371,,,,,,
Pacuta,1240,HTAC,20180929,20200127,AF,7.5,1.7036,1.9297,10.350654,,,,,,
Mcapitata,1241,HTAC,20181215,20200211,EC,26,1.7337,2.0051,12.3777041,,,,,,
Mcapitata,1242,HTAC,20180923,20200225,DC,50,3.1763,3.6782,22.6919435,,,,,,
Mcapitata,1243,HTAC,20181006,20200302,AM/AF,33,3.135,3.557,19.1166388,,,,,,
Pacuta,1247,ATHC,20181215,20200206,EC,32.5,7.2888,8.0457,34.1024903,,,,,,
Pacuta,1249,ATHC,20181117,20200205,SG,17.5,5.1097,5.8438,33.0822532,,,,,,
Pacuta,1252,ATHC,20180923,20200206,AF,15,7.3945,8.3575,43.324897,,,,,,
Pacuta,1253,ATHC,20180922,20200205,AF,14.5,1.7615,2.0244,11.9973525,,,,,,
Pacuta,1256,ATHC,20181103,20200204,SG,13,2.5859,2.9093,14.7045607,,,,,,
Pacuta,1258,ATHC,20180929,20200127,AF,9,2.5092,2.8818,16.906125,,,,,,
Mcapitata,1264,HTHC,20181020,20200224,AM,55,4.2383,4.7086,21.2779306,,,,,,
Mcapitata,1265,HTHC,20180923,20200224,AM,53,3.4611,3.7747,14.2660377,,,,,,
Pacuta,1271,HTAC,20180923,20200128,DC,17.5,4.998,5.6155,27.8647247,,,,,,
Mcapitata,1272,HTHC,20190112,20200217,AF,18.5,2.886,3.2507,16.5526218,,,,,,
Mcapitata,1273,HTHC,20181215,20200211,SG,22,4.3612,4.5846,10.2298365,,,,,,
Pacuta,1275,HTAC,20181020,20200204,DC,13,3.1267,3.4968,16.7942569,,,,,,
Pacuta,1281,ATHC,20181006,20200214,ES,42.5,7.137,7.851,32.1828336,,,,,,
Mcapitata,1284,HTAC,20190112,20200213,AF,27.5,5.3633,6.2174,38.4519223,,,,,,
Mcapitata,1285,HTAC,20181103,20200218,EC,44,3.945,4.5247,26.173279,,,,,,
Mcapitata,1286,HTAC,20181103,20200124,AF,15,8.2257,9.1196,40.2328625,,,,,,
Pacuta,1288,HTAC,20181103,20200124,AF,17,4.0732,4.6354,25.3902022,,,,,,
Pacuta,1294,ATHC,20180929,20200127,AM,8,1.4581,1.6769,10.0239992,,,,,,
Mcapitata,1295,ATHC,20181006,20200225,DC,59,5.6024,6.3779,34.934789,,,,,,
Mcapitata,1297,ATHC,20180929,20200218,EC,34,1.9586,2.2789,14.5658443,,,,,,
Pacuta,1298,HTAC,20181103,20200127,AF,17,10.012,11.2237,54.4535362,,,,,,
Mcapitata,1299,HTAC,20180923,20200225,EC/AM,22.5,2.5177,2.883,16.5794702,,,,,,
Mcapitata,1300,ATHC,20181117,20200219,AF,29.5,6.0124,6.8271,36.6888809,,,,,,
Mcapitata,1304,ATHC,20180923,20200218,DC,27.5,3.449,3.9066,20.7096407,,,,,,
Mcapitata,1305,ATAC,20180922,20200219,AF,32.5,4.9091,5.5193,27.5380699,,,,,,
Mcapitata,1309,HTAC,20181117,20200221,AM,42,2.9956,3.3885,17.8144941,,,,,,
Pacuta,1311,HTAC,20180922,20200122,ES,17.5,3.3064,3.7863,21.7075042,,,,,,
Mcapitata,1316,HTAC,20181020,20200225,DC,57.5,3.7808,4.3976,27.8334017,,,,,,
Mcapitata,1318,HTAC,20181215,20200210,AM,47,3.7267,4.1327,18.4006829,,,,,,
Pacuta,1319,HTAC,20180929,20200127,AF,16,4.1338,4.7547,28.0168653,,,,,,
Pacuta,1324,HTHC,20180923,20200204,EC,29,6.163,6.9122,33.7579366,,,,,,
Mcapitata,1325,HTAC,20181117,20200220,AF,28,3.6282,4.0538,19.2777289,,,,,,
Pacuta,1326,HTHC,20180929,20200127,AF,14.5,3.2098,3.6446,19.6894035,,,,,,
Pacuta,1327,HTAC,20181117,20200129,AF,5,2.8484,3.1434,13.433739,,,,,,
Mcapitata,1333,HTAC,20180929,20200212,AM,31,2.3084,2.6976,17.6489293,,,,,,
