Well,Plug_ID
A1,BK
A2,BK 
A3,1825
A4,1825
A5,2003
A6,2003
A7,1717
A8,1717
A9,NA
A10,NA
A11,2063
A12,2063
B1,1444
B2,1444
B3,2398
B4,2398
B5,1602
B6,1602
B7,1621
B8,1621
B9,1655
B10,1655
B11,NA
B12,NA
C1,1326
C2,1326
C3,1430
C4,1430
C5,1439
C6,1439
C7,1573
C8,1573
C9,1454
C10,1454
C11,1067
C12,1067
D1,NA
D2,NA
D3,1271
D4,1271
D5,1586
D6,1586
D7,1156
D8,1156
D9,1752
D10,1752
D11,2192
D12,2192
E1,2165
E2,2165
E3,1469
E4,1469
E5,1629
E6,1629
E7,1649
E8,1649
E9,1044
E10,1044
E11,1142
E12,1142
F1,1634
F2,1634
F3,1725
F4,1725
F5,2153
F6,2153
F7,NA
F8,NA
F9,1319
F10,1319
F11,1585
F12,1585
G1,1565
G2,1565
G3,NA
G4,NA
G5,1437
G6,1437
G7,1182
G8,1182
G9,1284
G10,1284
G11,1448
G12,1448
H1,2565
H2,2565
H3,1741
H4,1741
H5,1710
H6,1710
H7,1088
H8,1088
H9,1608
H10,1608
H11,NA
H12,NA
