Position,100%,70%,55%,30%,18%,12%,8%,4%,2%,0%
1,808,598,455,246,151,101,72,38,18,0
2,903,661,546,321,191,136,96,51,25,0
3,825,610,447,259,163,108,79,44,22,0
4,803,607,40,247,154,97,71,36,18,0
5,834,611,475,275,109,113,80,44,22,0
6,818,607,458,244,155,105,75,40,20,0
7,824,614,461,260,163,109,77,44,21,0
8,926,677,559,329,201,133,96,51,25,0
9,821,606,451,258,154,105,76,41,19,0
10,811,599,448,252,151,99,67,38,18,0
11,859,625,485,285,173,115,82,45,21,0
12,822,597,445,260,155,103,71,39,19,0
