Date,Percent,PAR,Position
20180914,100%,801,3
20180914,100%,796,4
20180914,100%,814,5
20180914,100%,812,6
20180914,100%,810,9
20180914,100%,804,10
20180914,100%,827,11
20180914,100%,807,12
20181017,2%,22,1
20181017,2%,26,3
20181017,2%,23,4
20181017,2%,27,6
20181017,2%,25,7
20181017,2%,24,9
20181017,2%,24,10
20181017,2%,29,12
20181017,100%,782,1
20181017,100%,797,3
20181017,100%,795,4
20181017,100%,786,6
20181017,100%,808,7
20181017,100%,793,9
20181017,100%,794,10
20181017,100%,795,12
20181031,100%,766,1
20181031,100%,723,3
20181031,100%,760,4
20181031,100%,738,6
20181031,100%,753,7
20181031,100%,727,9
20181031,100%,762,10
20181031,100%,734,12
20181115,100%,650,1
20181115,100%,650,3
20181115,100%,650,4
20181115,100%,630,6
20181115,100%,700,7
20181115,100%,700,9
20181115,100%,730,10
20181115,100%,700,12
