sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
HPW060	31027	22804	73.5	22472	20306	65.45	19673	63.41
HPW061	53021	38553	72.71	38327	37260	70.27	37132	70.03
HPW062	33193	24738	74.53	24415	22452	67.64	22452	67.64
HPW063	28889	20400	70.62	20167	18237	63.13	18237	63.13
HPW064	60659	46352	76.41	45705	42412	69.92	41989	69.22
HPW065	34453	25009	72.59	24708	23620	68.56	23620	68.56
HPW066	50378	33801	67.09	33585	32468	64.45	32468	64.45
HPW067	47599	34278	72.01	33746	31597	66.38	31430	66.03
HPW068	37914	27265	71.91	26953	25116	66.24	25110	66.23
HPW069	58063	41411	71.32	41192	39147	67.42	39125	67.38
HPW070	40261	26851	66.69	26680	25526	63.4	25526	63.4
HPW071	39495	27975	70.83	27735	25062	63.46	25062	63.46
HPW072	20071	13999	69.75	13827	12582	62.69	12582	62.69
HPW073	47933	33285	69.44	33130	32314	67.41	32314	67.41
HPW074	51689	35306	68.3	35163	34508	66.76	34503	66.75
HPW075	32256	21493	66.63	21337	19197	59.51	19197	59.51
HPW076	70691	51448	72.78	50820	48553	68.68	48387	68.45
HPW077	20676	12523	60.57	12344	9932	48.04	9932	48.04
HPW078	19709	13511	68.55	13283	11625	58.98	11625	58.98
HPW079	41009	28896	70.46	28734	27527	67.12	27527	67.12
HPW080	13414	8303	61.9	8162	7697	57.38	7697	57.38
HPW081	37952	27354	72.08	27177	25824	68.04	25820	68.03
HPW082	39390	27686	70.29	27467	21700	55.09	21700	55.09
HPW083	30136	19802	65.71	19690	18076	59.98	18076	59.98
HPW084	38830	26282	67.68	26090	25246	65.02	25246	65.02
HPW085	45379	30863	68.01	30658	29655	65.35	29655	65.35
HPW086	43199	30124	69.73	29969	29173	67.53	29157	67.49
HPW087	31873	21630	67.86	21401	20156	63.24	20156	63.24
HPW088	22800	16143	70.8	15935	14952	65.58	14952	65.58
HPW089	35022	24279	69.32	24021	22092	63.08	22090	63.07
HPW090	59615	38165	64.02	38048	37693	63.23	37693	63.23
HPW091	49198	33566	68.23	33412	31856	64.75	31856	64.75
HPW092	63576	35600	56	35359	34581	54.39	34581	54.39
HPW093	15467	8431	54.51	8273	7034	45.48	7034	45.48
HPW094	22797	9651	42.33	9473	8977	39.38	8977	39.38
HPW095	28576	19521	68.31	19348	15544	54.4	15544	54.4
HPW096	27664	18692	67.57	18496	16769	60.62	16769	60.62
HPW101	58732	40873	69.59	40734	40122	68.31	40122	68.31
HPW102	32632	24308	74.49	24123	22732	69.66	22732	69.66
HPW103	43342	31174	71.93	31052	30223	69.73	30223	69.73
HPW104	18865	13059	69.22	12883	11652	61.77	11652	61.77
HPW105	25324	19138	75.57	18948	17454	68.92	17454	68.92
HPW106	52678	37547	71.28	37403	36517	69.32	36517	69.32
HPW107	61313	42951	70.05	42814	42141	68.73	42141	68.73
HPW108	26449	19822	74.94	19702	18754	70.91	18754	70.91
HPW109	36094	23868	66.13	23756	22460	62.23	22460	62.23
HPW110	34693	25795	74.35	25568	24418	70.38	24399	70.33
HPW111	45324	34425	75.95	34324	33799	74.57	33787	74.55
HPW112	43569	32390	74.34	32268	31496	72.29	31496	72.29
HPW113	39359	29810	75.74	29629	27885	70.85	27885	70.85
HPW114	35523	27731	78.06	27554	26617	74.93	26617	74.93
HPW115	24767	18763	75.76	18650	17799	71.87	17799	71.87
HPW116	9691	7247	74.78	7122	6833	70.51	6833	70.51
HPW117	29376	21167	72.06	20931	19483	66.32	19483	66.32
HPW118	42904	31308	72.97	31084	30370	70.79	30370	70.79
HPW119	22588	15843	70.14	15669	14787	65.46	14773	65.4
HPW120	31999	22747	71.09	22500	21809	68.16	21805	68.14
HPW121	30570	21311	69.71	21212	20889	68.33	20889	68.33
HPW122	18483	13873	75.06	13727	13076	70.75	13076	70.75
HPW123	42379	28772	67.89	28683	28391	66.99	28391	66.99
HPW124	32552	23708	72.83	23562	22050	67.74	22042	67.71
HPW125	52302	37319	71.35	37200	36826	70.41	36826	70.41
HPW126	32717	23531	71.92	23329	21607	66.04	21607	66.04
HPW127	31898	23476	73.6	23211	20050	62.86	20050	62.86
HPW128	42068	29900	71.08	29731	27274	64.83	27274	64.83
HPW129	47463	37508	79.03	37373	35704	75.22	35698	75.21
HPW130	36923	28640	77.57	28445	27747	75.15	27732	75.11
HPW131	35020	25905	73.97	25555	21756	62.12	21753	62.12
HPW132	43202	31791	73.59	31610	29723	68.8	29711	68.77
HPW133	29917	19205	64.19	19040	17885	59.78	17885	59.78
HPW134	63731	41811	65.61	41663	40912	64.19	40912	64.19
HPW135	54440	39483	72.53	39279	38162	70.1	38145	70.07
HPW136	26672	19369	72.62	19168	17636	66.12	17636	66.12
HPW137	41910	30679	73.2	30500	29111	69.46	29090	69.41
HPW138	14416	11088	76.91	10905	9873	68.49	9873	68.49
HPW139	42390	31764	74.93	31578	29620	69.87	29620	69.87
HPW140	60733	45256	74.52	44991	43286	71.27	43257	71.22
HPW141	46720	31427	67.27	31282	30362	64.99	30354	64.97
HPW142	70837	47748	67.41	47512	45066	63.62	45066	63.62
HPW143	53739	39099	72.76	38874	37728	70.21	37622	70.01
HPW144	37134	25195	67.85	25007	23379	62.96	23379	62.96
HPW145	37101	25482	68.68	25349	24684	66.53	24684	66.53
HPW146	21947	13114	59.75	12913	10931	49.81	10921	49.76
HPW147	38085	30195	79.28	30032	28369	74.49	28349	74.44
HPW148	34101	22222	65.17	21971	20647	60.55	20619	60.46
HPW149	48656	36247	74.5	35399	31844	65.45	31668	65.09
HPW150	44528	32958	74.02	32768	31223	70.12	31218	70.11
HPW151	22433	16576	73.89	16313	14232	63.44	14232	63.44
HPW152	35068	26626	75.93	26456	24969	71.2	24967	71.2
HPW153	31339	24179	77.15	23959	22447	71.63	22441	71.61
HPW154	30300	23410	77.26	23141	22129	73.03	22121	73.01
HPW155	50930	37551	73.73	37398	36098	70.88	36098	70.88
HPW156	35203	25777	73.22	25612	24643	70	24640	69.99
HPW157	33225	24874	74.87	24705	22906	68.94	22906	68.94
HPW158	43292	32218	74.42	31995	30428	70.29	30428	70.29
HPW159	44257	32064	72.45	31972	31346	70.83	31346	70.83
HPW160	34807	26767	76.9	26527	25134	72.21	25134	72.21
HPW161	51975	37365	71.89	37233	36125	69.5	36125	69.5
HPW162	53166	39096	73.54	38952	37825	71.15	37825	71.15
HPW163	29081	22420	77.1	22291	21605	74.29	21605	74.29
HPW164	37936	28108	74.09	27909	27128	71.51	27007	71.19
HPW165	55698	40791	73.24	40297	38197	68.58	38034	68.29
HPW166	30030	21005	69.95	20773	18838	62.73	18838	62.73
HPW167	26739	20499	76.66	20361	18362	68.67	18362	68.67
HPW168	38688	28678	74.13	28533	27219	70.36	27191	70.28
HPW169	35884	24525	68.35	24392	23816	66.37	23816	66.37
HPW170	28963	21962	75.83	21792	20859	72.02	20859	72.02
HPW171	55003	39578	71.96	39421	38091	69.25	38079	69.23
HPW172	43016	28837	67.04	28637	26725	62.13	26701	62.07
HPW173	32404	24943	76.98	24782	23385	72.17	23385	72.17
HPW174	34973	26959	77.09	26750	25168	71.96	25167	71.96
HPW175	55499	40759	73.44	40681	40225	72.48	40225	72.48
HPW176	37061	28518	76.95	28313	27093	73.1	27093	73.1
HPW177	47251	32874	69.57	32738	30755	65.09	30755	65.09
HPW178	22587	17056	75.51	16895	15631	69.2	15631	69.2
HPW179	17202	11617	67.53	11455	11124	64.67	11124	64.67
HPW180	20455	12751	62.34	12611	12309	60.18	12309	60.18
HPW181	27599	19512	70.7	19332	17444	63.21	17441	63.19
HPW182	53022	38986	73.53	38867	37670	71.05	37670	71.05
HPW183	51117	37031	72.44	36884	35438	69.33	35438	69.33
HPW184	20214	13724	67.89	13517	13108	64.85	13108	64.85
HPW185	38501	30556	79.36	30418	29182	75.8	29182	75.8
HPW186	35162	28167	80.11	27946	26380	75.02	26380	75.02
HPW187	39276	28200	71.8	27952	26308	66.98	26274	66.9
HPW188	17193	12513	72.78	12388	11587	67.39	11587	67.39
HPW189	37610	27909	74.21	27741	26115	69.44	26066	69.31
HPW190	45609	33532	73.52	33387	31182	68.37	31182	68.37
HPW191	49046	35222	71.81	35081	32594	66.46	32594	66.46
HPW192	42058	30008	71.35	29867	27920	66.38	27920	66.38
HPW193	11866	7598	64.03	7230	5432	45.78	5432	45.78
HPW194	12107	8450	69.79	8297	6285	51.91	6285	51.91
HPW195	21261	15348	72.19	15217	13631	64.11	13628	64.1
HPW196	23934	16784	70.13	16693	15259	63.75	15259	63.75
HPW201	69817	51001	73.05	50888	49884	71.45	49884	71.45
HPW202	45805	33205	72.49	33068	32554	71.07	32554	71.07
HPW203	30674	23677	77.19	23410	21720	70.81	21719	70.81
HPW204	30437	22065	72.49	21937	20984	68.94	20984	68.94
HPW205	24456	17856	73.01	17725	16979	69.43	16979	69.43
HPW206	41647	30825	74.01	30654	29187	70.08	29159	70.01
HPW207	22702	18133	79.87	17905	16985	74.82	16985	74.82
HPW208	40821	31253	76.56	31081	29797	72.99	29786	72.97
HPW209	55445	39732	71.66	39581	37860	68.28	37858	68.28
HPW210	38244	27738	72.53	27649	27291	71.36	27290	71.36
HPW211	40429	29141	72.08	28993	27984	69.22	27981	69.21
HPW212	35063	25035	71.4	24852	24105	68.75	24086	68.69
HPW213	35777	26950	75.33	26825	25952	72.54	25952	72.54
HPW214	31032	24344	78.45	24158	22872	73.7	22872	73.7
HPW215	37103	29168	78.61	29041	27748	74.79	27740	74.76
HPW216	64156	44329	69.1	44234	43317	67.52	43315	67.52
HPW217	48838	38823	79.49	38730	36985	75.73	36926	75.61
HPW218	48640	36597	75.24	36475	35115	72.19	35115	72.19
HPW219	19131	14566	76.14	14462	13682	71.52	13682	71.52
HPW220	31724	23398	73.75	23307	22329	70.39	22329	70.39
HPW221	21016	15624	74.34	15409	13871	66	13855	65.93
HPW222	21419	16765	78.27	16659	15956	74.49	15956	74.49
HPW223	40534	30336	74.84	30141	29179	71.99	29173	71.97
HPW224	42442	34661	81.67	34531	33687	79.37	33687	79.37
HPW225	63453	46432	73.18	46298	45272	71.35	45265	71.34
HPW226	48905	36088	73.79	35965	35336	72.25	35336	72.25
HPW227	32730	23936	73.13	23798	23069	70.48	23069	70.48
HPW228	55607	39545	71.12	39429	38312	68.9	38312	68.9
HPW229	59740	41303	69.14	41215	40011	66.98	40011	66.98
HPW230	42589	33331	78.26	33217	32352	75.96	32341	75.94
HPW231	43492	35248	81.04	35012	33502	77.03	33502	77.03
HPW232	67770	48472	71.52	48348	47401	69.94	47401	69.94
HPW233	26689	19742	73.97	19537	18124	67.91	18124	67.91
HPW234	57183	41356	72.32	41216	39856	69.7	39856	69.7
HPW235	50690	36501	72.01	36308	35215	69.47	35215	69.47
HPW236	21286	15500	72.82	15326	13755	64.62	13755	64.62
HPW237	52203	38925	74.56	38792	38037	72.86	38037	72.86
HPW238	43569	32777	75.23	32504	29651	68.06	29651	68.06
HPW239	28751	22333	77.68	22130	20345	70.76	20345	70.76
HPW240	40898	32081	78.44	31951	30846	75.42	30846	75.42
HPW241	39501	30642	77.57	30534	29391	74.41	29389	74.4
HPW242	48590	36625	75.38	36515	35869	73.82	35869	73.82
HPW243	19102	14195	74.31	14020	12479	65.33	12479	65.33
HPW244	34592	25447	73.56	25320	24661	71.29	24661	71.29
HPW245	41685	31685	76.01	31511	30489	73.14	30489	73.14
HPW246	32472	24578	75.69	24395	22627	69.68	22626	69.68
HPW247	29480	21717	73.67	21539	20194	68.5	20194	68.5
HPW248	47864	35221	73.59	35028	34140	71.33	34140	71.33
HPW249	63689	46539	73.07	46393	45513	71.46	45513	71.46
HPW250	39196	30767	78.5	30593	29011	74.02	29011	74.02
HPW251	60061	42596	70.92	42459	41068	68.38	41068	68.38
HPW252	20312	14686	72.3	14578	13192	64.95	13192	64.95
HPW253	55219	40472	73.29	40340	39259	71.1	39259	71.1
HPW254	36076	25099	69.57	24897	20264	56.17	20264	56.17
HPW255	25835	19524	75.57	19345	17376	67.26	17376	67.26
HPW256	21851	15446	70.69	15306	12662	57.95	12662	57.95
