sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
HPW060	31027	23873	76.94	23517	12305	39.66	12305	39.66
HPW061	53021	42097	79.4	41871	20696	39.03	20696	39.03
HPW062	33193	25926	78.11	25598	19530	58.84	19530	58.84
HPW063	28889	21530	74.53	21313	10203	35.32	10203	35.32
HPW064	60659	48568	80.07	47827	16205	26.71	16205	26.71
HPW065	34453	26210	76.07	25913	13567	39.38	13567	39.38
HPW066	50378	37788	75.01	37589	34491	68.46	34491	68.46
HPW067	47599	37004	77.74	36516	12958	27.22	12958	27.22
HPW068	37914	28646	75.56	28353	15391	40.59	15391	40.59
HPW069	58063	45468	78.31	45216	35424	61.01	35424	61.01
HPW070	40261	29668	73.69	29478	26532	65.9	26532	65.9
HPW071	39495	30777	77.93	30531	25901	65.58	25901	65.58
HPW072	20071	14681	73.15	14491	12428	61.92	12428	61.92
HPW073	47933	37254	77.72	37073	35537	74.14	35537	74.14
HPW074	51689	40639	78.62	40466	38347	74.19	38347	74.19
HPW075	32256	23766	73.68	23596	17515	54.3	17515	54.3
HPW076	70691	54956	77.74	54286	10698	15.13	10698	15.13
HPW077	20676	13319	64.42	13134	9634	46.6	9634	46.6
HPW078	19709	14163	71.86	13916	11440	58.04	11440	58.04
HPW079	41009	32430	79.08	32239	30356	74.02	30356	74.02
HPW080	13414	9649	71.93	9482	8777	65.43	8777	65.43
HPW081	37952	28802	75.89	28625	12545	33.05	12545	33.05
HPW082	39390	30127	76.48	29893	18194	46.19	18194	46.19
HPW083	30136	21973	72.91	21843	18280	60.66	18280	60.66
HPW084	38830	29323	75.52	29153	27414	70.6	27414	70.6
HPW085	45379	34446	75.91	34254	32750	72.17	32750	72.17
HPW086	43199	33410	77.34	33244	30287	70.11	30287	70.11
HPW087	31873	24037	75.41	23776	21316	66.88	21316	66.88
HPW088	22800	16765	73.53	16568	13762	60.36	13762	60.36
HPW089	35022	25454	72.68	25214	20016	57.15	20016	57.15
HPW090	59615	42575	71.42	42417	40727	68.32	40727	68.32
HPW091	49198	37399	76.02	37225	34365	69.85	34365	69.85
HPW092	63576	39587	62.27	39377	31922	50.21	31922	50.21
HPW093	15467	8931	57.74	8767	7022	45.4	7022	45.4
HPW094	22797	10062	44.14	9875	9031	39.61	9031	39.61
HPW095	28576	20543	71.89	20365	15817	55.35	15817	55.35
HPW096	27664	20916	75.61	20699	18288	66.11	18288	66.11
HPW101	58732	45277	77.09	45136	42877	73	42877	73
HPW102	32632	25455	78.01	25269	17056	52.27	17056	52.27
HPW103	43342	34623	79.88	34486	32881	75.86	32881	75.86
HPW104	18865	13692	72.58	13515	11453	60.71	11453	60.71
HPW105	25324	20004	78.99	19768	16496	65.14	16496	65.14
HPW106	52678	41781	79.31	41620	40336	76.57	40336	76.57
HPW107	61313	47509	77.49	47367	43703	71.28	43703	71.28
HPW108	26449	20653	78.09	20513	18199	68.81	18199	68.81
HPW109	36094	24799	68.71	24671	22364	61.96	22364	61.96
HPW110	34693	26895	77.52	26666	17895	51.58	17883	51.55
HPW111	45324	37485	82.7	37372	29026	64.04	29026	64.04
HPW112	43569	33760	77.49	33623	27205	62.44	27205	62.44
HPW113	39359	31044	78.87	30848	28202	71.65	28202	71.65
HPW114	35523	28759	80.96	28583	26869	75.64	26869	75.64
HPW115	24767	20970	84.67	20848	19419	78.41	19419	78.41
HPW116	9691	7717	79.63	7566	6363	65.66	6363	65.66
HPW117	29376	22057	75.09	21839	18916	64.39	18916	64.39
HPW118	42904	34967	81.5	34729	32919	76.73	32919	76.73
HPW119	22588	16584	73.42	16396	14223	62.97	14223	62.97
HPW120	31999	25043	78.26	24786	17859	55.81	17859	55.81
HPW121	30570	24023	78.58	23923	23061	75.44	23061	75.44
HPW122	18483	14406	77.94	14274	12864	69.6	12864	69.6
HPW123	42379	32749	77.28	32660	30505	71.98	30505	71.98
HPW124	32552	24740	76	24536	21961	67.46	21957	67.45
HPW125	52302	40804	78.02	40676	30211	57.76	30211	57.76
HPW126	32717	25981	79.41	25783	22994	70.28	22994	70.28
HPW127	31898	24696	77.42	24423	20036	62.81	20036	62.81
HPW128	42068	33088	78.65	32885	29524	70.18	29524	70.18
HPW129	47463	39007	82.18	38848	33057	69.65	33057	69.65
HPW130	36923	30142	81.63	29907	9877	26.75	9877	26.75
HPW131	35020	27245	77.8	26882	19075	54.47	19075	54.47
HPW132	43202	35699	82.63	35533	31418	72.72	31418	72.72
HPW133	29917	20045	67	19853	17723	59.24	17723	59.24
HPW134	63731	46368	72.76	46214	43273	67.9	43273	67.9
HPW135	54440	44060	80.93	43854	39276	72.15	39276	72.15
HPW136	26672	20335	76.24	20084	15426	57.84	15426	57.84
HPW137	41910	34507	82.34	34334	30300	72.3	30300	72.3
HPW138	14416	11519	79.9	11321	9627	66.78	9627	66.78
HPW139	42390	35332	83.35	35136	32338	76.29	32338	76.29
HPW140	60733	47277	77.84	46985	21921	36.09	21913	36.08
HPW141	46720	35132	75.2	34988	32011	68.52	32011	68.52
HPW142	70837	53834	76	53634	48402	68.33	48402	68.33
HPW143	53739	41406	77.05	41174	17815	33.15	17815	33.15
HPW144	37134	26329	70.9	26135	23501	63.29	23501	63.29
HPW145	37101	28887	77.86	28753	27191	73.29	27191	73.29
HPW146	21947	14647	66.74	14447	9382	42.75	9382	42.75
HPW147	38085	31422	82.5	31231	27353	71.82	27353	71.82
HPW148	34101	24738	72.54	24494	14794	43.38	14794	43.38
HPW149	48656	38441	79.01	37578	7582	15.58	7582	15.58
HPW150	44528	35946	80.73	35723	29007	65.14	29007	65.14
HPW151	22433	17543	78.2	17261	14354	63.99	14354	63.99
HPW152	35068	27753	79.14	27526	23878	68.09	23878	68.09
HPW153	31339	25214	80.46	25006	21515	68.65	21515	68.65
HPW154	30300	24416	80.58	24145	14704	48.53	14704	48.53
HPW155	50930	41398	81.28	41272	37975	74.56	37975	74.56
