sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
HPW060	31027	20862	67.24	20560	18725	60.35	13523	43.58
HPW061	53021	18769	35.4	18595	17839	33.65	17460	32.93
HPW062	33193	22586	68.04	22292	21242	64	12561	37.84
HPW063	28889	18364	63.57	18157	16992	58.82	12673	43.87
HPW064	60659	42565	70.17	41812	39197	64.62	31741	52.33
HPW065	34453	22753	66.04	22452	21893	63.54	16279	47.25
HPW066	50378	4208	8.35	4061	3227	6.41	3208	6.37
HPW067	47599	20806	43.71	20265	18520	38.91	18187	38.21
HPW068	37914	24695	65.13	24392	23274	61.39	16767	44.22
HPW069	58063	10199	17.57	9994	8642	14.88	8034	13.84
HPW070	40261	3837	9.53	3641	2921	7.26	2921	7.26
HPW071	39495	5389	13.64	5165	3203	8.11	3203	8.11
HPW072	20071	12868	64.11	12714	11947	59.52	6729	33.53
HPW073	47933	2953	6.16	2816	2240	4.67	2240	4.67
HPW074	51689	3314	6.41	3204	2769	5.36	2758	5.34
HPW075	32256	5751	17.83	5593	4085	12.66	4085	12.66
HPW076	70691	38123	53.93	37467	35649	50.43	35571	50.32
HPW077	20676	11198	54.16	10999	9575	46.31	5687	27.51
HPW078	19709	12333	62.58	12040	11326	57.47	6612	33.55
HPW079	41009	2930	7.14	2771	1997	4.87	1997	4.87
HPW080	13414	978	7.29	841	510	3.8	510	3.8
HPW081	37952	24773	65.27	24598	23881	62.92	18603	49.02
HPW082	39390	11174	28.37	10934	6473	16.43	6174	15.67
HPW083	30136	3680	12.21	3590	2538	8.42	2538	8.42
HPW084	38830	2700	6.95	2519	1947	5.01	1947	5.01
HPW085	45379	2611	5.75	2445	1834	4.04	1834	4.04
HPW086	43199	3972	9.19	3832	3282	7.6	3282	7.6
HPW087	31873	3170	9.95	2974	2211	6.94	2211	6.94
HPW088	22800	14845	65.11	14676	14118	61.92	8336	36.56
HPW089	35022	22288	63.64	22084	20865	59.58	12506	35.71
HPW090	59615	3173	5.32	3073	2782	4.67	2782	4.67
HPW091	49198	3965	8.06	3788	2798	5.69	2798	5.69
HPW092	63576	7652	12.04	7469	6686	10.52	6674	10.5
HPW093	15467	7625	49.3	7460	6717	43.43	3850	24.89
HPW094	22797	8931	39.18	8757	8454	37.08	4745	20.81
HPW095	28576	17760	62.15	17570	15166	53.07	8520	29.82
HPW096	27664	2883	10.42	2698	1364	4.93	1358	4.91
HPW101	58732	3894	6.63	3766	3345	5.7	3345	5.7
HPW102	32632	22324	68.41	22159	21594	66.17	14449	44.28
HPW103	43342	2644	6.1	2532	1935	4.46	1935	4.46
HPW104	18865	11958	63.39	11776	11171	59.22	6251	33.14
HPW105	25324	17562	69.35	17330	16116	63.64	9515	37.57
HPW106	52678	2853	5.42	2743	2101	3.99	2082	3.95
HPW107	61313	5004	8.16	4831	4379	7.14	4379	7.14
HPW108	26449	18470	69.83	18350	17872	67.57	10412	39.37
HPW109	36094	22279	61.72	22184	21506	59.58	12006	33.26
HPW110	34693	23637	68.13	23398	22817	65.77	15539	44.79
HPW111	45324	8510	18.78	8427	8055	17.77	8045	17.75
HPW112	43569	30099	69.08	30015	29165	66.94	17007	39.03
HPW113	39359	27578	70.07	27429	26364	66.98	14744	37.46
HPW114	35523	25843	72.75	25625	25028	70.46	14004	39.42
HPW115	24767	2204	8.9	2086	1418	5.73	1416	5.72
HPW116	9691	6203	64.01	6096	6022	62.14	3500	36.12
HPW117	29376	19614	66.77	19430	18243	62.1	10406	35.42
HPW118	42904	3178	7.41	3008	2523	5.88	2523	5.88
HPW119	22588	14588	64.58	14431	13624	60.32	7537	33.37
HPW120	31999	6964	21.76	6740	6117	19.12	6074	18.98
HPW121	30570	1671	5.47	1584	1387	4.54	1387	4.54
HPW122	18483	12877	69.67	12685	12343	66.78	6879	37.22
HPW123	42379	3141	7.41	3039	2821	6.66	2813	6.64
HPW124	32552	21919	67.34	21778	21154	64.99	11930	36.65
