sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
HPW060	31027	23250	74.93	22915	20661	66.59	19862	64.02
HPW061	53021	39392	74.3	39153	38119	71.89	37895	71.47
HPW062	33193	25262	76.11	24920	22861	68.87	22861	68.87
HPW063	28889	20806	72.02	20576	18562	64.25	18559	64.24
HPW064	60659	47194	77.8	46555	43134	71.11	42744	70.47
HPW065	34453	25456	73.89	25181	24024	69.73	24024	69.73
HPW066	50378	34591	68.66	34402	33209	65.92	33209	65.92
HPW067	47599	34990	73.51	34558	32316	67.89	32295	67.85
HPW068	37914	27761	73.22	27457	25540	67.36	25540	67.36
HPW069	58063	42251	72.77	42005	39937	68.78	39935	68.78
HPW070	40261	27405	68.07	27231	26007	64.6	26007	64.6
HPW071	39495	28608	72.43	28383	25534	64.65	25534	64.65
HPW072	20071	14253	71.01	14091	12777	63.66	12777	63.66
HPW073	47933	34051	71.04	33902	33027	68.9	33027	68.9
HPW074	51689	36378	70.38	36241	35539	68.76	35534	68.75
HPW075	32256	22025	68.28	21857	19589	60.73	19589	60.73
HPW076	70691	52462	74.21	51938	49528	70.06	49161	69.54
HPW077	20676	12830	62.05	12661	10103	48.86	10103	48.86
HPW078	19709	13793	69.98	13581	11836	60.05	11836	60.05
HPW079	41009	29626	72.24	29461	28199	68.76	28199	68.76
HPW080	13414	8616	64.23	8481	7977	59.47	7977	59.47
HPW081	37952	27832	73.33	27662	26235	69.13	26235	69.13
HPW082	39390	28314	71.88	28087	22136	56.2	22136	56.2
HPW083	30136	20281	67.3	20163	18455	61.24	18455	61.24
HPW084	38830	26833	69.1	26670	25780	66.39	25780	66.39
HPW085	45379	31566	69.56	31400	30296	66.76	30296	66.76
HPW086	43199	30775	71.24	30624	29778	68.93	29761	68.89
HPW087	31873	22092	69.31	21877	20569	64.53	20569	64.53
HPW088	22800	16405	71.95	16227	15214	66.73	15214	66.73
HPW089	35022	24739	70.64	24506	22510	64.27	22508	64.27
HPW090	59615	38926	65.3	38816	38433	64.47	38433	64.47
HPW091	49198	34293	69.7	34129	32505	66.07	32505	66.07
HPW092	63576	36394	57.24	36189	35359	55.62	35359	55.62
HPW093	15467	8639	55.85	8473	7141	46.17	7141	46.17
HPW094	22797	9818	43.07	9649	9119	40	9119	40
HPW095	28576	19934	69.76	19781	15757	55.14	15757	55.14
HPW096	27664	19131	69.15	18930	17090	61.78	17090	61.78
HPW101	58732	41714	71.02	41586	40943	69.71	40943	69.71
HPW102	32632	24738	75.81	24560	23070	70.7	23070	70.7
HPW103	43342	31835	73.45	31712	30834	71.14	30834	71.14
HPW104	18865	13338	70.7	13174	11864	62.89	11864	62.89
HPW105	25324	19500	77	19283	17673	69.79	17673	69.79
HPW106	52678	38310	72.72	38155	37229	70.67	37229	70.67
HPW107	61313	43789	71.42	43659	42930	70.02	42930	70.02
HPW108	26449	20182	76.31	20057	19035	71.97	19035	71.97
HPW109	36094	24270	67.24	24170	22793	63.15	22793	63.15
HPW110	34693	26216	75.57	26001	24778	71.42	24759	71.37
HPW111	45324	35004	77.23	34891	34313	75.71	34313	75.71
HPW112	43569	32883	75.47	32762	31959	73.35	31959	73.35
HPW113	39359	30337	77.08	30151	28305	71.91	28305	71.91
HPW114	35523	28206	79.4	28029	27053	76.16	27053	76.16
HPW115	24767	19195	77.5	19073	18195	73.46	18195	73.46
HPW116	9691	7458	76.96	7350	7021	72.45	7021	72.45
HPW117	29376	21559	73.39	21364	19785	67.35	19784	67.35
HPW118	42904	32057	74.72	31861	31108	72.51	31108	72.51
HPW119	22588	16144	71.47	15984	15041	66.59	15041	66.59
HPW120	31999	23226	72.58	22983	22003	68.76	21999	68.75
