sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
HPW060	31027	21239	68.45	20905	18608	59.97	13498	43.5
HPW061	53021	19125	36.07	18947	18074	34.09	17686	33.36
HPW062	33193	22970	69.2	22699	21581	65.02	12793	38.54
HPW063	28889	18670	64.63	18467	17228	59.64	12836	44.43
HPW064	60659	43208	71.23	42504	39994	65.93	32403	53.42
HPW065	34453	23119	67.1	22813	22226	64.51	16499	47.89
HPW066	50378	4348	8.63	4200	3375	6.7	2725	5.41
HPW067	47599	21177	44.49	20667	18901	39.71	18901	39.71
HPW068	37914	25103	66.21	24795	23658	62.4	17068	45.02
HPW069	58063	10409	17.93	10192	8798	15.15	8172	14.07
HPW070	40261	3938	9.78	3747	2995	7.44	2995	7.44
HPW071	39495	5544	14.04	5348	3273	8.29	3273	8.29
HPW072	20071	13059	65.06	12904	12096	60.27	6778	33.77
HPW073	47933	3082	6.43	2940	2369	4.94	2369	4.94
HPW074	51689	3458	6.69	3348	2879	5.57	2879	5.57
HPW075	32256	5934	18.4	5782	4215	13.07	4215	13.07
HPW076	70691	38738	54.8	38124	36288	51.33	36024	50.96
HPW077	20676	11434	55.3	11249	9730	47.06	5778	27.95
HPW078	19709	12571	63.78	12322	11583	58.77	6772	34.36
HPW079	41009	3059	7.46	2910	2069	5.05	2069	5.05
HPW080	13414	1031	7.69	887	537	4	537	4
HPW081	37952	25163	66.3	25012	24250	63.9	18856	49.68
HPW082	39390	11457	29.09	11202	6646	16.87	6343	16.1
HPW083	30136	3785	12.56	3668	2565	8.51	2565	8.51
HPW084	38830	2785	7.17	2621	2018	5.2	2018	5.2
HPW085	45379	2719	5.99	2567	1915	4.22	1915	4.22
HPW086	43199	4087	9.46	3955	3355	7.77	2790	6.46
HPW087	31873	3267	10.25	3069	2236	7.02	2236	7.02
HPW088	22800	15078	66.13	14887	14307	62.75	8455	37.08
HPW089	35022	22685	64.77	22467	21202	60.54	12672	36.18
HPW090	59615	3259	5.47	3172	2867	4.81	2867	4.81
HPW091	49198	4100	8.33	3930	2893	5.88	2893	5.88
HPW092	63576	7811	12.29	7630	6868	10.8	6855	10.78
HPW093	15467	7774	50.26	7627	6838	44.21	3949	25.53
HPW094	22797	9076	39.81	8894	8588	37.67	4786	20.99
HPW095	28576	18145	63.5	17989	15577	54.51	8685	30.39
HPW096	27664	2986	10.79	2798	1404	5.08	1398	5.05
HPW101	58732	4012	6.83	3882	3434	5.85	2767	4.71
HPW102	32632	22636	69.37	22470	21898	67.11	14684	45
HPW103	43342	2719	6.27	2607	2013	4.64	2013	4.64
HPW104	18865	12167	64.5	11966	11323	60.02	6353	33.68
HPW105	25324	17849	70.48	17618	16496	65.14	9621	37.99
HPW106	52678	2964	5.63	2851	2146	4.07	2127	4.04
HPW107	61313	5149	8.4	4979	4542	7.41	3812	6.22
HPW108	26449	18779	71	18655	18143	68.6	10567	39.95
HPW109	36094	22594	62.6	22484	21953	60.82	12214	33.84
HPW110	34693	23969	69.09	23721	23103	66.59	15742	45.38
HPW111	45324	8700	19.2	8620	8237	18.17	8237	18.17
HPW112	43569	30547	70.11	30464	29821	68.45	17238	39.56
HPW113	39359	28002	71.15	27854	26742	67.94	14921	37.91
HPW114	35523	26240	73.87	26035	25439	71.61	14163	39.87
HPW115	24767	2291	9.25	2166	1437	5.8	1437	5.8
HPW116	9691	6378	65.81	6261	6178	63.75	3593	37.08
HPW117	29376	19928	67.84	19738	18516	63.03	10495	35.73
HPW118	42904	3281	7.65	3101	2632	6.13	2632	6.13
HPW119	22588	14837	65.69	14685	13837	61.26	7650	33.87
HPW120	31999	7103	22.2	6886	6243	19.51	6200	19.38
HPW121	30570	1731	5.66	1646	1438	4.7	1438	4.7
HPW122	18483	13070	70.71	12880	12525	67.76	6941	37.55
HPW123	42379	3256	7.68	3149	2919	6.89	2911	6.87
HPW124	32552	22268	68.41	22128	21476	65.97	12128	37.26
HPW125	52302	10985	21	10892	10584	20.24	10057	19.23
HPW126	32717	3645	11.14	3434	2254	6.89	2254	6.89
HPW127	31898	21685	67.98	21447	19604	61.46	11457	35.92
HPW128	42068	4306	10.24	4156	2513	5.97	2479	5.89
HPW129	47463	35215	74.19	35011	34127	71.9	18708	39.42
HPW130	36923	26221	71.02	26001	25631	69.42	21353	57.83
HPW131	35020	23534	67.2	23226	21090	60.22	13247	37.83
HPW132	43202	5038	11.66	4892	3508	8.12	3508	8.12
HPW133	29917	17980	60.1	17834	17254	57.67	9535	31.87
HPW134	63731	4647	7.29	4532	3956	6.21	3956	6.21
HPW135	54440	5854	10.75	5682	4816	8.85	4303	7.9
HPW136	26672	17941	67.27	17762	17041	63.89	10676	40.03
HPW137	41910	4815	11.49	4668	3662	8.74	3662	8.74
HPW138	14416	10348	71.78	10176	9698	67.27	5436	37.71
HPW139	42390	3971	9.37	3797	2399	5.66	2399	5.66
HPW140	60733	42377	69.78	42081	40960	67.44	31576	51.99
HPW141	46720	4196	8.98	4068	3330	7.13	3330	7.13
HPW142	70837	6449	9.1	6241	4624	6.53	3895	5.5
HPW143	53739	35541	66.14	35314	34694	64.56	27068	50.37
HPW144	37134	23412	63.05	23253	22606	60.88	12792	34.45
HPW145	37101	2409	6.49	2309	1837	4.95	1837	4.95
HPW146	21947	5035	22.94	4859	3337	15.2	3337	15.2
HPW147	38085	28343	74.42	28148	27216	71.46	14737	38.7
HPW148	34101	9061	26.57	8842	7784	22.83	7784	22.83
HPW149	48656	27702	56.93	26878	23669	48.65	23340	47.97
HPW150	44528	7603	17.07	7424	6181	13.88	6164	13.84
HPW151	22433	15255	68	15055	13942	62.15	7666	34.17
HPW152	35068	24944	71.13	24783	23834	67.97	13766	39.26
HPW153	31339	22670	72.34	22476	21596	68.91	12355	39.42
HPW154	30300	21803	71.96	21537	20936	69.1	14681	48.45
HPW155	50930	4772	9.37	4643	3683	7.23	3011	5.91
HPW156	35203	24248	68.88	24072	23627	67.12	15313	43.5
HPW157	33225	23359	70.31	23186	22008	66.24	12010	36.15
HPW158	43292	30284	69.95	30124	29113	67.25	17319	40.01
HPW159	44257	2657	6	2563	2194	4.96	2194	4.96
HPW160	34807	25098	72.11	24927	23738	68.2	13743	39.48
HPW161	51975	3501	6.74	3387	2709	5.21	2709	5.21
HPW162	53166	5066	9.53	4937	4046	7.61	3335	6.27
HPW163	29081	20982	72.15	20827	20412	70.19	13368	45.97
HPW164	37936	26030	68.62	25775	25078	66.11	19581	51.62
HPW165	55698	23757	42.65	23360	21703	38.97	21213	38.09
HPW166	30030	19560	65.13	19379	18137	60.4	11207	37.32
HPW167	26739	19008	71.09	18853	17724	66.29	9881	36.95
HPW168	38688	26271	67.9	26138	25187	65.1	17391	44.95
HPW169	35884	1788	4.98	1677	1276	3.56	1276	3.56
HPW170	28963	20387	70.39	20237	19597	67.66	12490	43.12
HPW171	55003	3830	6.96	3716	2629	4.78	1980	3.6
HPW172	43016	26855	62.43	26681	25971	60.38	16803	39.06
HPW173	32404	23425	72.29	23279	22368	69.03	13102	40.43
HPW174	34973	25265	72.24	25037	24036	68.73	14986	42.85
HPW175	55499	3231	5.82	3180	2821	5.08	2821	5.08
HPW176	37061	26768	72.23	26596	25807	69.63	14226	38.39
HPW177	47251	4942	10.46	4796	3293	6.97	3293	6.97
HPW178	22587	16006	70.86	15864	15078	66.76	8558	37.89
HPW179	17202	5803	33.73	5658	5374	31.24	5374	31.24
HPW180	20455	1391	6.8	1258	1046	5.11	1046	5.11
HPW181	27599	18396	66.65	18220	17372	62.94	10064	36.47
HPW182	53022	3638	6.86	3507	2628	4.96	2609	4.92
HPW183	51117	3952	7.73	3814	2827	5.53	2270	4.44
HPW184	20214	4207	20.81	4001	3712	18.36	3698	18.29
