sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
HPW060	31027	24448	78.8	24101	12503	40.3	12503	40.3
HPW061	53021	42995	81.09	42783	21051	39.7	21051	39.7
HPW062	33193	26575	80.06	26240	19902	59.96	19902	59.96
HPW063	28889	22016	76.21	21815	10408	36.03	10408	36.03
HPW064	60659	49639	81.83	48981	16516	27.23	16516	27.23
HPW065	34453	26733	77.59	26438	13783	40.01	13783	40.01
HPW066	50378	38541	76.5	38345	35127	69.73	35127	69.73
HPW067	47599	37810	79.43	37398	13186	27.7	13186	27.7
HPW068	37914	29277	77.22	29002	15658	41.3	15658	41.3
HPW069	58063	46334	79.8	46073	35974	61.96	35974	61.96
HPW070	40261	30257	75.15	30055	27017	67.1	27017	67.1
HPW071	39495	31438	79.6	31176	26359	66.74	26359	66.74
HPW072	20071	15008	74.77	14820	12680	63.18	12680	63.18
HPW073	47933	37970	79.21	37770	36164	75.45	36164	75.45
HPW074	51689	41614	80.51	41471	39251	75.94	39236	75.91
HPW075	32256	24336	75.45	24147	17859	55.37	17859	55.37
HPW076	70691	56127	79.4	55545	10874	15.38	10874	15.38
HPW077	20676	13721	66.36	13568	9794	47.37	9794	47.37
HPW078	19709	14509	73.62	14277	11671	59.22	11671	59.22
HPW079	41009	33083	80.67	32895	30926	75.41	30926	75.41
HPW080	13414	9985	74.44	9837	9066	67.59	9066	67.59
HPW081	37952	29375	77.4	29190	12724	33.53	12724	33.53
HPW082	39390	30867	78.36	30625	18527	47.03	18527	47.03
HPW083	30136	22480	74.6	22341	18607	61.74	18607	61.74
HPW084	38830	29859	76.9	29694	27865	71.76	27865	71.76
HPW085	45379	35146	77.45	34960	33385	73.57	33385	73.57
HPW086	43199	34072	78.87	33905	30844	71.4	30844	71.4
HPW087	31873	24536	76.98	24287	21699	68.08	21699	68.08
HPW088	22800	17075	74.89	16886	13976	61.3	13976	61.3
HPW089	35022	25996	74.23	25747	20359	58.13	20359	58.13
HPW090	59615	43351	72.72	43246	41460	69.55	41460	69.55
