"Bleaching.Score","PLUG.ID","Timepoint","Treatment","Species","Group","SpGroup"
"1",-15.6378178308795,"1036","Week3","ATAC","Montipora","Week3 ATAC Montipora","ATAC Montipora"
"2",-10.673572906162,"1036","Week4","ATAC","Montipora","Week4 ATAC Montipora","ATAC Montipora"
"3",-13.0288534961281,"1038","Week1","ATAC","Montipora","Week1 ATAC Montipora","ATAC Montipora"
"4",-11.8112162649189,"1038","Week2","ATAC","Montipora","Week2 ATAC Montipora","ATAC Montipora"
"5",-14.9684586170392,"1038","Week3","ATAC","Montipora","Week3 ATAC Montipora","ATAC Montipora"
"6",-14.033915893693,"1038","Week4","ATAC","Montipora","Week4 ATAC Montipora","ATAC Montipora"
"7",-14.6894934308027,"1042","Week3","ATAC","Montipora","Week3 ATAC Montipora","ATAC Montipora"
"8",-14.1063627001143,"1042","Week4","ATAC","Montipora","Week4 ATAC Montipora","ATAC Montipora"
"9",-14.1982771070577,"1042","Week5","ATAC","Montipora","Week5 ATAC Montipora","ATAC Montipora"
"10",-14.5929012318633,"1044","Week2","ATAC","Montipora","Week2 ATAC Montipora","ATAC Montipora"
"11",-11.4464399121814,"1044","Week3","ATAC","Montipora","Week3 ATAC Montipora","ATAC Montipora"
"12",-14.9738557917533,"1044","Week4","ATAC","Montipora","Week4 ATAC Montipora","ATAC Montipora"
"13",-6.19607717555978,"1044","Week5","ATAC","Montipora","Week5 ATAC Montipora","ATAC Montipora"
"14",-11.7906694576321,"1044","Week6","ATAC","Montipora","Week6 ATAC Montipora","ATAC Montipora"
"15",-15.2289313660323,"1044","Week7","ATAC","Montipora","Week7 ATAC Montipora","ATAC Montipora"
"16",-4.23461059908608,"1044","Week8","ATAC","Montipora","Week8 ATAC Montipora","ATAC Montipora"
"17",-0.477908770884301,"1045","Week2","ATAC","Pocillopora","Week2 ATAC Pocillopora","ATAC Pocillopora"
"18",-0.553309704303036,"1045","Week3","ATAC","Pocillopora","Week3 ATAC Pocillopora","ATAC Pocillopora"
"19",-9.58156408752332,"1045","Week4","ATAC","Pocillopora","Week4 ATAC Pocillopora","ATAC Pocillopora"
"20",-4.08257401903828,"1045","Week5","ATAC","Pocillopora","Week5 ATAC Pocillopora","ATAC Pocillopora"
"21",-5.3980764875489,"1045","Week6","ATAC","Pocillopora","Week6 ATAC Pocillopora","ATAC Pocillopora"
"22",-8.73013944223185,"1045","Week7","ATAC","Pocillopora","Week7 ATAC Pocillopora","ATAC Pocillopora"
"23",-8.44710855203049,"1045","Week8","ATAC","Pocillopora","Week8 ATAC Pocillopora","ATAC Pocillopora"
